Source;Target;Weight
princeton university;university of oulu;0.333333333333
national university of singapore;german research centre for artificial intelligence;0.333333333333
universidade federal do rio grande do sul;university of colorado boulder;0.05
universidade federal do rio grande do sul;university of nantes;0.05
dublin city university;university of maryland college park;0.582041058357
dublin city university;bbn technologies;0.171505376344
middle east technical university;university of edinburgh;0.185185185185
national research council;university of illinois at urbana champaign;0.125
national research council;university of maryland college park;0.123486491371
carnegie mellon university;microsoft;0.671535934484
university of pennsylvania;parc;0.0490481321839
university of edinburgh;parc;0.04914246633
university of pennsylvania;johns hopkins university;0.773581802058
university of pennsylvania;university of maryland college park;0.342442802728
university of edinburgh;johns hopkins university;0.541535242368
university of edinburgh;university of maryland college park;0.633836979602
brown university;johns hopkins university;0.3527000777
state university of new york system;sri international;0.05
university of edinburgh;microsoft;1.28228026407
swarthmore college;university of chicago;0.1
university of pennsylvania;university of pennsylvania;6.0333047112
university of pennsylvania;northwestern university;0.357799336679
university of maryland college park;university of chicago;0.142857142857
mitre corporation;georgetown university;0.0222222222222
mitre corporation;mitre corporation;0.777931066518
mitre corporation;university of tokyo;0.0222222222222
kaist;ibm;0.727777777778
johns hopkins university;ibm;1.07950392435
university of manchester institute of science and technology;university of salford;0.149166666667
university of salford;university of salford;0.205
university of sheffield;university of sheffield;1.84376456876
northern illinois university;at t;0.333333333333
university of edinburgh;language computer corporation;0.377777777778
national taiwan university;university of brighton;0.0909090909091
university of pittsburgh;hewlett packard;0.0526315789474
harvard university;ibm;0.281944444444
carnegie mellon university;university of alberta;0.270104895105
southern methodist university;southern methodist university;0.4
charles university in prague;texas instruments;0.1
university of minnesota duluth;university of waikato;0.2
university of texas at austin;memorial university of newfoundland;0.0909090909091
university of edinburgh;saarland university;0.594553614023
university of edinburgh;university of edinburgh;6.31756544806
massachusetts institute of technology;saarland university;0.0501861042184
massachusetts institute of technology;university of edinburgh;0.679080569025
air force research laboratory;university of edinburgh;0.00862068965517
mayo clinic;university of edinburgh;0.162466843501
johns hopkins university;university of edinburgh;0.52923153306
ohio state university;university of edinburgh;0.439870689655
washington university in st louis;sri international;0.0108695652174
northwestern university;sri international;0.0108695652174
university of texas at austin;technical university of kenya;0.246031746032
stanford university;university of texas at austin;0.656220339444
massachusetts institute of technology;massachusetts institute of technology;2.53621651885
massachusetts institute of technology;bbn technologies;0.0902777777778
bbn technologies;massachusetts institute of technology;0.0613636363636
bbn technologies;bbn technologies;0.441666666667
university of toronto;brown university;0.0909090909091
university of edinburgh;aston university;0.0526315789474
university of edinburgh;massachusetts institute of technology;1.76641750411
peking university;peking university;0.607993050773
university of edinburgh;peking university;0.0808080808081
peking university;university of massachusetts amherst;0.463636363636
university of edinburgh;university of massachusetts amherst;0.845921271296
stanford university;saarland university;0.132561132561
simon fraser university;carnegie mellon university;0.293398268398
james i university;massachusetts institute of technology;0.0454545454545
polytechnic university of valencia;massachusetts institute of technology;0.0954545454545
information sciences institute;university of chicago;0.0133333333333
information sciences institute;new york university;0.0533333333333
information sciences institute;chinese academy of sciences;0.108735632184
university of amsterdam;university of southern california;0.326689650219
university of stuttgart;university of stuttgart;1.46488006392
university of southern california;here;0.04
university of southern california;university of california berkeley;0.786361360636
