Source;Target;Weight
princeton university;university of oulu;0.333333333333
national university of singapore;german research centre for artificial intelligence;0.333333333333
universidade federal do rio grande do sul;university of colorado boulder;0.05
universidade federal do rio grande do sul;university of nantes;0.05
dublin city university;university of maryland college park;0.884516991082
dublin city university;bbn technologies;0.197315092943
middle east technical university;university of edinburgh;0.185185185185
national research council;university of illinois at urbana champaign;0.125
national research council;university of maryland college park;0.239518117696
carnegie mellon university;microsoft;1.52573458832
university of pennsylvania;parc;0.0799039880398
university of edinburgh;parc;0.270651390412
university of pennsylvania;johns hopkins university;1.59449619172
university of pennsylvania;university of maryland college park;0.477699212984
university of edinburgh;johns hopkins university;1.63943750944
university of edinburgh;university of maryland college park;1.39246039
brown university;johns hopkins university;1.05696117608
state university of new york system;sri international;0.05
university of edinburgh;microsoft;2.87893920883
swarthmore college;university of chicago;0.1
university of pennsylvania;university of pennsylvania;12.8244485774
university of pennsylvania;northwestern university;0.595325906952
university of maryland college park;university of chicago;0.159951159951
mitre corporation;georgetown university;0.0222222222222
mitre corporation;mitre corporation;1.22555958742
mitre corporation;university of tokyo;0.0222222222222
kaist;ibm;0.895227920228
johns hopkins university;ibm;2.77623355857
university of manchester institute of science and technology;university of salford;0.339642857143
university of salford;university of salford;0.575879120879
university of sheffield;university of sheffield;2.25501706627
northern illinois university;at t;0.333333333333
university of edinburgh;language computer corporation;0.511408730159
national taiwan university;university of brighton;0.0909090909091
university of pittsburgh;hewlett packard;0.0711500974659
harvard university;ibm;0.281944444444
carnegie mellon university;university of alberta;0.299142168012
southern methodist university;southern methodist university;0.4
charles university in prague;texas instruments;0.1
university of minnesota duluth;university of waikato;0.266666666667
university of texas at austin;memorial university of newfoundland;0.0909090909091
university of edinburgh;saarland university;0.957406013681
university of edinburgh;university of edinburgh;12.238125078
massachusetts institute of technology;saarland university;0.109709913742
massachusetts institute of technology;university of edinburgh;1.25949348569
air force research laboratory;university of edinburgh;0.00862068965517
mayo clinic;university of edinburgh;0.162466843501
johns hopkins university;university of edinburgh;1.38768568587
ohio state university;university of edinburgh;1.30899469836
washington university in st louis;sri international;0.0108695652174
northwestern university;sri international;0.0108695652174
university of texas at austin;technical university of kenya;0.246031746032
stanford university;university of texas at austin;0.922303951251
massachusetts institute of technology;massachusetts institute of technology;5.4707658099
massachusetts institute of technology;bbn technologies;0.11775030525
bbn technologies;massachusetts institute of technology;0.573802586303
bbn technologies;bbn technologies;2.02549725601
university of toronto;brown university;0.196172248804
university of edinburgh;aston university;0.0526315789474
university of edinburgh;massachusetts institute of technology;2.51179528228
peking university;peking university;1.24958765963
university of edinburgh;peking university;0.0808080808081
peking university;university of massachusetts amherst;0.930749126362
university of edinburgh;university of massachusetts amherst;1.19478458474
stanford university;saarland university;0.480137794805
simon fraser university;carnegie mellon university;0.293398268398
james i university;massachusetts institute of technology;0.0454545454545
polytechnic university of valencia;massachusetts institute of technology;0.348468892219
information sciences institute;university of chicago;0.0133333333333
information sciences institute;new york university;0.28005235075
information sciences institute;chinese academy of sciences;0.108735632184
university of amsterdam;university of southern california;0.449607312267
university of stuttgart;university of stuttgart;5.10417485818
university of southern california;here;0.10907595222
university of southern california;university of california berkeley;1.23104894733
