Source;Target;Weight
university of wisconsin madison;rutgers university;0.0507857142857
university of wisconsin madison;university of texas at arlington;0.008
university of wisconsin madison;university of north carolina at charlotte;0.008
pohang university of science and technology;french institute for research in computer science and automation;0.0911906791702
adobe systems;french institute for research in computer science and automation;0.362291249056
microsoft;french institute for research in computer science and automation;1.79599111148
beijing institute of technology;university of central florida;0.183823529412
scripps institution of oceanography;university of central florida;0.00735294117647
university of california san diego;university of central florida;0.0220588235294
university college london;university of oxford;0.117698412698
nanjing university;queen mary university of london;0.0175438596491
shanghai jiao tong university;queen mary university of london;0.0701754385965
microsoft;queen mary university of london;0.194248405104
chinese academy of sciences;university of nottingham;0.0555555555556
katholieke universiteit leuven;toshiba;0.00952380952381
eth zurich;toshiba;0.201014001448
university of texas at austin;university of washington;0.083110516934
centre national de la recherche scientifique;french institute for research in computer science and automation;1.22340663326
microsoft;national university of singapore;0.481995139442
french institute for research in computer science and automation;french institute for research in computer science and automation;6.6558092399
cornell university;cornell university;1.09970392972
chinese academy of sciences;royal institute of technology;0.121686637618
chinese academy of sciences;ecole normale superieure;0.140063912585
microsoft;cornell university;1.32344160215
university of mannheim;hebrew university of jerusalem;0.229166666667
google;university of california berkeley;0.373516416269
university of california berkeley;university of california berkeley;1.8775393665
nec;university of california berkeley;0.317735227947
katholieke universiteit leuven;weizmann institute of science;0.243681118586
university of coimbra;university of manchester;0.25
university of washington;university of california berkeley;0.33427709774
intel;university of california berkeley;0.0478021978022
ben gurion university of the negev;technion israel institute of technology;0.0647773279352
ben gurion university of the negev;university of california san diego;0.0363157894737
ben gurion university of the negev;french institute for research in computer science and automation;0.171282051282
university of amsterdam;stanford university;0.20220422852
university of amsterdam;princeton university;0.00854700854701
courant institute of mathematical sciences;stanford university;0.156898656899
courant institute of mathematical sciences;princeton university;0.017094017094
university of british columbia;george mason university;0.0322580645161
commonwealth scientific and industrial research organisation;university of california irvine;0.00882352941176
commonwealth scientific and industrial research organisation;california institute of technology;0.00882352941176
commonwealth scientific and industrial research organisation;university of california berkeley;0.0176470588235
university of aizu;university of california irvine;0.00294117647059
university of aizu;california institute of technology;0.00294117647059
university of aizu;university of california berkeley;0.00588235294118
university of new south wales;university of california irvine;0.00294117647059
university of new south wales;california institute of technology;0.0584967320261
university of new south wales;university of california berkeley;0.0475490196078
graz university of technology;university of illinois at urbana champaign;0.178614121977
brown university;university of copenhagen;0.0709718670077
brown university;brown university;1.60259950715
the chinese university of hong kong;massachusetts institute of technology;0.768009632669
university of zaragoza;university of crete;0.0111111111111
university of california;university of crete;0.0444444444444
mitsubishi electric research laboratories;university of michigan;0.030303030303
drexel university;university of california san diego;0.251945304438
university of milano bicocca;stmicroelectronics;0.0227272727273
university of milano bicocca;university of milan;0.133838383838
the chinese university of hong kong;max planck society;0.474032300135
microsoft;max planck society;0.743214527148
los angeles harbor college;xi an jiaotong university;0.0229885057471
los angeles harbor college;xidian university;0.0114942528736
siemens;siemens;2.13423476658
american science and engineering inc;siemens;0.0636363636364
university of wollongong;seoul national university;0.222222222222
university of adelaide;seoul national university;0.14269005848
university of science and technology of china;university of california san diego;0.0639342609397
university of science and technology of china;university of california merced;0.00766283524904
chinese academy of sciences;university of california san diego;0.209244715668
chinese academy of sciences;university of california merced;0.0176295294618
university of science and technology of china;university of central florida;0.117485196796
university of science and technology of china;university of nevada reno;0.00459770114943
chinese academy of sciences;university of central florida;0.173740406206
chinese academy of sciences;university of nevada reno;0.00229885057471
robotics institute;university of california los angeles;0.0745976170569
robotics institute;brown university;0.0482336956522
robotics institute;microsoft;0.0984594340844
robotics institute;northwestern university;0.0104166666667
robotics institute;nanyang technological university;0.0104166666667
fraunhofer society;max planck society;0.0411111111111
saarland university;max planck society;0.125167548501
utrecht university;max planck society;0.106923076923
brown university;max planck society;0.187225500481
stanford university;massachusetts institute of technology;0.99949341383
university of california santa cruz;massachusetts institute of technology;0.23125
