Source;Target;Weight
university of washington;yahoo;0.0708994708995
national research council;yahoo;0.00740740740741
microsoft;yahoo;0.14919489186
university of washington;stanford university;0.847344507249
national research council;stanford university;0.0602693602694
microsoft;stanford university;0.766270032606
university of washington;massachusetts institute of technology;0.294370039683
national research council;massachusetts institute of technology;0.0111111111111
microsoft;massachusetts institute of technology;0.891634014181
university of pennsylvania;hong kong university of science and technology;0.0166666666667
university of pennsylvania;hong kong polytechnic university;0.0166666666667
cornell university;university of texas at austin;0.279689608637
national institute of information and communications technology;university of pennsylvania;0.594696969697
university of california berkeley;university of pennsylvania;0.770214492295
university of california berkeley;bowdoin college;0.0294117647059
stanford university;microsoft;0.44519222848
google;microsoft;0.679913173247
stanford university;stanford university;3.40388993991
stanford university;google;0.206144179894
google;stanford university;0.427787698413
google;google;0.872065410727
microsoft;ibm;1.21522097463
university of illinois at urbana champaign;university of illinois at urbana champaign;2.06450385681
google;university of illinois at urbana champaign;0.169979533026
johns hopkins university;university of alberta;0.218321341578
rwth aachen university;columbia university;0.1
information sciences institute;massachusetts institute of technology;0.141512345679
university of massachusetts amherst;university of washington;0.63418815484
university of massachusetts amherst;temple university;0.0163043478261
massachusetts institute of technology;university of washington;0.0780434782609
massachusetts institute of technology;temple university;0.0054347826087
university of melbourne;university of sydney;0.125574712644
university of zurich;university of birmingham;0.0769230769231
university of alberta;university of amsterdam;0.0588235294118
university of leeds;university of southern california;0.0689655172414
national institute of informatics;national institute of informatics;0.1
university of colorado boulder;stanford university;0.0833333333333
ebay;simon fraser university;0.0263157894737
simon fraser university;mitre corporation;0.0714285714286
university of trento;university of the basque country;0.0666666666667
cairo university;university of edinburgh;0.0289855072464
microsoft;university of edinburgh;0.339213075118
university of maryland college park;university of exeter;0.0111111111111
university of maryland college park;open university;0.0111111111111
university of california berkeley;university of texas at austin;0.343297345929
university of illinois at urbana champaign;department of computer science university of illinois at urbana champaign;0.942031462054
university of texas at austin;university of geneva;0.05
national university of singapore;chinese academy of sciences;0.281746031746
university of california berkeley;johns hopkins university;0.656856170312
ohio state university;university of stuttgart;0.104166666667
ohio state university;ohio state university;0.220833333333
chinese academy of sciences;stanford university;0.0583836448779
chinese academy of sciences;university of california berkeley;0.187673969283
centre national de la recherche scientifique;university of paris sud;0.0416666666667
information sciences institute;carnegie mellon university;0.150505050505
information sciences institute;university of minnesota duluth;0.0530303030303
information sciences institute;university of texas at austin;0.0475121586233
national institute of information and communications technology;university of geneva;0.0227272727273
harbin institute of technology;university of tokyo;0.0526315789474
university of texas at dallas;university of texas at dallas;0.949970217972
university of utah;university of pittsburgh;0.255897898063
university of utah;cornell university;0.254158279656
university of utah;university of utah;0.685447007201
university of maryland college park;university of pittsburgh;0.276311151566
university of maryland college park;cornell university;0.207351482989
university of maryland college park;university of utah;0.219967768292
bar ilan university;johns hopkins university;0.0196078431373
saint louis university;johns hopkins university;0.0196078431373
brown university;johns hopkins university;0.455054749172
university of illinois at urbana champaign;peking university;0.0238095238095
university of illinois at urbana champaign;microsoft;0.488716356108
ibm;ibm;3.35083744918
columbia university;ibm;0.395833333333
universite de montreal;university of massachusetts amherst;0.213368983957
mcgill university;university of massachusetts amherst;0.0606060606061
hebrew university of jerusalem;technische universitat munchen;0.0714285714286
university of cambridge;university of stuttgart;0.207240402142
university of massachusetts amherst;massachusetts institute of technology;0.169342231842
university of massachusetts amherst;brown university;0.351493977037
stony brook university;the chinese university of hong kong;0.0344827586207
