Source;Target;Weight
university of tubingen;massachusetts institute of technology;0.0535714285714
university of tubingen;harvard medical school;0.0357142857143
chiba university;new york university;0.0285714285714
osaka electro communication university;new york university;0.114285714286
graz university of technology;university of maryland college park;0.448484848485
university of barcelona;university of glasgow;0.0128205128205
open university of catalonia;university of glasgow;0.0128205128205
princeton university;university of glasgow;0.0128205128205
martin luther university of halle wittenberg;howard hughes medical institute;0.0434782608696
loughborough university;university of huddersfield;0.025
loughborough university;stanford university;0.025
university of alabama at birmingham;massachusetts institute of technology;0.0769230769231
university of alabama at birmingham;fraunhofer society;0.0384615384615
university of alabama at birmingham;university of hamburg;0.0384615384615
aselsan;middlebury college;0.05
aselsan;microsoft;0.05
middle east technical university;middlebury college;0.05
middle east technical university;microsoft;0.05
french institute for research in computer science and automation;university of maryland college park;0.379926762809
democritus university of thrace;university of british columbia;0.0555555555556
university of sassari;at t;0.0625
french institute for research in computer science and automation;lear corporation;0.183445399678
french institute for research in computer science and automation;chinese academy of sciences;0.259523032768
polytechnic university of turin;jet propulsion laboratory;0.222222222222
charles iii university of madrid;siemens;0.105263157895
university of electro communications;saitama university;0.047619047619
saitama university;saitama university;0.137566137566
university of potsdam;new york institute of technology;0.0555555555556
university of paris sud;centre national de la recherche scientifique;0.0526315789474
university of paris sud;university of paris sud;0.0877192982456
university of paris sud;paristech;0.0175438596491
university of paris sud;clemson university;0.0526315789474
university of lugano;national and kapodistrian university of athens;0.015873015873
tel aviv university;national and kapodistrian university of athens;0.171169108669
university of lugano;technion israel institute of technology;0.0952380952381
tel aviv university;technion israel institute of technology;0.305656084656
james i university;florida state university;0.0384615384615
linkoping university;florida state university;0.0384615384615
technische universitat darmstadt;rwth aachen university;0.133333333333
technische universitat darmstadt;siemens;0.0666666666667
university of sheffield;beckman institute for advanced science and technology;0.037037037037
university of sheffield;nec;0.037037037037
university of illinois at urbana champaign;university of illinois at urbana champaign;2.08769589795
university of illinois at urbana champaign;microsoft;1.55896673092
university of illinois at urbana champaign;southeast university;0.00757575757576
university of chile;college of william mary;0.0666666666667
austral university of chile;college of william mary;0.0333333333333
georgia institute of technology;siemens;0.803274227235
georgia institute of technology;cornell university;0.281157894737
university of california berkeley;siemens;0.124688423645
university of california berkeley;cornell university;0.212343889595
dublin city university;carnegie mellon university;0.00238095238095
dublin city university;university of california berkeley;0.00952380952381
royal college of surgeons in ireland;carnegie mellon university;0.0047619047619
royal college of surgeons in ireland;university of california berkeley;0.0190476190476
dublin city university;university of bologna;0.0119047619048
royal college of surgeons in ireland;university of bologna;0.0238095238095
centre national de la recherche scientifique;university of surrey;0.0663640456182
centre national de la recherche scientifique;french institute for research in computer science and automation;2.17445349986
centre national de la recherche scientifique;university of oxford;0.504211912038
centre national de la recherche scientifique;general electric;0.0801664086687
daimler ag;carnegie mellon university;0.158197419669
technical university of kenya;massachusetts institute of technology;0.138963539976
technische universitat munchen;robotics institute;0.457844129555
osaka university;university of mannheim;0.0724637681159
osaka university;oxford brookes university;0.0434782608696
west pomeranian university of technology;national university of singapore;0.0714285714286
french institute for research in computer science and automation;johns hopkins university;0.17001556178
french institute for research in computer science and automation;microsoft;2.50388404181
nanjing university;dublin city university;0.166666666667
nanjing university;telecom paristech;0.0833333333333
nanjing university;university of geneva;0.0833333333333
university of lubeck;delft university of technology;0.0625
canon inc;national university of singapore;0.0238095238095
canon inc;chinese academy of sciences;0.0297619047619
university of lyon;university of southern california;0.140350877193
university of california;university of california berkeley;1.88164536982
university of copenhagen;university of copenhagen;0.301615997639
university of copenhagen;tulane university;0.0277777777778
zhejiang university;dalhousie university;0.0289855072464
zhejiang university;carleton university;0.0144927536232
university of munster;university of north texas;0.142857142857
national technical university of athens;university of massachusetts amherst;0.025
national technical university of athens;brown university;0.025
technical university of berlin;robotics institute;0.0769230769231
philips;university of minnesota;0.113888888889
philips;pompeu fabra university;0.0444444444444
technische universitat munchen;bbn technologies;0.0434782608696
university of dundee;university of twente;0.0714285714286
university of ulsan;sri international;0.142857142857
university of ulsan;university of california san diego;0.0714285714286
sabanci university;department of computer science university of illinois at urbana champaign;0.0357142857143
warsaw university of technology;sarnoff corporation;0.015625
warsaw university of technology;national institute of standards and technology;0.015625
warsaw university of technology;university of maryland college park;0.155792124542
maria curie sklodowska university;sarnoff corporation;0.015625
maria curie sklodowska university;national institute of standards and technology;0.015625
maria curie sklodowska university;university of maryland college park;0.03125
warsaw university of technology;university of sao paulo;0.047619047619
peking university;hong kong university of science and technology;0.0120357459754
peking university;the chinese university of hong kong;0.0520421607378
peking university;university of oxford;0.268420585626
university of toronto scarborough;university of north carolina at chapel hill;0.0714285714286
university of catania;brown university;0.0526315789474
university of manchester;robotics institute;0.0909090909091
paristech;mitsubishi electric;0.0416666666667
it university of copenhagen;it university of copenhagen;0.153846153846
university of oxford;university of oxford;2.36429556837
technische universitat munchen;siemens;0.218034569597
ludwig maximilian university of munich;siemens;0.0475
centre national de la recherche scientifique;university of amsterdam;0.193954854669
centre national de la recherche scientifique;ecole normale superieure;0.296217274789
carnegie mellon university;carnegie mellon university;2.6975714359
university of southern california;university of southern california;2.29600578394
poznan university of technology;mitsubishi;0.666666666667
centre national de la recherche scientifique;technion israel institute of technology;0.100490196078
minneapolis institute of arts;technical university of berlin;0.02
minneapolis institute of arts;austrian research institute for artificial intelligence;0.02
washington university in st louis;stanford university;0.141666666667
washington university in st louis;carnegie mellon university;0.295512820513
imperial college london;university of houston;0.0625
imperial college london;national and kapodistrian university of athens;0.0375
the catholic university of america;university of rio grande;0.0666666666667
the catholic university of america;istanbul technical university;0.2
siemens;siemens;2.49461195363
university of catania;university of catania;0.3
hebrew university of jerusalem;university of western ontario;0.144298245614
gifu shotoku gakuen university;university of washington;0.0285714285714
nagoya university;university of washington;0.114285714286
telecom management sudparis;microsoft;0.0666666666667
leibniz university of hanover;university of southern california;0.0588235294118
leibniz university of hanover;university of california irvine;0.0294117647059
leibniz university of hanover;university of stuttgart;0.0294117647059
nanyang technological university;nanyang technological university;0.663703416149
eth zurich;eth zurich;3.58079429841
graz university of technology;johns hopkins university;0.078431372549
graz university of technology;technische hochschule;0.0196078431373
graz university of technology;monash university clayton campus;0.0196078431373
osaka university;french institute for research in computer science and automation;0.260746606335
istituto italiano di tecnologia;queen mary university of london;0.0555555555556
istituto italiano di tecnologia;sun yat sen university;0.0277777777778
microsoft;microsoft;5.93307988651
temple university;university of michigan;0.0659722222222
temple university;princeton university;0.0652412280702
university of lyon;wake forest university;0.025
university of los andes;wake forest university;0.075
university of auckland;university of southern california;0.0232558139535
university of north carolina at chapel hill;eth zurich;0.128919753086
ge global research;eth zurich;0.0708333333333
aalborg university;cornell university;0.125
massachusetts institute of technology;washington university school of medicine;0.074025974026
yonsei university;general motors;0.0238095238095
sejong university;general motors;0.047619047619
university of bonn;university college london;0.0374588491677
university of bonn;at t labs;0.0357142857143
beckman institute for advanced science and technology;stanford university;0.187826696771
university of amsterdam;stanford university;0.137508626639
leiden university;stanford university;0.0550595238095
nust school of civil and environmental engineering;university of illinois at urbana champaign;0.0274725274725
nust school of civil and environmental engineering;princeton university;0.03663003663
university of tokyo;department of computer science university of illinois at urbana champaign;0.0133333333333
university of tokyo;simon fraser university;0.632917096663
institut national des sciences appliquees de lyon;georgia institute of technology;0.111111111111
xerox;beckman institute for advanced science and technology;0.0234375
xerox;nec;0.015625
silesian university of technology;lappeenranta university of technology;0.0526315789474
xerox;xerox;0.674205544287
french institute for research in computer science and automation;university of tubingen;0.231468456948
university of alcala;university of michigan;0.0198412698413
university of alcala;princeton university;0.031746031746
university of michigan;university of michigan;0.40706268508
university of michigan;princeton university;0.176875423427
katholieke universiteit leuven;university of michigan;0.0198412698413
katholieke universiteit leuven;princeton university;0.031746031746
massachusetts institute of technology;harvard university;0.062037037037
massachusetts institute of technology;massachusetts institute of technology;6.53280739817
massachusetts institute of technology;university of north carolina at chapel hill;0.268790849673
rwth aachen university;university of washington;0.570263601691
rwth aachen university;ecole normale superieure;0.0384615384615
eth zurich;instituto superior tecnico;0.0526315789474
stanford university;nec;0.0470238095238
university of california berkeley;nec;0.106666666667
columbia university;nec;0.138345864662
tufts university;heidelberg university;0.0231481481481
tufts university;ecole polytechnique federale de lausanne;0.0324074074074
harvard university;heidelberg university;0.115740740741
harvard university;ecole polytechnique federale de lausanne;0.166582491582
the chinese university of hong kong;max planck institute for intelligent systems;0.2
lund university;university of bonn;0.494018272232
chinese academy of sciences;stanford university;0.171328136518
university of surrey;at t labs;0.181481481481
google;university of connecticut;0.0181818181818
ecole polytechnique federale de lausanne;university of connecticut;0.0727272727273
george mason university;university of oxford;0.15
athlone institute of technology;university of oxford;0.125
rensselaer polytechnic institute;rensselaer polytechnic institute;0.504666221075
university of oulu;university of oulu;1.54184360302
university of oulu;chinese academy of sciences;0.254722222222
university of california los angeles;georgia institute of technology;0.332898217767
technion israel institute of technology;ecole normale superieure;0.122023809524
university of rochester;huazhong university of science and technology;0.111111111111
university at buffalo;huazhong university of science and technology;0.0555555555556
rensselaer polytechnic institute;stanford university;0.168712493181
rensselaer polytechnic institute;university of michigan;0.0485625485625
catholic university of korea;university of stirling;0.0208333333333
university of texas at austin;oxford brookes university;0.0192307692308
university of texas at austin;microsoft;0.222593857584
university of texas at austin;university of texas at austin;0.640146192929
max planck society;stanford university;0.476407341593
university of adelaide;nicta;0.145191511387
