Source;Target;Weight
katholieke universiteit leuven;siemens;0.0833333333333
columbia university;university college london;0.529930343349
idiap research institute;helsinki university of technology;0.025
institute for theoretical computer science;helsinki university of technology;0.1
saarland university;helsinki university of technology;0.125
national university of singapore;arizona state university;0.0925925925926
university of wisconsin madison;university of california;0.255749559083
arizona state university;university of california;0.203622631848
university of wisconsin madison;georgia institute of technology;0.36091954023
arizona state university;georgia institute of technology;0.113095238095
french institute for research in computer science and automation;technion israel institute of technology;0.491669746569
university of texas at austin;stanford university;1.08196797308
university of texas at austin;university of aberdeen;0.0984615384615
centre national de la recherche scientifique;university of texas at austin;0.222613470555
centre national de la recherche scientifique;microsoft;0.293743864887
centre national de la recherche scientifique;ohio state university;0.0234375
university of erlangen nuremberg;vu university medical center;0.0357142857143
siemens;vu university medical center;0.0357142857143
french institute for research in computer science and automation;french institute for research in computer science and automation;2.10674600384
french institute for research in computer science and automation;ecole normale superieure;0.213068659929
centers for medicare and medicaid services;french institute for research in computer science and automation;0.0858585858586
centers for medicare and medicaid services;ecole normale superieure;0.010101010101
university of alberta;university of alberta;3.2976305457
osaka university;weizmann institute of science;0.0223684210526
osaka university;microsoft;0.0122807017544
osaka university;university of california san diego;0.0567251461988
university of hamburg;weizmann institute of science;0.0223684210526
university of hamburg;microsoft;0.0293747188484
university of hamburg;university of california san diego;0.0289473684211
princeton university;max planck society;0.2
princeton university;stanford university;0.70533500097
princeton university;cornell university;0.171568627451
stanford university;university of toronto;1.81372412018
stanford university;national university of singapore;0.301709192255
university of texas at austin;association for computing machinery;0.117139133268
tsinghua university;at t;0.270282515991
microsoft;at t;0.902516534392
university of science and technology of china;at t;0.0208333333333
tsinghua university;ibm;0.0506343052109
tsinghua university;google;0.0962498704395
tsinghua university;columbia university;0.387265927866
microsoft;ibm;1.0570784757
microsoft;google;0.333455568913
microsoft;columbia university;0.819397781086
university of science and technology of china;ibm;0.0260416666667
university of science and technology of china;google;0.00520833333333
university of science and technology of china;columbia university;0.0558712121212
stanford university;university of wisconsin madison;0.194905372405
university of pennsylvania;university of wisconsin madison;0.100961538462
ohio state university;university of wisconsin madison;0.0400641025641
university of technology sydney;nanjing university;0.00568181818182
university of technology sydney;hong kong baptist university;0.00568181818182
university of adelaide;nanjing university;0.00568181818182
university of adelaide;hong kong baptist university;0.00568181818182
university of california san diego;nanjing university;0.00568181818182
university of california san diego;hong kong baptist university;0.00568181818182
princeton university;nanjing university;0.00568181818182
princeton university;hong kong baptist university;0.00568181818182
max planck society;max planck society;28.1028317263
tsinghua university;siemens healthcare;0.0333333333333
tsinghua university;nec;0.0166666666667
university of california merced;university of toronto;0.374358974359
carnegie mellon university;university of pittsburgh;0.323229020751
princeton university;university of pittsburgh;0.0175438596491
mines paristech;stanford university;0.0571846941639
french institute for research in computer science and automation;stanford university;0.649851581141
stanford university;university of pennsylvania;0.977476659907
robotics institute;max planck society;0.507810758082
carnegie mellon university;massachusetts institute of technology;2.75349158441
university of oxford;lear corporation;0.0333333333333
massachusetts institute of technology;massachusetts institute of technology;6.51419973318
bar ilan university;university of amsterdam;0.217647058824
fraunhofer society;karlsruhe institute of technology;0.181818181818
karlsruhe institute of technology;karlsruhe institute of technology;0.963406079046
australian national university;duke university;0.148611111111
australian national university;brown university;0.245238095238
university of washington;french institute for research in computer science and automation;0.0392156862745
university of california berkeley;french institute for research in computer science and automation;0.350949268596
universite de montreal;universite de sherbrooke;0.00337837837838
universite de montreal;university of british columbia;0.103423423423
universite de montreal;university of verona;0.00337837837838
university of toronto;universite de sherbrooke;0.00168918918919
university of toronto;university of british columbia;0.195736833393
university of toronto;university of verona;0.00168918918919
canadian institute for advanced research;universite de sherbrooke;0.00168918918919
canadian institute for advanced research;university of british columbia;0.00337837837838
canadian institute for advanced research;university of verona;0.00168918918919
university college london;university at albany suny;0.333333333333
aalto university school of science;microsoft;0.0392156862745
university of helsinki;microsoft;0.225257560651
university of edinburgh;university of amsterdam;0.0263157894737
university of leeds;university of amsterdam;0.0263157894737
kaunas university of technology;university of birmingham;0.08
technical university of denmark;robotics institute;0.0588235294118
university of california san diego;university of exeter;0.0356481481481
university of california san diego;university of bristol;0.104996807152
university of california san diego;chinese academy of sciences;0.0148148148148
columbia university;university of exeter;0.00740740740741
columbia university;university of bristol;0.00740740740741
columbia university;chinese academy of sciences;0.00740740740741
university of california san diego;university of wisconsin madison;0.289466400087
university of california san diego;georgia institute of technology;0.193300653595
columbia university;university of wisconsin madison;0.219140989729
columbia university;georgia institute of technology;0.0801587301587
bar ilan university;bar ilan university;0.790196078431
university of minnesota;university of california;0.0743902439024
national taiwan university of science and technology;indian council of medical research;0.025641025641
national taiwan university of science and technology;national cancer institute;0.0512820512821
nanyang technological university;university of pennsylvania;0.391534391534
university of washington;daimler ag;0.0416666666667
tsinghua university;daimler ag;0.0138888888889
idiap research institute;massachusetts institute of technology;0.303737364511
ecole polytechnique federale de lausanne;massachusetts institute of technology;0.802869481126
beckman institute for advanced science and technology;massachusetts institute of technology;0.0048
beckman institute for advanced science and technology;mitsubishi electric research laboratories;0.0032
purdue university;massachusetts institute of technology;0.363446953405
purdue university;mitsubishi electric research laboratories;0.0032
virginia tech;massachusetts institute of technology;0.0107103448276
virginia tech;mitsubishi electric research laboratories;0.00426666666667
air force institute of technology;massachusetts institute of technology;0.0016
air force institute of technology;mitsubishi electric research laboratories;0.00106666666667
university of chicago;massachusetts institute of technology;0.0272333333333
university of chicago;mitsubishi electric research laboratories;0.00426666666667
tampere university of technology;aalto university;0.0416666666667
aalto university;aalto university;0.0852165725047
tampere university of technology;helsinki university of technology;0.0416666666667
aalto university;helsinki university of technology;0.0833333333333
university of toronto;university of paris sud;0.1
university of toronto;university of toronto;9.33696202281
polytechnic university of catalonia;harvard university;0.0833333333333
polytechnic university of catalonia;university of calgary;0.0833333333333
polytechnic university of catalonia;technion israel institute of technology;0.0833333333333
university of texas at austin;university of texas at austin;2.9569807965
university of maryland college park;max planck society;0.453448924034
nec;max planck society;0.709984824696
ibm;school of electronics and computer science university of southampton;0.0147058823529
ibm;katholieke universiteit leuven;0.114310625436
massachusetts institute of technology;school of electronics and computer science university of southampton;0.0147058823529
massachusetts institute of technology;katholieke universiteit leuven;0.0147058823529
stanford university;carnegie mellon university;2.57681682268
idiap research institute;idiap research institute;0.999146904867
language technologies institute;columbia university;0.0669642857143
university of washington;university of british columbia;0.307497889108
university of pennsylvania;university of british columbia;0.0899223325694
harvard university;university of british columbia;0.137572621641
facebook;stony brook university;0.0374149659864
ecole polytechnique federale de lausanne;stony brook university;0.0748299319728
hebrew university of jerusalem;university college london;0.431992568835
pohang university of science and technology;northwestern university;0.025
pohang university of science and technology;nec;0.0625
french institute for research in computer science and automation;northwestern university;0.00833333333333
french institute for research in computer science and automation;nec;0.145308066866
carnegie mellon university;yahoo;0.316650466632
carnegie mellon university;google;0.344604263892
carnegie mellon university;carnegie mellon university;10.5482683134
microsoft;fox chase cancer center;0.0714285714286
university of massachusetts amherst;university of california san diego;0.261904761905
university of cambridge;university of sheffield;0.078869047619
university of cambridge;athens university of economics and business;0.0238095238095
university of cambridge;charles iii university of madrid;0.0238095238095
karlsruhe institute of technology;carnegie mellon university;0.656307326585
elekta;university of california los angeles;0.1
google;ibm;0.471841818764
google;florida international university;0.0396913580247
google;university of california san diego;0.194769520603
carnegie mellon university;ibm;1.23654330002
carnegie mellon university;florida international university;0.087704530687
carnegie mellon university;university of california san diego;0.576472689273
princeton university;carnegie mellon university;0.987812300359
duke university;microsoft;0.706599832916
duke university;instituto superior tecnico;0.05
university of basel;stanford university;0.0208333333333
university of basel;ibm;0.0208333333333
eth zurich;stanford university;0.481120049541
eth zurich;ibm;0.102272727273
oregon state university;mitsubishi;0.0258620689655
hewlett packard;mitsubishi;0.00862068965517
stanford university;brown university;0.667229782995
massachusetts institute of technology;chicago metropolitan agency for planning;0.0769230769231
university of basel;university of nottingham;0.0787037037037
eth zurich;university of nottingham;0.0393518518519
instituto politecnico nacional;university of texas at austin;0.333333333333
university of california san diego;university of pennsylvania;0.556188376467
university of washington;university of california berkeley;0.924343307764
fraunhofer society;max planck society;0.220432900433
university of illinois at urbana champaign;university of edinburgh;0.188492063492
omron;university of kentucky;0.0238095238095
omron;procter gamble;0.0238095238095
university of pennsylvania;university of massachusetts amherst;0.0991919191919
google;university of massachusetts amherst;0.0277777777778
university of new brunswick;university of california;0.0555555555556
china university of geosciences;university of california;0.0277777777778
hong kong university of science and technology;university of illinois at urbana champaign;0.0320512820513
hong kong university of science and technology;university of alberta;0.0128205128205
guangxi normal university;university of illinois at urbana champaign;0.00641025641026
guangxi normal university;university of alberta;0.0128205128205
university of western ontario;university of illinois at urbana champaign;0.0294871794872
university of western ontario;university of alberta;0.108974358974
ibm;australian national university;0.718080808081
ibm;columbia university;0.423415706026
ibm;university of massachusetts amherst;0.191672951232
ibm;yahoo;0.0664546325837
university of california;university of california san diego;0.261111111111
michigan state university;university of california berkeley;0.180570406361
nanyang technological university;university of california berkeley;0.25505952381
university of utah;university of pennsylvania;0.15728460556
university of california berkeley;university of pennsylvania;0.37491676692
carnegie mellon university;brown university;1.5271621047
carnegie mellon university;at t labs;1.38852637278
university of utah;university college london;0.0350985221675
university of utah;at t labs;0.0172413793103
technion israel institute of technology;carnegie mellon university;0.549114216394
beijing university of technology;purdue university;0.0175438596491
chinese academy of sciences;purdue university;0.09361946533
university of minnesota;university of minnesota;0.27325614424
arizona state university;university of minnesota;0.147013614405
fudan university;university of illinois at urbana champaign;0.144285714286
carnegie mellon university;university of illinois at urbana champaign;0.331683433763
ibm;robotics institute;0.0707196969697
university of illinois at urbana champaign;robotics institute;0.0469696969697
university of chicago;robotics institute;0.040303030303
massachusetts institute of technology;yale university;0.289682539683
yale university;yale university;0.584776334776
university of sheffield;university of sheffield;0.555337228131
university of sheffield;university of washington;0.0715617715618
university of manchester;university of sheffield;0.195703601954
university of manchester;university of washington;0.0151515151515
carnegie mellon university;microsoft;2.6598472906
mcgill university;university of alberta;0.0498480243161
indian institute of science;university of alberta;0.0394409937888
california institute of technology;northeastern university;0.0222222222222
california institute of technology;university at albany suny;0.0444444444444
the chinese university of hong kong;university of pennsylvania;0.116666666667
university of illinois at urbana champaign;university of pennsylvania;0.405999285817
tsinghua university;university of toronto;0.110943223443
microsoft;university of toronto;0.710611862842
university of texas at austin;ulster university;0.0714285714286
university of milan;university of california berkeley;0.0533333333333
university of milan;microsoft;0.0533333333333
cornell university;at t labs;0.707285613922
fraunhofer society;syracuse university;0.02
kyoto university;syracuse university;0.08
indian institute of technology bombay;stanford university;0.384340480832
indian institute of technology bombay;carnegie mellon university;0.125349252762
indian institute of technology bombay;university of california berkeley;0.0844814241486
czech technical university in prague;university college london;0.0740338164251
university of california san diego;rutgers university;0.0857991681521
georgia institute of technology;university of edinburgh;0.0510006901311
georgia institute of technology;el paso community college;0.0238095238095
university of massachusetts amherst;university of michigan;0.161111111111
french institute for research in computer science and automation;helsinki institute for information technology;0.0759615384615
french institute for research in computer science and automation;massachusetts institute of technology;0.812001118731
supelec;helsinki institute for information technology;0.0125
supelec;massachusetts institute of technology;0.0125
technical university of crete;ericsson;0.0185185185185
technical university of crete;judge rotenberg educational center;0.037037037037
university of queensland;microsoft;0.0166666666667
nicta;microsoft;0.348561354366
university of california merced;university of pennsylvania;0.0769230769231
institut national des sciences appliquees de rouen;technical university of berlin;0.0277777777778
institut national des sciences appliquees de rouen;austrian research institute for artificial intelligence;0.0277777777778
institut national des sciences appliquees de rouen;centre national de la recherche scientifique;0.111111111111
university of science and technology sana a;ibm;0.015625
university of science and technology sana a;university of southampton;0.015625
university of science and technology sana a;merrill lynch;0.015625
university of science and technology sana a;university of california davis;0.015625
lawrence berkeley national laboratory;university of chicago;0.0555555555556
zhejiang university;stanford university;0.0827546296296
zhejiang university;university of california berkeley;0.0899456521739
carnegie mellon university;ecole normale superieure;0.286519328625
university of toronto;university of delaware;0.0130718954248
university of toronto;university of minnesota;0.201797385621
ryerson university;university of delaware;0.00653594771242
ryerson university;university of minnesota;0.0522875816993
university of toronto;hebrew university of jerusalem;0.805904997466
ryerson university;hebrew university of jerusalem;0.0196078431373
ecole polytechnique federale de lausanne;universite de montreal;0.121323529412
toyota technological institute at chicago;carnegie mellon university;0.242931822487
toyota technological institute at chicago;toyota;0.0385610766046
university of texas at austin;carnegie mellon university;0.928971474937
university of texas at austin;toyota;0.0048309178744
microsoft;carnegie mellon university;2.85485751966
microsoft;toyota;0.0078612209047
