Source;Target;Weight
ohio state university;at t;0.0285714285714
facebook;university of california los angeles;0.0025
facebook;massachusetts institute of technology;0.037328425987
alibaba group;university of california los angeles;0.0025
alibaba group;massachusetts institute of technology;0.0025
nec;university of california los angeles;0.005
nec;massachusetts institute of technology;0.186432748538
duke university;ceremade;0.0496572612785
duke university;ecole normale superieure;0.0220931215551
hong kong polytechnic university;university of kentucky;0.101449275362
hong kong polytechnic university;university of louisville;0.0289855072464
hong kong polytechnic university;hong kong polytechnic university;0.0434782608696
french institute for research in computer science and automation;university of cambridge;0.20597826087
higher school of communication of tunis;university of cambridge;0.0434782608696
hong kong university of science and technology;hong kong university of science and technology;0.935110937996
hong kong university of science and technology;university of california los angeles;0.149700406927
university of california los angeles;hong kong university of science and technology;0.0224137931034
university of california los angeles;university of california los angeles;0.45442647014
singapore university of technology and design;hong kong university of science and technology;0.0224137931034
singapore university of technology and design;university of california los angeles;0.0114942528736
hong kong university of science and technology;university of tokyo;0.0616219667944
hong kong university of science and technology;microsoft;0.876834346055
hong kong university of science and technology;national university of singapore;0.0656130268199
university of california los angeles;university of tokyo;0.0590517241379
university of california los angeles;microsoft;0.340086558148
university of california los angeles;national university of singapore;0.0119671675706
singapore university of technology and design;university of tokyo;0.0215517241379
singapore university of technology and design;microsoft;0.010775862069
singapore university of technology and design;national university of singapore;0.00502873563218
nanyang technological university;university of minnesota;0.151428571429
nanyang technological university;nanyang technological university;1.18269213895
duke university;department of engineering university of cambridge;0.0215909090909
university of texas at austin;department of engineering university of cambridge;0.00454545454545
twitter;department of engineering university of cambridge;0.00454545454545
princeton university;department of engineering university of cambridge;0.0252244668911
duke university;university of minnesota;0.229978814758
university of texas at austin;university of minnesota;0.0322319347319
twitter;university of minnesota;0.00659090909091
princeton university;university of minnesota;0.00659090909091
johns hopkins university;stanford university;0.206516702505
johns hopkins university;northeastern university;0.0112359550562
johns hopkins university;university of mannheim;0.0112359550562
university of lincoln;australian national university;0.0260869565217
imperial college london;australian national university;0.104347826087
college of information technology;national university of singapore;0.00480769230769
college of information technology;south china university of technology;0.00961538461538
college of information technology;university of maryland college park;0.00721153846154
nicta;national university of singapore;0.00480769230769
nicta;south china university of technology;0.00961538461538
nicta;university of maryland college park;0.00721153846154
tsinghua university;johns hopkins university;0.135401635402
kaist;university of kiel;0.040625
kaist;university of siegen;0.06875
microsoft;university of kiel;0.0197916666667
microsoft;university of siegen;0.0354166666667
university of california riverside;university of michigan;0.0526315789474
university of california riverside;department of computer science university of illinois at urbana champaign;0.00526315789474
university of california riverside;simon fraser university;0.0377192982456
department of engineering university of cambridge;weizmann institute of science;0.00454545454545
department of engineering university of cambridge;microsoft;0.206117190705
columbia university;weizmann institute of science;0.364144949561
columbia university;microsoft;0.920807935381
university of houston;stanford university;0.0833333333333
university of houston;carnegie mellon university;0.0917430887826
georgia institute of technology;stanford university;0.21243060073
georgia institute of technology;carnegie mellon university;0.214272758895
istituto italiano di tecnologia;university of cambridge;0.0147058823529
pohang university of science and technology;university college london;0.222222222222
university of rhode island;university of texas at austin;0.00772430184195
university of rhode island;pennsylvania state university;0.00267379679144
chinese academy of sciences;university of texas at austin;0.0440597678928
chinese academy of sciences;pennsylvania state university;0.00950016370184
university of rhode island;beihang university;0.0120023767083
university of rhode island;university of california riverside;0.00118835412953
chinese academy of sciences;beihang university;0.0301565937595
chinese academy of sciences;university of california riverside;0.00985343632402
university of rhode island;philips;0.00713012477718
chinese academy of sciences;philips;0.00356506238859
university of rhode island;ibm;0.00356506238859
chinese academy of sciences;ibm;0.19564209457
international centre for theoretical physics;university of sharjah;0.0258064516129
international centre for theoretical physics;university of zurich;0.00645161290323
university of hamburg;university of hamburg;0.615053763441
ecole normale superieure;university of florida;0.0509259259259
indian institute of technology hyderabad;university of california santa barbara;0.00238095238095
indian institute of technology hyderabad;stanford university;0.00714285714286
arizona state university;university of california santa barbara;0.00714285714286
arizona state university;stanford university;0.0222943722944
carnegie mellon university;university of california santa barbara;0.00238095238095
carnegie mellon university;stanford university;0.116667895228
indian institute of technology hyderabad;delft university of technology;0.0047619047619
arizona state university;delft university of technology;0.0645308123249
carnegie mellon university;delft university of technology;0.0172619047619
university of central florida;university of cambridge;0.0625
university of toronto;ludwig maximilian university of munich;0.0289855072464
adobe systems;ludwig maximilian university of munich;0.0144927536232
university of kentucky;yale university;0.2
mcgill university;robotics institute;0.0203703703704
ecole normale superieure;robotics institute;0.302547026172
mcgill university;french institute for research in computer science and automation;0.0805555555556
ecole normale superieure;french institute for research in computer science and automation;0.306833154885
university of manchester;university of sheffield;0.0420141620771
university of manchester;university of manchester;2.18395079874
university of manchester;siemens;0.0297665879885
university of manchester;university of cape town;0.0487804878049
the school of life;norwich university;0.0147058823529
united states army research laboratory;university of southern california;0.0555555555556
university of cambridge;disney research;0.00380952380952
university of cambridge;university of pittsburgh;0.00190476190476
university of cambridge;university of northern british columbia;0.00190476190476
university of cambridge;mcmaster university;0.00190476190476
imperial college london;disney research;0.0225396825397
imperial college london;university of pittsburgh;0.0406349206349
imperial college london;university of northern british columbia;0.0158592132505
