Source;Target;Weight
university of california san diego;university of pittsburgh;0.0108695652174
university of california san diego;university of california davis;0.0108695652174
university of leoben;university of pennsylvania;0.0909090909091
interdisciplinary center for neural computation;interdisciplinary center for neural computation;0.366666666667
max planck institute for intelligent systems;indian statistical institute;0.0384615384615
max planck institute for intelligent systems;university of guelph;0.0523504273504
weizmann institute of science;university of california berkeley;0.0769230769231
max planck society;max planck society;20.9129931485
nec;at t;0.0666666666667
microsoft;university of illinois at chicago;0.0651260504202
universite de montreal;university of pittsburgh school of medicine;0.0238095238095
york university;university of pittsburgh school of medicine;0.0119047619048
university of pittsburgh;university of pittsburgh school of medicine;0.0357142857143
carnegie mellon university;robotics institute;0.590909090909
max planck society;royal holloway university of london;1.36346153846
university of toronto;merck co;0.333333333333
max planck society;massachusetts general hospital;0.0818181818182
toyota technological institute;royal institute of technology;0.1
max planck society;carnegie mellon university;3.30638281309
max planck society;university of tokyo;0.0589743589744
max planck society;osaka university;0.0863247863248
ecole normale superieure;max planck society;0.177777777778
courant institute of mathematical sciences;massachusetts institute of technology;0.0384615384615
courant institute of mathematical sciences;university of california san diego;0.0384615384615
university of california berkeley;robotics institute;0.25
university of washington;brown university;0.0277777777778
university of washington;carnegie mellon university;0.277777777778
university of washington;university college london;0.184343434343
university of washington;college of william mary;0.0277777777778
max planck institute for intelligent systems;helsinki institute for information technology;0.14649122807
microsoft;california institute of technology;0.4
carnegie mellon university;parc;0.142857142857
max planck society;university of science and technology sana a;0.05
university of rochester;max planck society;0.25
carnegie mellon university;ibm;0.301680672269
max planck society;university of toronto;0.840034965035
max planck society;at t;1.78868527509
max planck society;massachusetts institute of technology;1.81297730048
max planck society;ecole polytechnique;0.234508547009
carnegie mellon university;massachusetts institute of technology;0.871738604533
max planck institute for intelligent systems;university of geneva;0.1
max planck institute for intelligent systems;university of massachusetts amherst;0.1
microsoft;carnegie mellon university;1.6948758389
microsoft;stanford university;1.37050070028
hebrew university of jerusalem;university college london;0.114035087719
columbia university;johns hopkins university;0.0506329113924
university of illinois at urbana champaign;university of oxford;0.361111111111
charite;university of alberta;0.125
microsoft;university of california los angeles;0.267606516291
microsoft;fx palo alto laboratory;0.0416666666667
university of arizona;university of michigan;0.0238095238095
university of arizona;princeton university;0.047619047619
university of arizona;carnegie mellon university;0.0952380952381
nec;brown university;0.166666666667
university of zurich;university of zurich;0.558823529412
institute for theoretical computer science;technion israel institute of technology;0.0384615384615
university of pittsburgh;technion israel institute of technology;0.0384615384615
los alamos national laboratory;los alamos national laboratory;0.4
university of pennsylvania;tokyo institute of technology;0.111111111111
university of pennsylvania;centre national de la recherche scientifique;0.0555555555556
max planck society;stanford university;2.44441900692
massachusetts institute of technology;university of waterloo;0.336805555556
eth zurich;university of southern california;0.138888888889
eth zurich;yale university;0.0833333333333
iowa state university;max planck society;0.0833333333333
carnegie mellon university;stanford university;1.01779984721
carnegie mellon university;carnegie mellon university;3.20405879524
max planck institute for intelligent systems;georgia institute of technology;0.269162087912
max planck institute for intelligent systems;shanghai jiao tong university;0.09375
california institute of technology;university of chicago;0.166666666667
ecole polytechnique federale de lausanne;university of chicago;0.1
mcgill university;duke university;0.0277777777778
university of alberta;duke university;0.155555555556
university of edinburgh;university of cambridge;0.2
max planck society;university of california santa cruz;0.200066137566
max planck society;university of helsinki;0.529304029304
max planck society;saarland university;0.261904761905
max planck society;university of california berkeley;1.44997789735
university of california berkeley;university of california berkeley;1.23442460317
hebrew university of jerusalem;hebrew university of jerusalem;1.78558006536
university of liege;cleveland clinic;0.0769230769231
university of alberta;university of michigan;0.95
max planck society;university of california;0.78373015873
massachusetts institute of technology;system development corporation;0.0666666666667
massachusetts institute of technology;harvard university;0.0666666666667
massachusetts institute of technology;university of california berkeley;1.34736856281
university of pennsylvania;harvard university;0.5
stanford university;stanford university;3.34593330112
stanford university;university college london;0.05
stanford university;carnegie mellon university;0.758986203498
stanford university;university of sydney;0.05
max planck society;california institute of technology;0.498340548341
max planck institute for intelligent systems;max planck society;2.64046078191
max planck institute for intelligent systems;yahoo;0.0990231990232
max planck institute for intelligent systems;australian national university;0.363869463869
center for neural science;center for neural science;0.30119047619
max planck society;howard hughes medical institute;0.540367965368
max planck society;university college london;0.859281741035
university of alberta;max planck institute for intelligent systems;0.111111111111
intel;california institute of technology;0.121212121212
california institute of technology;california institute of technology;0.742424242424
beckman institute for advanced science and technology;stanford university;0.0555555555556
beckman institute for advanced science and technology;carnegie mellon university;0.0555555555556
beckman institute for advanced science and technology;mitsubishi electric;0.111111111111
max planck society;graz university of technology;0.699473443223
max planck society;johns hopkins school of medicine;0.0565656565657
max planck society;johns hopkins university;0.340404040404
max planck society;columbia university;1.19600677101
