Source;Target;Weight
intel;intel;0.318384894142
stevens institute of technology;williams college;0.0104166666667
stevens institute of technology;bell labs;0.0402897509579
stevens institute of technology;university of south australia;0.0104166666667
purdue university;university of washington;0.588211710015
ohio state university;university of washington;0.065
purdue university;university of illinois at urbana champaign;0.219357882042
ohio state university;university of illinois at urbana champaign;0.132291666667
portland state university;kaiserslautern university of technology;0.2
portland state university;georgia institute of technology;0.2
portland state university;oregon health science university;0.641666666667
virginia tech;mitre corporation;0.0333333333333
virginia tech;university of california san diego;0.0333333333333
university of bologna;hewlett packard;0.0909090909091
ibm;cornell university;1.35424677642
microsoft;cornell university;0.440240840851
technion israel institute of technology;cornell university;0.0604312558357
university of british columbia;university of washington;0.0833333333333
harvey mudd college;university of california santa cruz;0.04
indiana university bloomington;brown university;0.0300059417706
indiana university bloomington;princeton university;0.0490196078431
national and kapodistrian university of athens;ecole polytechnique federale de lausanne;0.0769230769231
ibm;ibm;22.0763465659
ibm;state university of new york at new paltz;0.00661375661376
mcgill university;ibm;0.200595238095
mcgill university;state university of new york at new paltz;0.0396825396825
massachusetts institute of technology;university of washington;0.980195916838
university of waterloo;massachusetts institute of technology;0.095
university of waterloo;ecole polytechnique federale de lausanne;0.14
carnegie mellon university;florida institute of technology;0.0294117647059
carnegie mellon university;university of california riverside;0.0294117647059
university of california santa barbara;university of california;0.180952380952
university of south africa;harvard university;0.25
iowa state university;utrecht university;0.0729885057471
stevens institute of technology;utrecht university;0.0114942528736
ibm;north carolina state university;0.797010250286
college of william mary;massachusetts institute of technology;0.0404557363486
technische universitat darmstadt;technische universitat darmstadt;0.439628767459
university of california irvine;university of washington;0.0765435991682
university of california irvine;university of california berkeley;0.486941168768
university of alabama at birmingham;instituto politecnico nacional;0.125
purdue university;rice university;0.231505196967
french institute for research in computer science and automation;microsoft;0.182135642136
universidade federal de minas gerais;microsoft;0.0757575757576
intel;university of toronto;0.0763923395445
intel;mcgill university;0.0245884816377
intel;at t;0.0136704780727
intel;courant institute of mathematical sciences;0.00446428571429
eth zurich;university of toronto;0.0695054945055
eth zurich;mcgill university;0.0118172268908
eth zurich;at t;0.153135596344
eth zurich;courant institute of mathematical sciences;0.00446428571429
intel;stanford university;0.256498175028
eth zurich;stanford university;0.377903606799
eth zurich;intel;0.150704466569
technische universitat munchen;harvard university;0.0166666666667
forschungszentrum informatik;harvard university;0.0333333333333
vrije universiteit brussel;polytechnic university of catalonia;0.020325203252
vrije universiteit brussel;university of california san diego;0.00406504065041
delft university of technology;delft university of technology;5.50942561995
carnegie mellon university;university of california los angeles;0.22585119285
carnegie mellon university;university of california berkeley;0.451036817213
university of calgary;mcgill university;0.105263157895
columbia university;vu university amsterdam;0.0285714285714
northeastern university;northeastern university;1.36171791172
university of california irvine;northeastern university;0.0641025641026
university of sao paulo;princeton university;0.166666666667
defence science and technology organisation;stanford university;0.333333333333
university of illinois at urbana champaign;microsoft;0.423664255973
university of california berkeley;microsoft;0.635582341232
ohio state university;stony brook university;0.0396825396825
texas a m university;stony brook university;0.00793650793651
the chinese university of hong kong;university of memphis;0.111111111111
australian national university;microsoft;0.174974953282
australian national university;yale university;0.302514231499
kyoto university;university of pennsylvania;0.163058183646
ibm;university of california;0.544646630339
autonomous university of madrid;washington university in st louis;0.0520833333333
autonomous university of madrid;university of nebraska lincoln;0.0416666666667
autonomous university of madrid;daimler ag;0.0625
technical university of lisbon;open university;0.0588235294118
carnegie mellon university;massachusetts institute of technology;1.97687081194
university of salzburg;brown university;0.0588235294118
binghamton university;dalhousie university;0.0277777777778
university of washington;university of wisconsin madison;0.132460897978
university of washington;microsoft;1.1335113541
ibm;university of illinois at urbana champaign;0.668053869336
delft university of technology;utrecht university;1.10345030977
infosys;ibm;0.5
stanford university;university of california san diego;0.102866596574
national scientific and technical research council;tampere university of technology;0.0869565217391
university of utah;university of texas at austin;0.129458450047
technische universitat darmstadt;university of british columbia;0.220833333333
university of california berkeley;north carolina state university;0.0364607170099
