Source;Target;Weight
microsoft;university of cambridge;0.214695230775
microsoft;microsoft;6.35415765155
microsoft;rice university;0.289375100057
new york university;university of cambridge;0.0145833333333
new york university;microsoft;0.0819444444444
new york university;rice university;0.0145833333333
microsoft;centre national de la recherche scientifique;0.0948788236617
microsoft;east china normal university;0.00625
new york university;centre national de la recherche scientifique;0.0315651260504
new york university;east china normal university;0.00625
microsoft;indian institute of technology kanpur;0.0535138237331
new york university;indian institute of technology kanpur;0.00416666666667
the chinese university of hong kong;rutgers university;0.025641025641
university of california davis;rutgers university;0.0253205128205
university of colorado boulder;university of california san diego;0.0440917107584
university of maryland college park;university of california san diego;0.0681696188943
intel;intel;1.69648857535
intel;university of california berkeley;0.569130271541
university of california berkeley;intel;0.188897372308
university of california berkeley;university of california berkeley;2.32236314596
intel;massachusetts institute of technology;0.71203749652
university of california berkeley;massachusetts institute of technology;0.865261767669
cornell university;williams college;0.0413980841306
cornell university;bell labs;0.0582370384696
cornell university;university of south australia;0.0571376873702
purdue university;stanford university;0.814629605474
purdue university;carnegie mellon university;0.255321925006
university of california san diego;victoria university of wellington;0.0628360215054
university of california san diego;imperial college london;0.225019492157
university of utah;xerox;0.0294117647059
university of chicago;xerox;0.0294117647059
ibm;ibm;4.32279780722
technion israel institute of technology;ibm;0.611458333333
brics;at t labs;0.10101010101
microsoft;french institute for research in computer science and automation;0.287117111895
french institute for research in computer science and automation;university of amsterdam;0.0357142857143
ecole polytechnique federale de lausanne;university of amsterdam;0.0178571428571
university of illinois at urbana champaign;university of washington;0.210751347323
university of illinois at urbana champaign;microsoft;1.35568793512
university of illinois at urbana champaign;ithaca college;0.0157894736842
university of illinois at urbana champaign;university of wisconsin madison;0.41151661801
microsoft;university of california berkeley;1.47237347179
university of texas at austin;massachusetts institute of technology;0.677785486802
university of massachusetts amherst;massachusetts institute of technology;0.363263588264
microsoft;massachusetts institute of technology;1.65696713851
university of texas at austin;university of california berkeley;0.548250735171
university of massachusetts amherst;university of california berkeley;0.112393103972
tohoku university;microsoft;0.211199294533
tohoku university;university of california san diego;0.0846560846561
university of pennsylvania;radboud university nijmegen;0.32
seoul national university;radboud university nijmegen;0.213333333333
purdue university;technical university of kenya;0.0480769230769
purdue university;university of freiburg;0.0634920634921
hong kong university of science and technology;purdue university;0.0887445887446
hong kong university of science and technology;microsoft;0.0959595959596
hong kong university of science and technology;tel aviv university;0.0479797979798
hong kong university of science and technology;ohio state university;0.131313131313
university of minnesota;national instruments;0.0178571428571
university of minnesota;indian institute of science;0.0178571428571
university of minnesota;colorado state university;0.00892857142857
university of minnesota;university of utah;0.0267857142857
university of minnesota;intel;0.0940934065934
university of minnesota;princeton university;0.0267857142857
university of maryland college park;massachusetts institute of technology;0.307902604689
indian institute of science;stanford university;0.219497169497
university of california davis;university of virginia;0.037037037037
university of california davis;stanford university;0.294533475783
university of california berkeley;tohoku university;0.0169934640523
microsoft;tohoku university;0.0426470588235
princeton university;tohoku university;0.00588235294118
university of california davis;university of california berkeley;0.148842592593
pacific northwest national laboratory;university of washington;0.00458333333333
pacific northwest national laboratory;ibm;0.0457394287
pacific northwest national laboratory;mcgill university;0.0025
ohio state university;university of washington;0.0724312624313
ohio state university;ibm;0.958376244429
ohio state university;mcgill university;0.0575210791387
oak ridge national laboratory;university of washington;0.00458333333333
