Id;Label
university of california santa barbara;university of california santa barbara
university of california berkeley;university of california berkeley
university of pisa;university of pisa
xidian university;xidian university
agilent technologies;agilent technologies
la trobe university;la trobe university
intel architecture labs;intel architecture labs
the college of new jersey;the college of new jersey
open university of catalonia;open university of catalonia
missouri university of science and technology;missouri university of science and technology
northwestern university;northwestern university
university of rennes;university of rennes
japan society for the promotion of science;japan society for the promotion of science
nicta;nicta
french institute for research in computer science and automation;french institute for research in computer science and automation
university of victoria;university of victoria
washington university in st louis;washington university in st louis
ming chuan university;ming chuan university
university of california riverside;university of california riverside
university of essex;university of essex
university of pittsburgh;university of pittsburgh
imperial college london;imperial college london
kazan federal university;kazan federal university
university of waterloo;university of waterloo
university of southampton;university of southampton
nustar energy;nustar energy
university of pennsylvania;university of pennsylvania
university of la laguna;university of la laguna
cadence design systems;cadence design systems
american university;american university
conservatoire national des arts et metiers;conservatoire national des arts et metiers
north carolina central university;north carolina central university
seoul national university;seoul national university
industry canada;industry canada
fuqua school of business;fuqua school of business
national university of defense technology;national university of defense technology
istanbul bilgi university;istanbul bilgi university
jordan university of science and technology;jordan university of science and technology
uganda revenue authority;uganda revenue authority
pir mehr ali shah arid agriculture university;pir mehr ali shah arid agriculture university
german cancer research center;german cancer research center
american university of beirut;american university of beirut
usc viterbi school of engineering;usc viterbi school of engineering
chunghwa telecom;chunghwa telecom
stanford university school of medicine;stanford university school of medicine
punjabi university;punjabi university
university of the algarve;university of the algarve
aix marseille university;aix marseille university
center for computational biology;center for computational biology
college of staten island;college of staten island
king s college london;king s college london
indian statistical institute;indian statistical institute
shantou university;shantou university
vietnam national university hanoi;vietnam national university hanoi
western carolina university;western carolina university
university of twente;university of twente
ministry of science and technology;ministry of science and technology
beijing jiaotong university;beijing jiaotong university
oklahoma medical research foundation;oklahoma medical research foundation
siemens healthcare;siemens healthcare
compuserve;compuserve
korea institute of science and technology;korea institute of science and technology
northern illinois university;northern illinois university
lanzhou university;lanzhou university
bar ilan university;bar ilan university
heidelberg university;heidelberg university
anadolu university;anadolu university
university of cagliari;university of cagliari
universidade federal do rio grande do sul;universidade federal do rio grande do sul
wellington management company;wellington management company
trinity college;trinity college
university of hasselt;university of hasselt
university of amsterdam;university of amsterdam
massachusetts department of public health;massachusetts department of public health
university of jaen;university of jaen
tokyo denki university;tokyo denki university
swinburne university of technology;swinburne university of technology
national cancer institute;national cancer institute
boise state university;boise state university
texas christian university;texas christian university
at t labs;at t labs
keio university;keio university
hunan university;hunan university
brown university;brown university
washington jefferson college;washington jefferson college
osaka prefecture university;osaka prefecture university
department of physiology development and neuroscience university of cambridge;department of physiology development and neuroscience university of cambridge
xerox;xerox
university college west;university college west
technical university of berlin;technical university of berlin
zhejiang sci tech university;zhejiang sci tech university
university of wolverhampton;university of wolverhampton
daimler ag;daimler ag
university of jyvaskyla;university of jyvaskyla
gakushuin university;gakushuin university
technion israel institute of technology;technion israel institute of technology
ontotext;ontotext
indian institute of technology guwahati;indian institute of technology guwahati
charles university in prague;charles university in prague
fudan university;fudan university
university of copenhagen;university of copenhagen
media research center;media research center
technische universitat darmstadt;technische universitat darmstadt
university of san francisco;university of san francisco
delhi technological university;delhi technological university
university of hong kong;university of hong kong
universite de montreal;universite de montreal
courant institute of mathematical sciences;courant institute of mathematical sciences
hebrew university of jerusalem;hebrew university of jerusalem
queen mary university of london;queen mary university of london
university of engineering and technology lahore;university of engineering and technology lahore
national technical university of athens;national technical university of athens
illinois state police;illinois state police
university of queensland;university of queensland
national center for university entrance examinations;national center for university entrance examinations
cairo university;cairo university
university of siena;university of siena
king abdulaziz city for science and technology;king abdulaziz city for science and technology
helsinki university of technology;helsinki university of technology
rti international;rti international
gebze institute of technology;gebze institute of technology
university of ulm;university of ulm
ton duc thang university;ton duc thang university
brandeis university;brandeis university
quinnipiac university;quinnipiac university
open text corporation;open text corporation
sandia national laboratories;sandia national laboratories
oxford university press;oxford university press
school of computer science university of manchester;school of computer science university of manchester
university of colorado boulder;university of colorado boulder
university of paris sud;university of paris sud
the catholic university of america;the catholic university of america
polytechnic university of catalonia;polytechnic university of catalonia
universite du quebec a montreal;universite du quebec a montreal
center for advanced study in the behavioral sciences;center for advanced study in the behavioral sciences
beijing university of posts and telecommunications;beijing university of posts and telecommunications
advanced info service;advanced info service
sun yat sen university;sun yat sen university
indian institute of technology bombay;indian institute of technology bombay
academia sinica;academia sinica
virginia bioinformatics institute;virginia bioinformatics institute
university of calabria;university of calabria
university of michigan dearborn;university of michigan dearborn
willamette university;willamette university
university of tampere;university of tampere
university of cologne;university of cologne
university of cambridge;university of cambridge
university of lausanne;university of lausanne
artificial intelligence center;artificial intelligence center
victoria university australia;victoria university australia
wright state university;wright state university
birkbeck university of london;birkbeck university of london
gonzaga university;gonzaga university
siemens;siemens
hamilton college;hamilton college
concordia university;concordia university
hankuk university of foreign studies;hankuk university of foreign studies
yale university;yale university
university of bremen;university of bremen
changwon national university;changwon national university
teesside university;teesside university
beijing institute of technology;beijing institute of technology
takeda pharmaceutical company;takeda pharmaceutical company
university of aveiro;university of aveiro
university of texas health science center at houston;university of texas health science center at houston
university of newcastle;university of newcastle
sim university;sim university
university of castilla la mancha;university of castilla la mancha
karolinska institutet;karolinska institutet
columbia university;columbia university
senshu university;senshu university
nanyang technological university;nanyang technological university
philips;philips
vita salute san raffaele university;vita salute san raffaele university
brookhaven national laboratory;brookhaven national laboratory
laval university;laval university
london school of economics and political science;london school of economics and political science
joseph fourier university;joseph fourier university
bmw;bmw
argonne national laboratory;argonne national laboratory
university of valle;university of valle
university of hyderabad;university of hyderabad
tamkang university;tamkang university
brigham young university;brigham young university
university of milan;university of milan
university of wollongong in dubai;university of wollongong in dubai
universite de sherbrooke;universite de sherbrooke
american cyanamid;american cyanamid
southwest research institute;southwest research institute
sauder school of business;sauder school of business
university of san diego;university of san diego
goldsmiths university of london;goldsmiths university of london
aalborg university;aalborg university
tbilisi state university;tbilisi state university
al hussein bin talal university;al hussein bin talal university
wichita state university;wichita state university
baylor university;baylor university
north china electric power university;north china electric power university
w l gore and associates;w l gore and associates
university at albany suny;university at albany suny
ohio university;ohio university
cardiff university;cardiff university
yokohama national university;yokohama national university
sk telecom;sk telecom
naval medical center portsmouth;naval medical center portsmouth
victoria university of wellington;victoria university of wellington
university of sri jayewardenepura;university of sri jayewardenepura
adam mickiewicz university in poznan;adam mickiewicz university in poznan
birmingham city university faculty of health;birmingham city university faculty of health
vit university;vit university
department of computer science university of illinois at urbana champaign;department of computer science university of illinois at urbana champaign
new york state department of mental hygiene;new york state department of mental hygiene
rice university;rice university
cls group;cls group
university of connecticut;university of connecticut
amazon web services;amazon web services
university of florence;university of florence
cognition and brain sciences unit;cognition and brain sciences unit
ben gurion university of the negev;ben gurion university of the negev
oberlin college;oberlin college
pennsylvania state university;pennsylvania state university
rhodes college;rhodes college
aichi prefectural university;aichi prefectural university
johannes kepler university of linz;johannes kepler university of linz
rockwell automation;rockwell automation
mitsubishi;mitsubishi
international computer science institute;international computer science institute
seattle children s research institute;seattle children s research institute
university of the west of scotland;university of the west of scotland
dresden university of technology;dresden university of technology
utah state university;utah state university
universite catholique de louvain;universite catholique de louvain
hanyang university;hanyang university
university of greenwich;university of greenwich
university of crete;university of crete
university of palermo;university of palermo
universiti teknologi malaysia;universiti teknologi malaysia
inesc id;inesc id
shanghai normal university;shanghai normal university
newyork presbyterian hospital;newyork presbyterian hospital
institute of company secretaries of india;institute of company secretaries of india
tencent;tencent
queen s university;queen s university
university of california san diego;university of california san diego
mitsubishi electric;mitsubishi electric
university of minnesota morris;university of minnesota morris
indian institutes of information technology;indian institutes of information technology
hasso plattner institute;hasso plattner institute
national cheng kung university;national cheng kung university
pomona college;pomona college
university of pau and pays de l adour;university of pau and pays de l adour
university of electronic science and technology of china;university of electronic science and technology of china
jet propulsion laboratory;jet propulsion laboratory
university of cyprus;university of cyprus
malaviya national institute of technology jaipur;malaviya national institute of technology jaipur
tsinghua university;tsinghua university
masaryk university;masaryk university
ntt communications corp;ntt communications corp
centro de investigacion en matematicas;centro de investigacion en matematicas
information retrieval facility;information retrieval facility
future university hakodate;future university hakodate
ubs;ubs
upc ireland;upc ireland
zirve university;zirve university
oak ridge national laboratory;oak ridge national laboratory
university of chicago;university of chicago
polytechnic university of valencia;polytechnic university of valencia
just energy;just energy
los alamos national laboratory;los alamos national laboratory
indian institute of technology kanpur;indian institute of technology kanpur
ames research center;ames research center
pontificia universidade catolica de minas gerais;pontificia universidade catolica de minas gerais
carlisle companies;carlisle companies
technological university kalay;technological university kalay
university of alberta;university of alberta
stendhal university;stendhal university
universidad autonoma del estado de mexico;universidad autonoma del estado de mexico
university of the aegean;university of the aegean
budapest university of technology and economics;budapest university of technology and economics
texas a m university;texas a m university
vanderbilt university school of medicine;vanderbilt university school of medicine
university of nantes;university of nantes
fernuniversitat hagen;fernuniversitat hagen
nippon telegraph and telephone;nippon telegraph and telephone
ibm;ibm
university of trier;university of trier
thammasat university;thammasat university
chung hua university;chung hua university
university of malaya;university of malaya
russian academy of sciences;russian academy of sciences
ross school of business;ross school of business
digital enterprise research institute;digital enterprise research institute
texas state university;texas state university
national chi nan university;national chi nan university
health canada;health canada
harvard smithsonian center for astrophysics;harvard smithsonian center for astrophysics
indian department of telecommunications;indian department of telecommunications
university of science and technology of china;university of science and technology of china
university of south alabama;university of south alabama
citec;citec
jean monnet university;jean monnet university
irin;irin
naval air warfare center training systems division;naval air warfare center training systems division
universiti sains malaysia;universiti sains malaysia
university of toulouse;university of toulouse
feinberg school of medicine;feinberg school of medicine
lakehead university;lakehead university
aalborg university copenhagen;aalborg university copenhagen
school of electrical and electronic engineering university of manchester;school of electrical and electronic engineering university of manchester
indian institute of science;indian institute of science
tezpur university;tezpur university
spacelabs healthcare;spacelabs healthcare
french institute of health and medical research;french institute of health and medical research
alcatel lucent;alcatel lucent
facebook;facebook
emory university;emory university
faculdade de engenharia da universidade do porto;faculdade de engenharia da universidade do porto
university of maryland college park;university of maryland college park
institute for creative technologies;institute for creative technologies
kiit university;kiit university
universiti putra malaysia;universiti putra malaysia
turku centre for computer science;turku centre for computer science
geneva college;geneva college
nec corporation of america;nec corporation of america
university of south australia;university of south australia
kent state university;kent state university
amirkabir university of technology;amirkabir university of technology
federal university of rio de janeiro;federal university of rio de janeiro
european bioinformatics institute;european bioinformatics institute
university of brighton;university of brighton
brics;brics
university of maryland baltimore county;university of maryland baltimore county
lancaster university;lancaster university
industrial alliance;industrial alliance
moscow state university;moscow state university
lehigh university;lehigh university
sungshin women s university;sungshin women s university
national institute of information and communications technology;national institute of information and communications technology
ntt data;ntt data
university of texas pan american;university of texas pan american
catholic university of the most holy conception;catholic university of the most holy conception
wuhan university;wuhan university
sogang university;sogang university
george washington university;george washington university
max planck institute for mathematics;max planck institute for mathematics
american university in cairo;american university in cairo
university of munster;university of munster
city university of new york;city university of new york
university of ostrava;university of ostrava
autonomous university of barcelona;autonomous university of barcelona
gettysburg college;gettysburg college
university of leicester;university of leicester
lim college;lim college
agency for science technology and research;agency for science technology and research
okayama university of science;okayama university of science
stanford university medical center;stanford university medical center
renaissance technologies;renaissance technologies
austin community college district;austin community college district
national chiao tung university;national chiao tung university
commonwealth scientific and industrial research organisation;commonwealth scientific and industrial research organisation
computer simulation technology;computer simulation technology
verenigde nederlandse uitgeverijen;verenigde nederlandse uitgeverijen
cselt;cselt
national presto industries;national presto industries
national autonomous university of mexico;national autonomous university of mexico
pontifical catholic university of rio de janeiro;pontifical catholic university of rio de janeiro
ministry of science technology and environment;ministry of science technology and environment
new mexico state university;new mexico state university
norwegian university of science and technology;norwegian university of science and technology
ministry of posts and telecommunications;ministry of posts and telecommunications
western washington university;western washington university
asian institute of technology;asian institute of technology
codex corporation;codex corporation
indian institute of information technology allahabad;indian institute of information technology allahabad
university of florida;university of florida
university of saskatchewan;university of saskatchewan
pacific northwest national laboratory;pacific northwest national laboratory
university of szeged;university of szeged
lpl financial;lpl financial
university of alicante;university of alicante
language technologies institute;language technologies institute
mitre corporation;mitre corporation
university of valladolid;university of valladolid
osaka gakuin university;osaka gakuin university
university of caen lower normandy;university of caen lower normandy
johns hopkins university;johns hopkins university
pontificia universidade catolica do parana;pontificia universidade catolica do parana
helsinki institute for information technology;helsinki institute for information technology
universidad michoacana de san nicolas de hidalgo;universidad michoacana de san nicolas de hidalgo
vu university amsterdam;vu university amsterdam
leipzig university;leipzig university
school for advanced studies in the social sciences;school for advanced studies in the social sciences
tokyo university of agriculture;tokyo university of agriculture
institute for advanced study;institute for advanced study
university of sharjah;university of sharjah
indiana university;indiana university
rmit university;rmit university
national institute of standards and technology;national institute of standards and technology
national university of distance education;national university of distance education
bbn technologies;bbn technologies
blaise pascal university;blaise pascal university
ege university;ege university
mitsubishi electric research laboratories;mitsubishi electric research laboratories
georgia institute of technology;georgia institute of technology
catholic university of the sacred heart;catholic university of the sacred heart
msu graduate school of business administration;msu graduate school of business administration
king saud university;king saud university
rand corporation;rand corporation
warsaw university of technology;warsaw university of technology
bu ali sina university;bu ali sina university
university of bamberg;university of bamberg
nuance communications;nuance communications
university of rochester;university of rochester
university of sao paulo;university of sao paulo
eotvos lorand university;eotvos lorand university
telecom australia;telecom australia
brigham and women s hospital;brigham and women s hospital
university of missouri st louis;university of missouri st louis
lexisnexis;lexisnexis
marion merrell dow;marion merrell dow
maastricht university;maastricht university
university of leeds;university of leeds
netherlands organisation for applied scientific research;netherlands organisation for applied scientific research
language computer corporation;language computer corporation
chiba university;chiba university
naval postgraduate school;naval postgraduate school
community college of philadelphia;community college of philadelphia
tohoku university;tohoku university
tottori university;tottori university
tufts university;tufts university
university of udine;university of udine
ca foscari university of venice;ca foscari university of venice
university of denver;university of denver
university of freiburg;university of freiburg
lsi corporation;lsi corporation
national chengchi university;national chengchi university
university of paris;university of paris
kyoto sangyo university;kyoto sangyo university
boston university;boston university
toyo university;toyo university
swansea university;swansea university
university of montpellier;university of montpellier
eastern illinois university;eastern illinois university
benemerita universidad autonoma de puebla;benemerita universidad autonoma de puebla
comenius university in bratislava;comenius university in bratislava
new york state department of environmental conservation;new york state department of environmental conservation
south dakota state university;south dakota state university
university of minnesota;university of minnesota
university of colombo school of computing;university of colombo school of computing
west;west
seattle pacific university;seattle pacific university
tilburg university;tilburg university
rolf c hagen group;rolf c hagen group
university of the azores;university of the azores
university of manchester;university of manchester
chinese academy of social sciences;chinese academy of social sciences
santa clara university;santa clara university
scientific and technological research council of turkey;scientific and technological research council of turkey
university of oslo;university of oslo
max planck society;max planck society
institute of development studies;institute of development studies
frederick community college;frederick community college
japan advanced institute of science and technology;japan advanced institute of science and technology
saarland university;saarland university
nanjing university;nanjing university
california state polytechnic university pomona;california state polytechnic university pomona
bible broadcasting network;bible broadcasting network
university of washington tacoma;university of washington tacoma
stony brook university;stony brook university
university of granada;university of granada
southeast university;southeast university
paul sabatier university;paul sabatier university
glaxosmithkline;glaxosmithkline
bauhaus university weimar;bauhaus university weimar
shandong university of science and technology;shandong university of science and technology
university of tartu;university of tartu
institute of statistical mathematics;institute of statistical mathematics
bogazici university;bogazici university
metz;metz
national university of ireland galway;national university of ireland galway
cincinnati children s hospital medical center;cincinnati children s hospital medical center
university of southern california;university of southern california
nectec;nectec
lohia machinery limited;lohia machinery limited
francois rabelais university;francois rabelais university
french academy of sciences;french academy of sciences
istituto italiano di tecnologia;istituto italiano di tecnologia
waseda university;waseda university
university of bergen;university of bergen
elsevier;elsevier
ilia state university;ilia state university
bloomberg l p;bloomberg l p
university of tubingen;university of tubingen
texas instruments;texas instruments
universite libre de bruxelles;universite libre de bruxelles
telstra;telstra
university of wurzburg;university of wurzburg
singapore management university;singapore management university
children s hospital of philadelphia;children s hospital of philadelphia
brighton collectibles;brighton collectibles
taif university;taif university
california state university los angeles;california state university los angeles
university of north carolina at chapel hill;university of north carolina at chapel hill
southeastern louisiana university;southeastern louisiana university
plymouth university;plymouth university
institute for scientific interchange;institute for scientific interchange
university of tsukuba;university of tsukuba
syracuse university;syracuse university
university of limerick;university of limerick
women s college kolkata;women s college kolkata
mount holyoke college;mount holyoke college
university of salford;university of salford
university of texas at austin;university of texas at austin
university of california;university of california
kyoto university;kyoto university
sncf;sncf
shanghai university of finance and economics;shanghai university of finance and economics
northeastern university;northeastern university
national tsing hua university;national tsing hua university
temple university;temple university
tutor com;tutor com
university of huddersfield;university of huddersfield
university of ottawa;university of ottawa
information technology university;information technology university
university of peshawar;university of peshawar
alibaba group;alibaba group
monash university;monash university
cornell university;cornell university
university of lisbon;university of lisbon
the college of family physicians canada;the college of family physicians canada
payame noor university;payame noor university
university of padua;university of padua
fuji xerox;fuji xerox
silesian university of technology;silesian university of technology
hunter college;hunter college
here;here
sra international;sra international
career education corporation;career education corporation
university of maribor;university of maribor
national institute of informatics;national institute of informatics
mcmaster university;mcmaster university
nara institute of science and technology;nara institute of science and technology
technische hochschule;technische hochschule
ford motor company;ford motor company
nagasaki university;nagasaki university
de montfort university;de montfort university
university of mainz;university of mainz
national taipei university;national taipei university
university of oulu;university of oulu
university of skovde;university of skovde
universidade nova de lisboa;universidade nova de lisboa
city national bank;city national bank
pearson education;pearson education
miami university;miami university
graduate school usa;graduate school usa
acxiom;acxiom
university of cadiz;university of cadiz
georgia college state university;georgia college state university
national university of singapore;national university of singapore
ogi school of science and engineering;ogi school of science and engineering
novartis;novartis
university of grenoble;university of grenoble
niels bohr institute;niels bohr institute
toyota technological institute;toyota technological institute
verizon communications;verizon communications
shiraz university;shiraz university
aston university;aston university
dublin city university;dublin city university
department of systems biology;department of systems biology
romanian academy;romanian academy
nanjing normal university;nanjing normal university
university of wisconsin parkside;university of wisconsin parkside
university of california santa cruz;university of california santa cruz
queen s university belfast;queen s university belfast
university of porto;university of porto
bell labs;bell labs
