Id;Label
feinberg school of medicine;feinberg school of medicine
united states department of veterans affairs;united states department of veterans affairs
cleveland clinic;cleveland clinic
metaio gmbh;metaio gmbh
kt corporation;kt corporation
austrian research institute for artificial intelligence;austrian research institute for artificial intelligence
edith cowan university;edith cowan university
jikei university school of medicine;jikei university school of medicine
university of osnabruck;university of osnabruck
tulane university;tulane university
university of texas medical branch;university of texas medical branch
ast;ast
the graduate center cuny;the graduate center cuny
university of cincinnati;university of cincinnati
institute of company secretaries of india;institute of company secretaries of india
sun microsystems;sun microsystems
francois rabelais university;francois rabelais university
university of new orleans;university of new orleans
michigan state university;michigan state university
hefei university of technology;hefei university of technology
technical university of lisbon;technical university of lisbon
hosei university;hosei university
open university of hong kong;open university of hong kong
media lab europe;media lab europe
sri international;sri international
cinvestav;cinvestav
college of information technology;college of information technology
vtt technical research centre of finland;vtt technical research centre of finland
orbotech;orbotech
scripps research institute;scripps research institute
university of bern;university of bern
university of perugia;university of perugia
university of strathclyde;university of strathclyde
skolkovo institute of science and technology;skolkovo institute of science and technology
cedars sinai medical center;cedars sinai medical center
royal military academy;royal military academy
norwich university;norwich university
vision sciences inc;vision sciences inc
asia university;asia university
morpho;morpho
lancaster university;lancaster university
nii holdings;nii holdings
ames research center;ames research center
vision institute;vision institute
university of minnesota;university of minnesota
norwegian polar institute;norwegian polar institute
tektronix;tektronix
jilin university;jilin university
university of san francisco;university of san francisco
mid sweden university;mid sweden university
united states department of commerce;united states department of commerce
ningbo university of technology;ningbo university of technology
democritus university of thrace;democritus university of thrace
university of chicago;university of chicago
technische universitat darmstadt;technische universitat darmstadt
eskisehir osmangazi university;eskisehir osmangazi university
malek ashtar university of technology;malek ashtar university of technology
university of mysore;university of mysore
national chung hsing university;national chung hsing university
the catholic university of america;the catholic university of america
carnegie mellon university in qatar;carnegie mellon university in qatar
qatar computing research institute;qatar computing research institute
hogeschool van amsterdam;hogeschool van amsterdam
eastern mediterranean university;eastern mediterranean university
vu university amsterdam;vu university amsterdam
university of alabama in huntsville;university of alabama in huntsville
picturetel corp;picturetel corp
wilfrid laurier university;wilfrid laurier university
national oceanic and atmospheric administration;national oceanic and atmospheric administration
ericsson radio systems;ericsson radio systems
universiti tunku abdul rahman;universiti tunku abdul rahman
king s college cambridge;king s college cambridge
indian institute of technology delhi;indian institute of technology delhi
evolution robotics;evolution robotics
brigham young university;brigham young university
osaka city university;osaka city university
temple university;temple university
alexandria university;alexandria university
waseda university;waseda university
toyota technological institute;toyota technological institute
shanghai university;shanghai university
lg display;lg display
university of kuala lumpur;university of kuala lumpur
middle east technical university;middle east technical university
beth israel deaconess medical center;beth israel deaconess medical center
california state university los angeles;california state university los angeles
university of hertfordshire;university of hertfordshire
university of westminster;university of westminster
singapore mit alliance;singapore mit alliance
university of rhode island;university of rhode island
information and communications university;information and communications university
wellesley college;wellesley college
university of haifa;university of haifa
vrvis;vrvis
karolinska institutet;karolinska institutet
autoliv;autoliv
helen wills neuroscience institute;helen wills neuroscience institute
american cyanamid;american cyanamid
ecole nationale superieure de l electronique et de ses applications;ecole nationale superieure de l electronique et de ses applications
royal college of physicians;royal college of physicians
sofia university;sofia university
international monetary fund;international monetary fund
ntt docomo;ntt docomo
mitsubishi electric;mitsubishi electric
institute of mathematical sciences chennai;institute of mathematical sciences chennai
institut national des sciences appliquees de rouen;institut national des sciences appliquees de rouen
university of genoa;university of genoa
defence evaluation and research agency;defence evaluation and research agency
mitsubishi;mitsubishi
university of potsdam;university of potsdam
howard hughes medical institute;howard hughes medical institute
grupo mexico;grupo mexico
central research institute of electric power industry;central research institute of electric power industry
charles iii university of madrid;charles iii university of madrid
istituto superiore di sanita;istituto superiore di sanita
ministry of interior;ministry of interior
mcknight brain institute;mcknight brain institute
drexel university;drexel university
united states naval research laboratory;united states naval research laboratory
huazhong university of science and technology;huazhong university of science and technology
hillsdale college;hillsdale college
university of alicante;university of alicante
london school of economics and political science;london school of economics and political science
canadian real estate association;canadian real estate association
university of oviedo;university of oviedo
university of murcia;university of murcia
national academy of sciences;national academy of sciences
university of pennsylvania;university of pennsylvania
microstrategy;microstrategy
national tsing hua university;national tsing hua university
dublin city university;dublin city university
centre hospitalier de luxembourg;centre hospitalier de luxembourg
university of nottingham;university of nottingham
ecole normale superieure;ecole normale superieure
citigroup;citigroup
genome institute of singapore;genome institute of singapore
durham university;durham university
king juan carlos university;king juan carlos university
pacific northwest national laboratory;pacific northwest national laboratory
thayer school of engineering;thayer school of engineering
lafayette college;lafayette college
beijing technology and business university;beijing technology and business university
new york university abu dhabi;new york university abu dhabi
helsinki university of technology;helsinki university of technology
electricite de france;electricite de france
association of research libraries;association of research libraries
georgia regents university;georgia regents university
zhejiang university;zhejiang university
florida atlantic university;florida atlantic university
mathematical biosciences institute;mathematical biosciences institute
colorado state university;colorado state university
catholic university of leuven;catholic university of leuven
university of marne la vallee;university of marne la vallee
koc university;koc university
university of manchester;university of manchester
laboratory of molecular biology;laboratory of molecular biology
barrackpore rastraguru surendranath college;barrackpore rastraguru surendranath college
florida institute of technology;florida institute of technology
interval research corporation;interval research corporation
czech technical university in prague;czech technical university in prague
southern illinois university carbondale;southern illinois university carbondale
mit lincoln laboratory;mit lincoln laboratory
bangor university;bangor university
university of zaragoza;university of zaragoza
blaise pascal university;blaise pascal university
queensland university of technology;queensland university of technology
institute for simulation and training;institute for simulation and training
united states naval academy;united states naval academy
world health organization;world health organization
university college cork;university college cork
computer laboratory university of cambridge;computer laboratory university of cambridge
shenyang;shenyang
dublin institute of technology;dublin institute of technology
hohai university;hohai university
hiroshima city university;hiroshima city university
xi an jiaotong university;xi an jiaotong university
international institute of information technology;international institute of information technology
institute of geomatics;institute of geomatics
university of tokushima;university of tokushima
jila;jila
lawrence livermore national laboratory;lawrence livermore national laboratory
university of kansas;university of kansas
zhongyuan university of technology;zhongyuan university of technology
barnard college;barnard college
chartered institute of management accountants;chartered institute of management accountants
university of bath;university of bath
university of massachusetts lowell;university of massachusetts lowell
university of louisiana at lafayette;university of louisiana at lafayette
peking university;peking university
search technologies;search technologies
arco;arco
university of dubai;university of dubai
henry ford health system;henry ford health system
university of louisville school of medicine;university of louisville school of medicine
university of texas at san antonio;university of texas at san antonio
international astronomical union;international astronomical union
university of cologne;university of cologne
school of psychology bangor university;school of psychology bangor university
bryn mawr college;bryn mawr college
minneapolis institute of arts;minneapolis institute of arts
sandia national laboratories;sandia national laboratories
university of central missouri;university of central missouri
aselsan;aselsan
national technical university of athens;national technical university of athens
china university of technology;china university of technology
university of girona;university of girona
depaul university;depaul university
missile defense agency;missile defense agency
argon st;argon st
university of essex;university of essex
technical university of madrid;technical university of madrid
university of naples federico ii;university of naples federico ii
university of modena and reggio emilia;university of modena and reggio emilia
centro universitario da fei;centro universitario da fei
information sciences institute;information sciences institute
sao paulo state university;sao paulo state university
college of william mary;college of william mary
st lukes episcopal hospital;st lukes episcopal hospital
xerox;xerox
duke university;duke university
university of california irvine school of humanities;university of california irvine school of humanities
king saud university;king saud university
roskilde university;roskilde university
siemens;siemens
instituto politecnico nacional;instituto politecnico nacional
national museum of natural history;national museum of natural history
ulsan national institute of science and technology;ulsan national institute of science and technology
florida institute for human and machine cognition;florida institute for human and machine cognition
national university of cordoba;national university of cordoba
illinois institute of technology;illinois institute of technology
pontifical xavierian university;pontifical xavierian university
king s college london;king s college london
chonnam national university;chonnam national university
haas school of business;haas school of business
university of hull;university of hull
parsons brinckerhoff;parsons brinckerhoff
wellcome trust centre for neuroimaging;wellcome trust centre for neuroimaging
merck co;merck co
university of buenos aires;university of buenos aires
clark atlanta university;clark atlanta university
university of rostock;university of rostock
university of california irvine medical center;university of california irvine medical center
media research center;media research center
university of castilla la mancha;university of castilla la mancha
university of southern denmark;university of southern denmark
university of west bohemia;university of west bohemia
hiroshima university;hiroshima university
vocational training council;vocational training council
norwegian university of science and technology;norwegian university of science and technology
sidney sussex college cambridge;sidney sussex college cambridge
yangzhou university;yangzhou university
ifremer;ifremer
delgado community college;delgado community college
itron;itron
mokpo national university;mokpo national university
dartmouth hitchcock medical center;dartmouth hitchcock medical center
athens state university;athens state university
austrian institute of technology;austrian institute of technology
east china normal university;east china normal university
heilongjiang university;heilongjiang university
posco;posco
university of a coruna;university of a coruna
kingston university;kingston university
science applications international corporation;science applications international corporation
universite de montreal;universite de montreal
national collegiate scouting association athletic recruiting;national collegiate scouting association athletic recruiting
university of huddersfield;university of huddersfield
american physical therapy association;american physical therapy association
national heart lung and blood institute;national heart lung and blood institute
tokyo university of science;tokyo university of science
royal military college of canada;royal military college of canada
university of wurzburg;university of wurzburg
national chung cheng university;national chung cheng university
center for strategic and international studies;center for strategic and international studies
mcmaster university;mcmaster university
adept technology;adept technology
university of london;university of london
reykjavik university;reykjavik university
qinetiq;qinetiq
humboldt state university;humboldt state university
university of trento;university of trento
global alliance in management education;global alliance in management education
university of cagliari;university of cagliari
pusan national university;pusan national university
harvard medical school;harvard medical school
universite du quebec a montreal;universite du quebec a montreal
fourth military medical university;fourth military medical university
control group;control group
tata institute of fundamental research;tata institute of fundamental research
americorps vista;americorps vista
indian institute of technology roorkee;indian institute of technology roorkee
islamic azad university;islamic azad university
lehigh university;lehigh university
national central university;national central university
california state university;california state university
missouri state university;missouri state university
nara women s university;nara women s university
women s college kolkata;women s college kolkata
national university of defense technology;national university of defense technology
osaka prefecture university;osaka prefecture university
national institute of genetics;national institute of genetics
university of oslo;university of oslo
university of minnesota medical center;university of minnesota medical center
cheng shiu university;cheng shiu university
space and naval warfare systems center pacific;space and naval warfare systems center pacific
national center for supercomputing applications;national center for supercomputing applications
vanderbilt university;vanderbilt university
insead;insead
national sun yat sen university;national sun yat sen university
university of windsor;university of windsor
fujitsu;fujitsu
university of basel;university of basel
fred hutchinson cancer research center;fred hutchinson cancer research center
institut francais;institut francais
university of angers;university of angers
merrill lynch;merrill lynch
imperial college london;imperial college london
amersham plc;amersham plc
asian institute of technology;asian institute of technology
at t labs;at t labs
budapest university of technology and economics;budapest university of technology and economics
northeastern illinois university;northeastern illinois university
battelle memorial institute;battelle memorial institute
university of southern queensland;university of southern queensland
athlone institute of technology;athlone institute of technology
mitre corporation;mitre corporation
national instruments;national instruments
hyundai mobis;hyundai mobis
aalborg university copenhagen;aalborg university copenhagen
etsi;etsi
niels bohr institute;niels bohr institute
new jersey institute of technology;new jersey institute of technology
city college of new york;city college of new york
institute for scientific interchange;institute for scientific interchange
wichita state university;wichita state university
university of north carolina at charlotte;university of north carolina at charlotte
institute of robotics and intelligent systems;institute of robotics and intelligent systems
interdisciplinary center herzliya;interdisciplinary center herzliya
indian institute of technology bombay;indian institute of technology bombay
university of groningen;university of groningen
tufts university school of medicine;tufts university school of medicine
institute for language and speech processing;institute for language and speech processing
raytheon integrated defense systems;raytheon integrated defense systems
university of technology sydney;university of technology sydney
columbia university;columbia university
university of tsukuba;university of tsukuba
san jose state university;san jose state university
marquette university;marquette university
academy of sciences of the czech republic;academy of sciences of the czech republic
university of crete;university of crete
foundation for research technology hellas;foundation for research technology hellas
university of aberdeen;university of aberdeen
university of los andes;university of los andes
university of macau;university of macau
graduate school of management;graduate school of management
janelia farm research campus;janelia farm research campus
university of massachusetts boston;university of massachusetts boston
wadsworth center;wadsworth center
kigali institute of science and technology;kigali institute of science and technology
gunma university;gunma university
university of new south wales;university of new south wales
pukyong national university;pukyong national university
centrum wiskunde informatica;centrum wiskunde informatica
florida polytechnic university;florida polytechnic university
lg electronics;lg electronics
mcgill university;mcgill university
university of utah;university of utah
faculty of electrical engineering and computing university of zagreb;faculty of electrical engineering and computing university of zagreb
forschungszentrum informatik;forschungszentrum informatik
alfa;alfa
industrial technology research institute;industrial technology research institute
delaware state university;delaware state university
university of maryland baltimore;university of maryland baltimore
centra;centra
university of iceland;university of iceland
glendon college;glendon college
university of texas at arlington;university of texas at arlington
jiangxi university of finance and economics;jiangxi university of finance and economics
university of avignon;university of avignon
city university of new york;city university of new york
national technical university;national technical university
university of hawaii;university of hawaii
lockheed missiles and space company;lockheed missiles and space company
university of aveiro;university of aveiro
national research council;national research council
st jude children s research hospital;st jude children s research hospital
arcelormittal;arcelormittal
industrial light magic;industrial light magic
university of porto;university of porto
harvard innovation lab;harvard innovation lab
united international college;united international college
scientific and technological research council of turkey;scientific and technological research council of turkey
university of cambridge;university of cambridge
cvc capital partners;cvc capital partners
chubu university;chubu university
fh aachen;fh aachen
charles stark draper laboratory;charles stark draper laboratory
nanjing university of posts and telecommunications;nanjing university of posts and telecommunications
chung hua university;chung hua university
kwandong university;kwandong university
heidelberg university;heidelberg university
paris dauphine university;paris dauphine university
purdue university;purdue university
japan women s university;japan women s university
university of cape town;university of cape town
istituto di scienza e tecnologie dell informazione;istituto di scienza e tecnologie dell informazione
urban ministries;urban ministries
university of la rochelle;university of la rochelle
university of california merced;university of california merced
siemens healthcare;siemens healthcare
mines paristech;mines paristech
university of paderborn;university of paderborn
eotvos lorand university;eotvos lorand university
carleton university;carleton university
rensselaer polytechnic institute;rensselaer polytechnic institute
united states forest service;united states forest service
university of tartu;university of tartu
department of computer science university of illinois at urbana champaign;department of computer science university of illinois at urbana champaign
university of maine;university of maine
ceremade;ceremade
courant institute of mathematical sciences;courant institute of mathematical sciences
university of colorado colorado springs;university of colorado colorado springs
lockheed martin systems integration owego;lockheed martin systems integration owego
children s hospital of philadelphia;children s hospital of philadelphia
national aerospace laboratories;national aerospace laboratories
technical university of hamburg;technical university of hamburg
brescia university;brescia university
xidian university;xidian university
royal holloway university of london;royal holloway university of london
pace university;pace university
rolf c hagen group;rolf c hagen group
hakuoh university;hakuoh university
indiana university purdue university indianapolis;indiana university purdue university indianapolis
russian academy of sciences;russian academy of sciences
national technological university;national technological university
carl albert state college;carl albert state college
newcastle university;newcastle university
kaist;kaist
institute of management accountants;institute of management accountants
fordham university;fordham university
university of vigo;university of vigo
monash university clayton campus;monash university clayton campus
aalto university;aalto university
eastern virginia medical school;eastern virginia medical school
shibaura institute of technology;shibaura institute of technology
boston college;boston college
united states census bureau;united states census bureau
louisiana state university;louisiana state university
aix marseille university;aix marseille university
tamkang university;tamkang university
university of geneva;university of geneva
universities uk;universities uk
university of lubeck;university of lubeck
wuhan university;wuhan university
la trobe university;la trobe university
university of vienna;university of vienna
university of bayreuth;university of bayreuth
university of nice sophia antipolis;university of nice sophia antipolis
scientific computing and imaging institute;scientific computing and imaging institute
central michigan university;central michigan university
toyohashi university of technology;toyohashi university of technology
indiana university school of informatics;indiana university school of informatics
kanazawa institute of technology;kanazawa institute of technology
weizmann institute of science;weizmann institute of science
nuance communications;nuance communications
university of leeds;university of leeds
tokyo institute of technology;tokyo institute of technology
pacific maritime association;pacific maritime association
universidade federal de minas gerais;universidade federal de minas gerais
wake forest school of medicine;wake forest school of medicine
brandeis university;brandeis university
university of amsterdam;university of amsterdam
german research centre for artificial intelligence;german research centre for artificial intelligence
seikei university;seikei university
xiamen university;xiamen university
massachusetts general hospital;massachusetts general hospital
ontario institute for cancer research;ontario institute for cancer research
king abdullah university of science and technology;king abdullah university of science and technology
laval university;laval university
broad institute;broad institute
cern;cern
military academy;military academy
malmo university;malmo university
advanced micro devices;advanced micro devices
iran university of science and technology;iran university of science and technology
huaqiao university;huaqiao university
university of michigan;university of michigan
defence science and technology organisation;defence science and technology organisation
cairo university;cairo university
university of bonn;university of bonn
monterey bay aquarium research institute;monterey bay aquarium research institute
university of reading;university of reading
hacettepe university;hacettepe university
hong kong polytechnic university;hong kong polytechnic university
humboldt university of berlin;humboldt university of berlin
nile university;nile university
national institute of information and communications technology;national institute of information and communications technology
university of winnipeg;university of winnipeg
silesian university of technology;silesian university of technology
university of marburg;university of marburg
university of science and technology sana a;university of science and technology sana a
yandex;yandex
singapore management university;singapore management university
purdue university college of engineering;purdue university college of engineering
girton college;girton college
braunschweig university of technology;braunschweig university of technology
technical career institute college of technology;technical career institute college of technology
mississippi state university;mississippi state university
drug enforcement administration;drug enforcement administration
silver spring networks;silver spring networks
curtin university;curtin university
university of kiel;university of kiel
david r cheriton school of computer science;david r cheriton school of computer science
tongji university;tongji university
crips;crips
free university of berlin;free university of berlin
ukraine international airlines;ukraine international airlines
institut national de la recherche agronomique;institut national de la recherche agronomique
barclays investment bank;barclays investment bank
johannes kepler university of linz;johannes kepler university of linz
university of zagreb;university of zagreb
universiti putra malaysia;universiti putra malaysia
radford university;radford university
georgia tech research institute;georgia tech research institute
dana farber cancer institute;dana farber cancer institute
california state university northridge;california state university northridge
urbana university;urbana university
the interactive institute;the interactive institute
university of illinois college of medicine;university of illinois college of medicine
max planck institute of immunobiology and epigenetics;max planck institute of immunobiology and epigenetics
university of pittsburgh school of medicine;university of pittsburgh school of medicine
centre national de la recherche scientifique;centre national de la recherche scientifique
uppsala university;uppsala university
seoul national university;seoul national university
shenzhen university;shenzhen university
zuse institute berlin;zuse institute berlin
darmstadt university of applied sciences;darmstadt university of applied sciences
university of texas system;university of texas system
national board of health and welfare;national board of health and welfare
university of portsmouth;university of portsmouth
national scientific and technical research council;national scientific and technical research council
eunice kennedy shriver national institute of child health and human development;eunice kennedy shriver national institute of child health and human development
changchun university;changchun university
bell canada;bell canada
centre for mental health;centre for mental health
kent state university;kent state university
national institute of environmental health sciences;national institute of environmental health sciences
manipal institute of technology;manipal institute of technology
los medanos college;los medanos college
national institute of allergy and infectious diseases;national institute of allergy and infectious diseases
georgetown university;georgetown university
joint genome institute;joint genome institute
national institute of advanced industrial science and technology;national institute of advanced industrial science and technology
ipca laboratories ltd;ipca laboratories ltd
pompeu fabra university;pompeu fabra university
children s national medical center;children s national medical center
university of alberta;university of alberta
university of maryland college park;university of maryland college park
university of hildesheim;university of hildesheim
accenture;accenture
national institute for space research;national institute for space research
phoenix college;phoenix college
trinity university;trinity university
university of lisbon;university of lisbon
university of tokyo;university of tokyo
institut de robotica i informatica industrial;institut de robotica i informatica industrial
university of california los angeles;university of california los angeles
north carolina state university;north carolina state university
university of new hampshire;university of new hampshire
sagem;sagem
national taiwan university of science and technology;national taiwan university of science and technology
warwick business school;warwick business school
university of sydney;university of sydney
cselt;cselt
guangdong university of technology;guangdong university of technology
andong national university;andong national university
coventry university;coventry university
city university london;city university london
dartmouth college;dartmouth college
china university of petroleum;china university of petroleum
university of the balearic islands;university of the balearic islands
washington university school of medicine;washington university school of medicine
university of salzburg;university of salzburg
emory university;emory university
the hertz corporation;the hertz corporation
utrecht university;utrecht university
kyung hee university;kyung hee university
german cancer research center;german cancer research center
met office;met office
la salle university;la salle university
st george s hospital;st george s hospital
claremont mckenna college;claremont mckenna college
institut eurecom;institut eurecom
csiro marine and atmospheric research;csiro marine and atmospheric research
new mexico institute of mining and technology;new mexico institute of mining and technology
the college of new jersey;the college of new jersey
balliol college;balliol college
smith college;smith college
institute of advanced study;institute of advanced study
massey university;massey university
ecole nationale superieure des telecommunications de bretagne;ecole nationale superieure des telecommunications de bretagne
university of massachusetts medical school;university of massachusetts medical school
facebook;facebook
armstrong state university;armstrong state university
center for neural science;center for neural science
autonomous university of barcelona;autonomous university of barcelona
karlsruhe institute of technology;karlsruhe institute of technology
intel;intel
university of szeged;university of szeged
university of leicester;university of leicester
university of padua;university of padua
university of guelph;university of guelph
university of trieste;university of trieste
smith kettlewell institute;smith kettlewell institute
agro paristech;agro paristech
istanbul technical university;istanbul technical university
fuzhou university;fuzhou university
de montfort university;de montfort university
beijing forestry university;beijing forestry university
ibm;ibm
university of texas at austin;university of texas at austin
istituto italiano di tecnologia;istituto italiano di tecnologia
polytechnic university of milan;polytechnic university of milan
artemis;artemis
university of bologna;university of bologna
environmental defense fund;environmental defense fund
ohio university;ohio university
department of science and technology;department of science and technology
general dynamics advanced information systems;general dynamics advanced information systems
memorial sloan kettering cancer center;memorial sloan kettering cancer center
southwest jiaotong university;southwest jiaotong university
lawrence berkeley national laboratory;lawrence berkeley national laboratory
brown university school of engineering;brown university school of engineering
gallaudet university;gallaudet university
school of electrical and electronic engineering university of manchester;school of electrical and electronic engineering university of manchester
universidade federal do espirito santo;universidade federal do espirito santo
seinan gakuin university;seinan gakuin university
inha university;inha university
rehabilitation institute of chicago;rehabilitation institute of chicago
suffolk university;suffolk university
nanjing forestry university;nanjing forestry university
cleveland state university;cleveland state university
brooklyn college;brooklyn college
college of western idaho;college of western idaho
ford motor company;ford motor company
national institute of astrophysics optics and electronics;national institute of astrophysics optics and electronics
incyte;incyte
elektrobit;elektrobit
austrian academy of sciences;austrian academy of sciences
northeastern university;northeastern university
yale university;yale university
university of memphis;university of memphis
missouri university of science and technology;missouri university of science and technology
pacific school of religion;pacific school of religion
janssen pharmaceutica;janssen pharmaceutica
university of luxembourg;university of luxembourg
national yang ming university;national yang ming university
ruhr university bochum;ruhr university bochum
bae systems;bae systems
technical university of crete;technical university of crete
charles sturt university;charles sturt university
carestream health;carestream health
queen s university belfast;queen s university belfast
academia sinica;academia sinica
texas a m university;texas a m university
university medical center groningen;university medical center groningen
ecole normale superieure de lyon;ecole normale superieure de lyon
southwest research institute;southwest research institute
centers for medicare and medicaid services;centers for medicare and medicaid services
san francisco state university;san francisco state university
royal dutch shell;royal dutch shell
university of palermo;university of palermo
nanjing university of information science and technology;nanjing university of information science and technology
assiut university;assiut university
university of medicine and dentistry of new jersey;university of medicine and dentistry of new jersey
emory university school of medicine;emory university school of medicine
national bureau of economic research;national bureau of economic research
university of pecs;university of pecs
technical university of kenya;technical university of kenya
western kentucky university;western kentucky university
university of california santa barbara;university of california santa barbara
rmit school of health sciences;rmit school of health sciences
university of virginia school of medicine;university of virginia school of medicine
cisco systems inc;cisco systems inc
university of melbourne;university of melbourne
orebro university;orebro university
advertising specialty institute;advertising specialty institute
university of wollongong;university of wollongong
university of nebraska omaha;university of nebraska omaha
information retrieval facility;information retrieval facility
university of caen lower normandy;university of caen lower normandy
soochow university;soochow university
stanford university;stanford university
university of sao paulo;university of sao paulo
oberlin college;oberlin college
usc marshall school of business;usc marshall school of business
cergy pontoise university;cergy pontoise university
primate research institute;primate research institute
university of turku;university of turku
city university of hong kong;city university of hong kong
digitalglobe;digitalglobe
tshwane university of technology;tshwane university of technology
idiap research institute;idiap research institute
auburn university;auburn university
matra;matra
carnegie mellon university;carnegie mellon university
civilian marksmanship program;civilian marksmanship program
wharton school of the university of pennsylvania;wharton school of the university of pennsylvania
national institute of technology rourkela;national institute of technology rourkela
university of concepcion;university of concepcion
school of computer science university of manchester;school of computer science university of manchester
kyushu university;kyushu university
instituto superior tecnico;instituto superior tecnico
national university of colombia;national university of colombia
king mongkut s university of technology thonburi;king mongkut s university of technology thonburi
queen mary university of london;queen mary university of london
jadavpur university;jadavpur university
national kaohsiung university of applied sciences;national kaohsiung university of applied sciences
john cabot university;john cabot university
oregon state university;oregon state university
university of southern california;university of southern california
parc;parc
university of bucharest;university of bucharest
miami university;miami university
khalifa university;khalifa university
university of guadalajara;university of guadalajara
winston salem state university;winston salem state university
university of hyderabad;university of hyderabad
robert wood johnson medical school;robert wood johnson medical school
hungarian academy of sciences;hungarian academy of sciences
sapporo medical university;sapporo medical university
california state university monterey bay;california state university monterey bay
finnish institute of marine research;finnish institute of marine research
boston children s hospital;boston children s hospital
king fahd university of petroleum and minerals;king fahd university of petroleum and minerals
aalborg university;aalborg university
walmart labs;walmart labs
max planck institute for medical research;max planck institute for medical research
institute of science and technology austria;institute of science and technology austria
texas instruments;texas instruments
university of dundee;university of dundee
otto von guericke university magdeburg;otto von guericke university magdeburg
tokai university;tokai university
university of helsinki;university of helsinki
abo akademi university;abo akademi university
joseph fourier university;joseph fourier university
new mexico state university;new mexico state university
hong kong information services department;hong kong information services department
shimane university;shimane university
izmir institute of technology;izmir institute of technology
general electric;general electric
adelphi university;adelphi university
saint petersburg state university;saint petersburg state university
beijing university of technology;beijing university of technology
sangmyung university;sangmyung university
ulster university;ulster university
school of mathematics university of manchester;school of mathematics university of manchester
brno university of technology;brno university of technology
wayne state university school of medicine;wayne state university school of medicine
duquesne university;duquesne university
interdisciplinary center for scientific computing;interdisciplinary center for scientific computing
university college west;university college west
university of western ontario;university of western ontario
university at albany suny;university at albany suny
the mind research network;the mind research network
umm al qura university;umm al qura university
national university of malaysia;national university of malaysia
university of lyon;university of lyon
university of electro communications;university of electro communications
tilburg university;tilburg university
xilinx;xilinx
university of liege;university of liege
ati technologies;ati technologies
international computer science institute;international computer science institute
chukyo university;chukyo university
university of central greece;university of central greece
aalto university school of business;aalto university school of business
lehman college;lehman college
university of nevada reno;university of nevada reno
university of florence;university of florence
nagoya institute of technology;nagoya institute of technology
cyprus university of technology;cyprus university of technology
university of sussex;university of sussex
university of paris sud;university of paris sud
university of innsbruck;university of innsbruck
indian institute of technology kanpur;indian institute of technology kanpur
aberystwyth university;aberystwyth university
university of newcastle;university of newcastle
hunter college;hunter college
university of tromso;university of tromso
institut de mathematiques de toulouse;institut de mathematiques de toulouse
boston university;boston university
harris corporation;harris corporation
indian council of agricultural research;indian council of agricultural research
university of nebraska medical center;university of nebraska medical center
stmicroelectronics;stmicroelectronics
university of orleans;university of orleans
university of california san francisco;university of california san francisco
state university of new york system;state university of new york system
complutense university of madrid;complutense university of madrid
institut galilee;institut galilee
goethe university frankfurt;goethe university frankfurt
royal society;royal society
schiller international university;schiller international university
chalmers university of technology;chalmers university of technology
oakland university;oakland university
university of liverpool;university of liverpool
maersk;maersk
astron;astron
baylor college of medicine;baylor college of medicine
new york medical college;new york medical college
tsinghua university;tsinghua university
american society for biochemistry and molecular biology;american society for biochemistry and molecular biology
national kaohsiung first university of science and technology;national kaohsiung first university of science and technology
poznan university of technology;poznan university of technology
kangwon national university;kangwon national university
college of the canyons;college of the canyons
vulcan inc;vulcan inc
university of pretoria;university of pretoria
national eye institute;national eye institute
james i university;james i university
ghent university;ghent university
northumbria university;northumbria university
university of udine;university of udine
auckland university of technology;auckland university of technology
baylor university;baylor university
american hotel lodging educational institute;american hotel lodging educational institute
mccombs school of business;mccombs school of business
national institute of standards and technology;national institute of standards and technology
science college;science college
universita iuav di venezia;universita iuav di venezia
university of illinois at urbana champaign;university of illinois at urbana champaign
dalhousie university;dalhousie university
tianjin university of science and technology;tianjin university of science and technology
salk institute for biological studies;salk institute for biological studies
gifu university;gifu university
united states army tank automotive research development and engineering center;united states army tank automotive research development and engineering center
university of the sciences;university of the sciences
colorado department of public health and environment;colorado department of public health and environment
bauhaus university weimar;bauhaus university weimar
samsung electro mechanics;samsung electro mechanics
vu university medical center;vu university medical center
environmental change institute;environmental change institute
telecom paristech;telecom paristech
supsi;supsi
institut des hautes etudes scientifiques;institut des hautes etudes scientifiques
center for computational biology;center for computational biology
