Id;Label
feinberg school of medicine;feinberg school of medicine
united states department of veterans affairs;united states department of veterans affairs
cleveland clinic;cleveland clinic
kt corporation;kt corporation
metaio gmbh;metaio gmbh
austrian research institute for artificial intelligence;austrian research institute for artificial intelligence
edith cowan university;edith cowan university
caterpillar inc;caterpillar inc
university of osnabruck;university of osnabruck
tulane university;tulane university
the graduate center cuny;the graduate center cuny
university of cincinnati;university of cincinnati
institute of company secretaries of india;institute of company secretaries of india
sim university;sim university
sun microsystems;sun microsystems
francois rabelais university;francois rabelais university
manhattan college;manhattan college
university of new orleans;university of new orleans
michigan state university;michigan state university
hefei university of technology;hefei university of technology
federation university australia;federation university australia
federal bureau of investigation;federal bureau of investigation
islamic azad university of karaj;islamic azad university of karaj
hosei university;hosei university
sri international;sri international
cinvestav;cinvestav
college of information technology;college of information technology
vtt technical research centre of finland;vtt technical research centre of finland
scripps research institute;scripps research institute
university of bern;university of bern
toyama prefectural university;toyama prefectural university
university of perugia;university of perugia
teesside university;teesside university
university of strathclyde;university of strathclyde
skolkovo institute of science and technology;skolkovo institute of science and technology
royal military academy;royal military academy
norwich university;norwich university
morpho;morpho
earth university;earth university
vision sciences inc;vision sciences inc
lancaster university;lancaster university
ames research center;ames research center
vision institute;vision institute
university of minnesota;university of minnesota
california state university fresno;california state university fresno
jilin university;jilin university
university of belgrade;university of belgrade
united states department of commerce;united states department of commerce
ningbo university of technology;ningbo university of technology
democritus university of thrace;democritus university of thrace
university of chicago;university of chicago
technische universitat darmstadt;technische universitat darmstadt
eskisehir osmangazi university;eskisehir osmangazi university
the catholic university of america;the catholic university of america
leibniz association;leibniz association
northeast normal university;northeast normal university
vu university amsterdam;vu university amsterdam
united parcel service;united parcel service
university of alabama in huntsville;university of alabama in huntsville
picturetel corp;picturetel corp
wilfrid laurier university;wilfrid laurier university
ericsson radio systems;ericsson radio systems
creighton university;creighton university
king s college cambridge;king s college cambridge
indian institute of technology delhi;indian institute of technology delhi
evolution robotics;evolution robotics
brigham young university;brigham young university
temple university;temple university
yildiz technical university;yildiz technical university
alexandria university;alexandria university
waseda university;waseda university
toyota technological institute;toyota technological institute
university of kuala lumpur;university of kuala lumpur
middle east technical university;middle east technical university
beth israel deaconess medical center;beth israel deaconess medical center
university of hertfordshire;university of hertfordshire
university of westminster;university of westminster
singapore mit alliance;singapore mit alliance
university of rhode island;university of rhode island
university of haifa;university of haifa
vrvis;vrvis
karolinska institutet;karolinska institutet
san diego state university;san diego state university
los angeles harbor college;los angeles harbor college
helen wills neuroscience institute;helen wills neuroscience institute
american cyanamid;american cyanamid
ecole nationale superieure de l electronique et de ses applications;ecole nationale superieure de l electronique et de ses applications
sofia university;sofia university
ntt docomo;ntt docomo
mitsubishi electric;mitsubishi electric
institute of mathematical sciences chennai;institute of mathematical sciences chennai
defence evaluation and research agency;defence evaluation and research agency
university of genoa;university of genoa
institut national des sciences appliquees de rouen;institut national des sciences appliquees de rouen
mitsubishi;mitsubishi
university of potsdam;university of potsdam
howard hughes medical institute;howard hughes medical institute
grupo mexico;grupo mexico
charles iii university of madrid;charles iii university of madrid
central research institute of electric power industry;central research institute of electric power industry
drexel university;drexel university
university of arkansas at little rock;university of arkansas at little rock
united states naval research laboratory;united states naval research laboratory
huazhong university of science and technology;huazhong university of science and technology
university of alicante;university of alicante
london school of economics and political science;london school of economics and political science
university of murcia;university of murcia
university of pennsylvania;university of pennsylvania
microstrategy;microstrategy
cybercast news service;cybercast news service
national tsing hua university;national tsing hua university
dublin city university;dublin city university
university of nottingham;university of nottingham
federal university of rio grande do norte;federal university of rio grande do norte
ecole normale superieure;ecole normale superieure
durham university;durham university
king juan carlos university;king juan carlos university
helsinki university of technology;helsinki university of technology
chuo university;chuo university
zhejiang university;zhejiang university
florida atlantic university;florida atlantic university
colorado state university;colorado state university
catholic university of leuven;catholic university of leuven
koc university;koc university
university of manchester;university of manchester
florida institute of technology;florida institute of technology
interval research corporation;interval research corporation
weber state university;weber state university
czech technical university in prague;czech technical university in prague
southern illinois university carbondale;southern illinois university carbondale
empresa brasileira de pesquisa agropecuaria;empresa brasileira de pesquisa agropecuaria
mit lincoln laboratory;mit lincoln laboratory
bangor university;bangor university
university of zaragoza;university of zaragoza
blaise pascal university;blaise pascal university
queensland university of technology;queensland university of technology
united states naval academy;united states naval academy
agricultural research organization volcani center;agricultural research organization volcani center
computer laboratory university of cambridge;computer laboratory university of cambridge
faculty of geodesy university of zagreb;faculty of geodesy university of zagreb
alpert medical school;alpert medical school
santa clara university;santa clara university
wolfram research;wolfram research
dublin institute of technology;dublin institute of technology
hohai university;hohai university
hiroshima city university;hiroshima city university
xi an jiaotong university;xi an jiaotong university
technology college;technology college
international institute of information technology;international institute of information technology
university of tokushima;university of tokushima
lawrence livermore national laboratory;lawrence livermore national laboratory
university of kansas;university of kansas
chartered institute of management accountants;chartered institute of management accountants
university of bath;university of bath
university of louisiana at lafayette;university of louisiana at lafayette
peking university;peking university
arco;arco
university of texas at san antonio;university of texas at san antonio
national changhua university of education;national changhua university of education
university of cologne;university of cologne
bryn mawr college;bryn mawr college
minneapolis institute of arts;minneapolis institute of arts
sandia national laboratories;sandia national laboratories
university of bari;university of bari
national technical university of athens;national technical university of athens
aselsan;aselsan
new england baptist hospital;new england baptist hospital
university of girona;university of girona
depaul university;depaul university
osram sylvania;osram sylvania
university of essex;university of essex
university of naples federico ii;university of naples federico ii
technical university of madrid;technical university of madrid
university of modena and reggio emilia;university of modena and reggio emilia
centro universitario da fei;centro universitario da fei
information sciences institute;information sciences institute
college of william mary;college of william mary
xerox;xerox
duke university;duke university
university of california irvine school of humanities;university of california irvine school of humanities
king saud university;king saud university
siemens;siemens
national museum of natural history;national museum of natural history
instituto politecnico nacional;instituto politecnico nacional
parker h petit institute for bioengineering bioscience;parker h petit institute for bioengineering bioscience
national university of cordoba;national university of cordoba
illinois institute of technology;illinois institute of technology
pontifical xavierian university;pontifical xavierian university
aalto university school of science;aalto university school of science
king s college london;king s college london
chonnam national university;chonnam national university
haas school of business;haas school of business
university of buenos aires;university of buenos aires
clark atlanta university;clark atlanta university
university of rostock;university of rostock
media research center;media research center
university of castilla la mancha;university of castilla la mancha
interactive advertising bureau;interactive advertising bureau
university of southern denmark;university of southern denmark
hiroshima university;hiroshima university
norwegian university of science and technology;norwegian university of science and technology
k n toosi university of technology;k n toosi university of technology
sidney sussex college cambridge;sidney sussex college cambridge
ifremer;ifremer
delgado community college;delgado community college
austrian institute of technology;austrian institute of technology
athens state university;athens state university
east china normal university;east china normal university
heilongjiang university;heilongjiang university
posco;posco
university of a coruna;university of a coruna
kingston university;kingston university
science applications international corporation;science applications international corporation
universite de montreal;universite de montreal
university of huddersfield;university of huddersfield
oregon national primate research center;oregon national primate research center
american physical therapy association;american physical therapy association
tokyo university of science;tokyo university of science
royal military college of canada;royal military college of canada
rutgers camden;rutgers camden
university of wurzburg;university of wurzburg
national chung cheng university;national chung cheng university
yeshiva university;yeshiva university
mcmaster university;mcmaster university
university of london;university of london
qinetiq;qinetiq
humboldt state university;humboldt state university
university of trento;university of trento
chongqing normal university;chongqing normal university
university of cagliari;university of cagliari
pusan national university;pusan national university
harvard medical school;harvard medical school
universite du quebec a montreal;universite du quebec a montreal
control group;control group
islamic azad university;islamic azad university
americorps vista;americorps vista
indian institute of technology roorkee;indian institute of technology roorkee
lehigh university;lehigh university
missouri state university;missouri state university
women s college kolkata;women s college kolkata
national university of defense technology;national university of defense technology
osaka prefecture university;osaka prefecture university
university of oslo;university of oslo
national center for supercomputing applications;national center for supercomputing applications
vanderbilt university;vanderbilt university
insead;insead
national sun yat sen university;national sun yat sen university
university of windsor;university of windsor
fujitsu;fujitsu
iwate university;iwate university
university of basel;university of basel
fred hutchinson cancer research center;fred hutchinson cancer research center
nihon university;nihon university
university of angers;university of angers
merrill lynch;merrill lynch
imperial college london;imperial college london
at t labs;at t labs
macau university of science and technology;macau university of science and technology
budapest university of technology and economics;budapest university of technology and economics
university of southern queensland;university of southern queensland
northeastern illinois university;northeastern illinois university
universidad autonoma metropolitana;universidad autonoma metropolitana
athlone institute of technology;athlone institute of technology
mitre corporation;mitre corporation
aalborg university copenhagen;aalborg university copenhagen
etsi;etsi
new jersey institute of technology;new jersey institute of technology
city college of new york;city college of new york
wichita state university;wichita state university
european committee for standardization;european committee for standardization
etisalat university college;etisalat university college
ferdowsi university of mashhad;ferdowsi university of mashhad
university of north carolina at charlotte;university of north carolina at charlotte
institute of robotics and intelligent systems;institute of robotics and intelligent systems
interdisciplinary center herzliya;interdisciplinary center herzliya
university of groningen;university of groningen
indian institute of technology bombay;indian institute of technology bombay
tufts university school of medicine;tufts university school of medicine
california state university long beach;california state university long beach
gifu shotoku gakuen university;gifu shotoku gakuen university
evans sutherland;evans sutherland
university of technology sydney;university of technology sydney
columbia university;columbia university
university of tsukuba;university of tsukuba
san jose state university;san jose state university
academy of sciences of the czech republic;academy of sciences of the czech republic
university of crete;university of crete
foundation for research technology hellas;foundation for research technology hellas
university of aberdeen;university of aberdeen
university of macau;university of macau
university of los andes;university of los andes
janelia farm research campus;janelia farm research campus
university of massachusetts boston;university of massachusetts boston
kigali institute of science and technology;kigali institute of science and technology
gunma university;gunma university
university of new south wales;university of new south wales
centrum wiskunde informatica;centrum wiskunde informatica
university of bordeaux;university of bordeaux
florida polytechnic university;florida polytechnic university
lg electronics;lg electronics
mcgill university;mcgill university
university of utah;university of utah
faculty of electrical engineering and computing university of zagreb;faculty of electrical engineering and computing university of zagreb
industrial technology research institute;industrial technology research institute
university of maryland baltimore;university of maryland baltimore
university of iceland;university of iceland
university of texas at arlington;university of texas at arlington
meijo university;meijo university
university of avignon;university of avignon
city university of new york;city university of new york
university of hawaii;university of hawaii
lockheed missiles and space company;lockheed missiles and space company
university of aveiro;university of aveiro
national research council;national research council
mediatek;mediatek
medical university of south carolina;medical university of south carolina
industrial light magic;industrial light magic
university of porto;university of porto
harvard innovation lab;harvard innovation lab
united international college;united international college
scientific and technological research council of turkey;scientific and technological research council of turkey
university of cambridge;university of cambridge
cvc capital partners;cvc capital partners
konkuk university;konkuk university
heidelberg university;heidelberg university
paris dauphine university;paris dauphine university
purdue university;purdue university
university of cape town;university of cape town
urban ministries;urban ministries
istituto di scienza e tecnologie dell informazione;istituto di scienza e tecnologie dell informazione
northern arizona university;northern arizona university
university of california merced;university of california merced
eotvos lorand university;eotvos lorand university
university of paderborn;university of paderborn
siemens healthcare;siemens healthcare
mines paristech;mines paristech
carleton university;carleton university
rensselaer polytechnic institute;rensselaer polytechnic institute
hannover medical school;hannover medical school
department of computer science university of illinois at urbana champaign;department of computer science university of illinois at urbana champaign
shahid beheshti university;shahid beheshti university
ceremade;ceremade
courant institute of mathematical sciences;courant institute of mathematical sciences
university of colorado colorado springs;university of colorado colorado springs
children s hospital of philadelphia;children s hospital of philadelphia
iav;iav
national aerospace laboratories;national aerospace laboratories
technical university of hamburg;technical university of hamburg
xidian university;xidian university
royal holloway university of london;royal holloway university of london
university of skovde;university of skovde
pace university;pace university
rolf c hagen group;rolf c hagen group
ecole navale;ecole navale
jaypee institute of information technology;jaypee institute of information technology
istanbul kultur university;istanbul kultur university
russian academy of sciences;russian academy of sciences
national technological university;national technological university
newcastle university;newcastle university
kaist;kaist
institute of management accountants;institute of management accountants
galatasaray university;galatasaray university
university of vigo;university of vigo
monash university clayton campus;monash university clayton campus
boston college;boston college
gdansk university of technology;gdansk university of technology
pennington biomedical research center;pennington biomedical research center
alternative for germany;alternative for germany
louisiana state university;louisiana state university
cardiff business school;cardiff business school
division of it convergence engineering;division of it convergence engineering
aix marseille university;aix marseille university
tamkang university;tamkang university
university of geneva;university of geneva
university of lubeck;university of lubeck
wuhan university;wuhan university
university of bayreuth;university of bayreuth
university of vienna;university of vienna
university of nice sophia antipolis;university of nice sophia antipolis
scientific computing and imaging institute;scientific computing and imaging institute
toyohashi university of technology;toyohashi university of technology
indiana university school of informatics;indiana university school of informatics
weizmann institute of science;weizmann institute of science
university of leeds;university of leeds
tokyo institute of technology;tokyo institute of technology
universidade federal de minas gerais;universidade federal de minas gerais
brandeis university;brandeis university
university of amsterdam;university of amsterdam
german research centre for artificial intelligence;german research centre for artificial intelligence
massachusetts general hospital;massachusetts general hospital
xiamen university;xiamen university
king abdullah university of science and technology;king abdullah university of science and technology
laval university;laval university
malmo university;malmo university
advanced micro devices;advanced micro devices
huaqiao university;huaqiao university
university of michigan;university of michigan
defence science and technology organisation;defence science and technology organisation
cairo university;cairo university
university of bonn;university of bonn
university of reading;university of reading
hacettepe university;hacettepe university
hong kong polytechnic university;hong kong polytechnic university
humboldt university of berlin;humboldt university of berlin
walter reed army institute of research;walter reed army institute of research
nile university;nile university
nijmegen institute for cognition and information;nijmegen institute for cognition and information
university of winnipeg;university of winnipeg
council for scientific and industrial research;council for scientific and industrial research
silesian university of technology;silesian university of technology
kansai university;kansai university
national security agency;national security agency
university of marburg;university of marburg
university of science and technology sana a;university of science and technology sana a
yandex;yandex
centre college;centre college
technical career institute college of technology;technical career institute college of technology
mississippi state university;mississippi state university
drug enforcement administration;drug enforcement administration
silver spring networks;silver spring networks
curtin university;curtin university
university of kiel;university of kiel
david r cheriton school of computer science;david r cheriton school of computer science
tongji university;tongji university
free university of berlin;free university of berlin
peabody college;peabody college
ukraine international airlines;ukraine international airlines
institut national de la recherche agronomique;institut national de la recherche agronomique
university of zagreb;university of zagreb
johannes kepler university of linz;johannes kepler university of linz
universiti putra malaysia;universiti putra malaysia
radford university;radford university
georgia tech research institute;georgia tech research institute
urbana university;urbana university
university of pittsburgh school of medicine;university of pittsburgh school of medicine
centre national de la recherche scientifique;centre national de la recherche scientifique
otsuma women s university;otsuma women s university
uppsala university;uppsala university
seoul national university;seoul national university
shenzhen university;shenzhen university
universiti teknologi malaysia;universiti teknologi malaysia
university of jyvaskyla;university of jyvaskyla
zuse institute berlin;zuse institute berlin
international centre for theoretical physics;international centre for theoretical physics
hongik university;hongik university
university of texas system;university of texas system
national scientific and technical research council;national scientific and technical research council
eunice kennedy shriver national institute of child health and human development;eunice kennedy shriver national institute of child health and human development
swisscom;swisscom
lille university of science and technology;lille university of science and technology
sant anna school of advanced studies;sant anna school of advanced studies
georgetown university;georgetown university
national institute of advanced industrial science and technology;national institute of advanced industrial science and technology
pompeu fabra university;pompeu fabra university
hunan normal university;hunan normal university
children s national medical center;children s national medical center
university of alberta;university of alberta
university of maryland college park;university of maryland college park
the turing institute;the turing institute
university of lisbon;university of lisbon
institut de physique du globe de paris;institut de physique du globe de paris
furtwangen university;furtwangen university
university of tokyo;university of tokyo
institut de robotica i informatica industrial;institut de robotica i informatica industrial
anyang university;anyang university
university of california los angeles;university of california los angeles
north carolina state university;north carolina state university
university of new hampshire;university of new hampshire
national taiwan university of science and technology;national taiwan university of science and technology
university of sydney;university of sydney
city university london;city university london
dartmouth college;dartmouth college
china university of petroleum;china university of petroleum
university of the balearic islands;university of the balearic islands
washington university school of medicine;washington university school of medicine
university of salzburg;university of salzburg
emory university;emory university
the hertz corporation;the hertz corporation
utrecht university;utrecht university
german cancer research center;german cancer research center
la salle university;la salle university
institut eurecom;institut eurecom
tobb university of economics and technology;tobb university of economics and technology
praxis;praxis
new mexico institute of mining and technology;new mexico institute of mining and technology
balliol college;balliol college
smith college;smith college
massey university;massey university
ecole nationale superieure des telecommunications de bretagne;ecole nationale superieure des telecommunications de bretagne
council of scientific and industrial research;council of scientific and industrial research
facebook;facebook
armstrong state university;armstrong state university
autonomous university of barcelona;autonomous university of barcelona
center for neural science;center for neural science
karlsruhe institute of technology;karlsruhe institute of technology
university of szeged;university of szeged
intel;intel
university of leicester;university of leicester
university of padua;university of padua
university of guelph;university of guelph
smith kettlewell institute;smith kettlewell institute
agro paristech;agro paristech
istanbul technical university;istanbul technical university
de montfort university;de montfort university
ibm;ibm
odense university;odense university
university of texas at austin;university of texas at austin
universidade federal do abc;universidade federal do abc
istituto italiano di tecnologia;istituto italiano di tecnologia
artemis;artemis
university of bologna;university of bologna
ohio university;ohio university
department of science and technology;department of science and technology
southwest jiaotong university;southwest jiaotong university
lawrence berkeley national laboratory;lawrence berkeley national laboratory
gallaudet university;gallaudet university
school of electrical and electronic engineering university of manchester;school of electrical and electronic engineering university of manchester
nanjing forestry university;nanjing forestry university
inha university;inha university
rehabilitation institute of chicago;rehabilitation institute of chicago
college of western idaho;college of western idaho
ford motor company;ford motor company
national institute of astrophysics optics and electronics;national institute of astrophysics optics and electronics
austrian academy of sciences;austrian academy of sciences
dankook university;dankook university
northeastern university;northeastern university
yale university;yale university
university of memphis;university of memphis
missouri university of science and technology;missouri university of science and technology
janssen pharmaceutica;janssen pharmaceutica
university of luxembourg;university of luxembourg
national yang ming university;national yang ming university
ruhr university bochum;ruhr university bochum
bae systems;bae systems
technical university of crete;technical university of crete
queen s university belfast;queen s university belfast
academia sinica;academia sinica
texas a m university;texas a m university
samsung sds;samsung sds
ecole normale superieure de lyon;ecole normale superieure de lyon
st matthew s university;st matthew s university
san francisco state university;san francisco state university
royal dutch shell;royal dutch shell
nanjing university of information science and technology;nanjing university of information science and technology
university of palermo;university of palermo
emory university school of medicine;emory university school of medicine
technical university of kenya;technical university of kenya
university of pecs;university of pecs
western kentucky university;western kentucky university
university of california santa barbara;university of california santa barbara
rmit school of health sciences;rmit school of health sciences
verenigde nederlandse uitgeverijen;verenigde nederlandse uitgeverijen
university of melbourne;university of melbourne
orebro university;orebro university
university of wollongong;university of wollongong
duke university school of medicine;duke university school of medicine
university of caen lower normandy;university of caen lower normandy
stanford university;stanford university
university of sao paulo;university of sao paulo
cergy pontoise university;cergy pontoise university
dong a university;dong a university
city university of hong kong;city university of hong kong
tshwane university of technology;tshwane university of technology
idiap research institute;idiap research institute
university of ulsan;university of ulsan
geospatial research centre;geospatial research centre
matra;matra
birmingham city university faculty of health;birmingham city university faculty of health
carnegie mellon university;carnegie mellon university
civilian marksmanship program;civilian marksmanship program
chicago transit authority;chicago transit authority
kanagawa university;kanagawa university
united states department of the army;united states department of the army
school of computer science university of manchester;school of computer science university of manchester
yunnan university;yunnan university
kyushu university;kyushu university
instituto superior tecnico;instituto superior tecnico
king mongkut s university of technology thonburi;king mongkut s university of technology thonburi
queen mary university of london;queen mary university of london
national kaohsiung university of applied sciences;national kaohsiung university of applied sciences
john cabot university;john cabot university
oregon state university;oregon state university
university of southern california;university of southern california
parc;parc
university of bucharest;university of bucharest
miami university;miami university
university of guadalajara;university of guadalajara
lodz university of technology;lodz university of technology
robert wood johnson medical school;robert wood johnson medical school
hungarian academy of sciences;hungarian academy of sciences
boston children s hospital;boston children s hospital
king fahd university of petroleum and minerals;king fahd university of petroleum and minerals
aalborg university;aalborg university
max planck institute for medical research;max planck institute for medical research
institute of science and technology austria;institute of science and technology austria
texas instruments;texas instruments
university of dundee;university of dundee
otto von guericke university magdeburg;otto von guericke university magdeburg
university of greifswald;university of greifswald
university of savoy;university of savoy
university of helsinki;university of helsinki
joseph fourier university;joseph fourier university
izmir institute of technology;izmir institute of technology
general electric;general electric
adelphi university;adelphi university
grumman aircraft corporation;grumman aircraft corporation
saint petersburg state university;saint petersburg state university
beijing university of technology;beijing university of technology
ulster university;ulster university
wayne state university school of medicine;wayne state university school of medicine
flemish institute for technological research;flemish institute for technological research
interdisciplinary center for scientific computing;interdisciplinary center for scientific computing
university of western ontario;university of western ontario
instituto tecnologico autonomo de mexico;instituto tecnologico autonomo de mexico
university of lyon;university of lyon
university of electro communications;university of electro communications
tilburg university;tilburg university
university of liege;university of liege
national penghu university of science and technology;national penghu university of science and technology
university of western sydney;university of western sydney
international computer science institute;international computer science institute
chosun university;chosun university
california department of water resources;california department of water resources
university of nevada reno;university of nevada reno
university of florence;university of florence
nagoya institute of technology;nagoya institute of technology
cyprus university of technology;cyprus university of technology
university of sussex;university of sussex
university of paris sud;university of paris sud
university of innsbruck;university of innsbruck
national taiwan normal university;national taiwan normal university
indian institute of technology kanpur;indian institute of technology kanpur
aberystwyth university;aberystwyth university
hunter college;hunter college
university of tromso;university of tromso
boston university;boston university
harris corporation;harris corporation
stmicroelectronics;stmicroelectronics
university of orleans;university of orleans
university of california san francisco;university of california san francisco
state university of new york system;state university of new york system
complutense university of madrid;complutense university of madrid
institut galilee;institut galilee
goethe university frankfurt;goethe university frankfurt
schiller international university;schiller international university
chalmers university of technology;chalmers university of technology
oakland university;oakland university
university of liverpool;university of liverpool
maersk;maersk
astron;astron
baylor college of medicine;baylor college of medicine
new york medical college;new york medical college
institut national de recherche sur les transports et leur securite;institut national de recherche sur les transports et leur securite
tsinghua university;tsinghua university
american society for biochemistry and molecular biology;american society for biochemistry and molecular biology
university of pretoria;university of pretoria
linux professional institute;linux professional institute
james i university;james i university
ghent university;ghent university
university of udine;university of udine
northumbria university;northumbria university
national institute of standards and technology;national institute of standards and technology
science college;science college
universita iuav di venezia;universita iuav di venezia
university of illinois at urbana champaign;university of illinois at urbana champaign
dalhousie university;dalhousie university
gifu university;gifu university
salk institute for biological studies;salk institute for biological studies
bauhaus university weimar;bauhaus university weimar
vu university medical center;vu university medical center
university of warsaw;university of warsaw
telecom paristech;telecom paristech
can tho university;can tho university
yeungnam university;yeungnam university
shanxi university;shanxi university
yahoo;yahoo
nanyang technological university;nanyang technological university
rowan university;rowan university
norwegian university of life sciences;norwegian university of life sciences
university of texas pan american;university of texas pan american
max planck institute for mathematics;max planck institute for mathematics
sharif university of technology;sharif university of technology
cyprus college;cyprus college
krasnow institute for advanced study;krasnow institute for advanced study
telecom sudparis;telecom sudparis
denso;denso
queen s university;queen s university
augsburg college;augsburg college
anglia ruskin university;anglia ruskin university
grinnell college;grinnell college
university of colorado boulder;university of colorado boulder
langley research center;langley research center
indian institute of science;indian institute of science
open university of catalonia;open university of catalonia
clemson university;clemson university
university of yamanashi;university of yamanashi
university of tehran;university of tehran
university of burgundy;university of burgundy
sofia medical university;sofia medical university
university of malaga;university of malaga
princeton university;princeton university
lund university;lund university
santa fe institute;santa fe institute
university of pisa;university of pisa
ministry of internal affairs;ministry of internal affairs
applied science private university;applied science private university
ottawa university;ottawa university
arizona public service;arizona public service
volvo;volvo
university of nantes;university of nantes
school of aeronautics and astronautics zhejiang university;school of aeronautics and astronautics zhejiang university
trent university;trent university
monash university;monash university
schering plough;schering plough
dalian maritime university;dalian maritime university
university of alabama;university of alabama
university of california;university of california
bt group;bt group
english heritage;english heritage
universite catholique de louvain;universite catholique de louvain
argonne national laboratory;argonne national laboratory
environmental research institute of michigan;environmental research institute of michigan
university of tubingen;university of tubingen
woods hole oceanographic institution;woods hole oceanographic institution
american cancer society;american cancer society
maynooth university;maynooth university
singer corporation;singer corporation
national chengchi university;national chengchi university
university of montpellier;university of montpellier
m co;m co
united states air force academy;united states air force academy
ge global research;ge global research
university of stuttgart;university of stuttgart
bilkent university;bilkent university
baystate medical center;baystate medical center
nanjing university of aeronautics and astronautics;nanjing university of aeronautics and astronautics
ogi school of science and engineering;ogi school of science and engineering
harvard school of engineering and applied sciences;harvard school of engineering and applied sciences
hanyang university;hanyang university
university of auckland;university of auckland
lions eye institute;lions eye institute
university of leon;university of leon
ebay;ebay
college de france;college de france
beijing institute of technology;beijing institute of technology
stony brook university;stony brook university
university of bradford;university of bradford
hengyang normal university;hengyang normal university
baidu;baidu
san antonio river authority;san antonio river authority
the chinese university of hong kong;the chinese university of hong kong
chung ang university;chung ang university
mediatech institute;mediatech institute
university of valladolid;university of valladolid
utah state university;utah state university
chiba university;chiba university
clarkson university;clarkson university
ecole des ponts paristech;ecole des ponts paristech
nara institute of science and technology;nara institute of science and technology
korea university;korea university
university of stirling;university of stirling
hong kong baptist university;hong kong baptist university
macquarie university;macquarie university
case western reserve university;case western reserve university
radboud university nijmegen;radboud university nijmegen
health science university;health science university
university of delaware;university of delaware
south china agricultural university;south china agricultural university
nottingham trent university;nottingham trent university
kobe university;kobe university
perkinelmer;perkinelmer
glaxosmithkline;glaxosmithkline
sapienza university of rome;sapienza university of rome
lear corporation;lear corporation
university of otago;university of otago
dayeh university;dayeh university
lsi corporation;lsi corporation
university of piraeus;university of piraeus
monterrey institute of technology and higher education;monterrey institute of technology and higher education
hokkaido university;hokkaido university
university of notre dame;university of notre dame
university of north carolina system;university of north carolina system
rotterdam university of applied sciences;rotterdam university of applied sciences
sichuan university;sichuan university
chinese academy of sciences;chinese academy of sciences
liverpool john moores university;liverpool john moores university
university of texas at dallas;university of texas at dallas
national institute for basic biology japan;national institute for basic biology japan
covance;covance
national university of singapore;national university of singapore
university of maryland baltimore county;university of maryland baltimore county
canadian institute for advanced research;canadian institute for advanced research
fruit of islam;fruit of islam
university of virginia;university of virginia
menzies research institute;menzies research institute
university of rouen;university of rouen
university of aizu;university of aizu
open university;open university
manchester metropolitan university;manchester metropolitan university
south china normal university;south china normal university
university of kragujevac;university of kragujevac
beijing university of posts and telecommunications;beijing university of posts and telecommunications
hrl laboratories;hrl laboratories
l abri;l abri
transport research institute;transport research institute
deutsche telekom;deutsche telekom
chemnitz university of technology;chemnitz university of technology
polaroid corporation;polaroid corporation
university of washington bothell;university of washington bothell
university of hong kong;university of hong kong
carnegie institution for science;carnegie institution for science
bbn technologies;bbn technologies
helsinki institute for information technology;helsinki institute for information technology
university of sassari;university of sassari
university of the algarve;university of the algarve
international institute of minnesota;international institute of minnesota
university of calgary;university of calgary
kyushu institute of technology;kyushu institute of technology
american university;american university
nec corporation of america;nec corporation of america
kagoshima university;kagoshima university
rmit school of medical sciences;rmit school of medical sciences
osaka electro communication university;osaka electro communication university
university of patras;university of patras
university of rochester;university of rochester
hp labs;hp labs
york university;york university
oslo and akershus university college of applied sciences;oslo and akershus university college of applied sciences
ecole de technologie superieure;ecole de technologie superieure
japanese ministry of international trade and industry;japanese ministry of international trade and industry
sarnoff corporation;sarnoff corporation
university of michigan school of kinesiology;university of michigan school of kinesiology
lgc;lgc
university of valencia;university of valencia
nippon telegraph and telephone;nippon telegraph and telephone
european bioinformatics institute;european bioinformatics institute
ecole polytechnique de l universite de nantes;ecole polytechnique de l universite de nantes
telecom italia;telecom italia
chulalongkorn university;chulalongkorn university
department of engineering science university of oxford;department of engineering science university of oxford
university of burgos;university of burgos
wesleyan university;wesleyan university
max planck society;max planck society
sabanci university;sabanci university
stanford university school of medicine;stanford university school of medicine
ca foscari university of venice;ca foscari university of venice
itt technical institute;itt technical institute
aarhus university;aarhus university
national cheng kung university;national cheng kung university
myongji university;myongji university
apple inc;apple inc
university of electronic science and technology of china;university of electronic science and technology of china
pohang university of science and technology;pohang university of science and technology
university of the district of columbia;university of the district of columbia
union hospital;union hospital
