Id;Label
cleveland clinic;cleveland clinic
metaio gmbh;metaio gmbh
austrian research institute for artificial intelligence;austrian research institute for artificial intelligence
edith cowan university;edith cowan university
millennium pharmaceuticals;millennium pharmaceuticals
university of osnabruck;university of osnabruck
tulane university;tulane university
yanshan university;yanshan university
california state university chico;california state university chico
universiti malaysia sabah;universiti malaysia sabah
the graduate center cuny;the graduate center cuny
university of cincinnati;university of cincinnati
institute of company secretaries of india;institute of company secretaries of india
ecole nationale superieure d ingenieurs de constructions aeronautiques;ecole nationale superieure d ingenieurs de constructions aeronautiques
sun microsystems;sun microsystems
university of new orleans;university of new orleans
michigan state university;michigan state university
hefei university of technology;hefei university of technology
american council of trustees and alumni;american council of trustees and alumni
atlantic general hospital;atlantic general hospital
technical university of lisbon;technical university of lisbon
hong kong institute of vocational education;hong kong institute of vocational education
united states geological survey;united states geological survey
quantum corporation;quantum corporation
hosei university;hosei university
bundeswehr university munich;bundeswehr university munich
sri international;sri international
jinan university;jinan university
university of pannonia;university of pannonia
kellogg school of management;kellogg school of management
cinvestav;cinvestav
college of information technology;college of information technology
vtt technical research centre of finland;vtt technical research centre of finland
orbotech;orbotech
scripps research institute;scripps research institute
university of bern;university of bern
toyama prefectural university;toyama prefectural university
university of perugia;university of perugia
skolkovo institute of science and technology;skolkovo institute of science and technology
royal military academy;royal military academy
norwich university;norwich university
vision sciences inc;vision sciences inc
asia university;asia university
nii holdings;nii holdings
lancaster university;lancaster university
ames research center;ames research center
vision institute;vision institute
university of minnesota;university of minnesota
university of indonesia;university of indonesia
university of san francisco;university of san francisco
hamburg university of applied sciences;hamburg university of applied sciences
perceptive pixel;perceptive pixel
democritus university of thrace;democritus university of thrace
university of chicago;university of chicago
comsats institute of information technology;comsats institute of information technology
technische universitat darmstadt;technische universitat darmstadt
eskisehir osmangazi university;eskisehir osmangazi university
university of mysore;university of mysore
national chung hsing university;national chung hsing university
the catholic university of america;the catholic university of america
eastern mediterranean university;eastern mediterranean university
vu university amsterdam;vu university amsterdam
university of alabama in huntsville;university of alabama in huntsville
shanghai maritime university;shanghai maritime university
king s college cambridge;king s college cambridge
indian institute of technology delhi;indian institute of technology delhi
evolution robotics;evolution robotics
brigham young university;brigham young university
pazmany peter catholic university;pazmany peter catholic university
temple university;temple university
alexandria university;alexandria university
waseda university;waseda university
chatham university;chatham university
toyota technological institute;toyota technological institute
university of rome tor vergata;university of rome tor vergata
sathyabama university;sathyabama university
shanghai university;shanghai university
hemwati nandan bahuguna garhwal university;hemwati nandan bahuguna garhwal university
universidade luterana do brasil;universidade luterana do brasil
effat university;effat university
bonn rhein sieg university of applied sciences;bonn rhein sieg university of applied sciences
middle east technical university;middle east technical university
beth israel deaconess medical center;beth israel deaconess medical center
university of hertfordshire;university of hertfordshire
university of westminster;university of westminster
xinjiang university;xinjiang university
university of rhode island;university of rhode island
