Id;Label
tianjin medical university;tianjin medical university
cyprus university of technology;cyprus university of technology
max planck institute for intelligent systems;max planck institute for intelligent systems
university of california santa barbara;university of california santa barbara
eskisehir osmangazi university;eskisehir osmangazi university
san francisco va medical center;san francisco va medical center
cirano;cirano
toros university;toros university
vision sciences inc;vision sciences inc
university of california berkeley;university of california berkeley
university of pisa;university of pisa
xidian university;xidian university
agilent technologies;agilent technologies
la trobe university;la trobe university
school of geodesy and geomatics wuhan university;school of geodesy and geomatics wuhan university
missouri university of science and technology;missouri university of science and technology
northwestern university;northwestern university
nicta;nicta
university of almeria;university of almeria
montreal neurological institute and hospital;montreal neurological institute and hospital
french institute for research in computer science and automation;french institute for research in computer science and automation
university of victoria;university of victoria
washington university in st louis;washington university in st louis
harvard school of engineering and applied sciences;harvard school of engineering and applied sciences
university of california riverside;university of california riverside
university of essex;university of essex
university of pittsburgh;university of pittsburgh
imperial college london;imperial college london
united states geological survey;united states geological survey
university of southampton;university of southampton
university of waterloo;university of waterloo
university of pennsylvania;university of pennsylvania
qimr berghofer medical research institute;qimr berghofer medical research institute
salus university;salus university
american university;american university
charles stark draper laboratory;charles stark draper laboratory
seoul national university;seoul national university
fuqua school of business;fuqua school of business
national university of defense technology;national university of defense technology
jordan university of science and technology;jordan university of science and technology
pontifical catholic university of chile;pontifical catholic university of chile
uganda revenue authority;uganda revenue authority
university of chicago law school;university of chicago law school
german cancer research center;german cancer research center
scientific computing and imaging institute;scientific computing and imaging institute
stanford university school of medicine;stanford university school of medicine
united nations;united nations
james cook university;james cook university
kanazawa institute of technology;kanazawa institute of technology
istituto nazionale di fisica nucleare;istituto nazionale di fisica nucleare
aix marseille university;aix marseille university
center for computational biology;center for computational biology
international comfort products corporation;international comfort products corporation
london school of hygiene tropical medicine;london school of hygiene tropical medicine
king s college london;king s college london
indian statistical institute;indian statistical institute
university of twente;university of twente
missouri state university;missouri state university
beijing jiaotong university;beijing jiaotong university
siemens healthcare;siemens healthcare
skolkovo institute of science and technology;skolkovo institute of science and technology
telcordia technologies;telcordia technologies
compuserve;compuserve
tamagawa university;tamagawa university
northern illinois university;northern illinois university
lanzhou university;lanzhou university
bar ilan university;bar ilan university
heidelberg university;heidelberg university
democratic governors association;democratic governors association
hyogo university;hyogo university
center for neural science;center for neural science
university of cagliari;university of cagliari
universidade federal do rio grande do sul;universidade federal do rio grande do sul
trinity college;trinity college
decision sciences institute;decision sciences institute
university of hasselt;university of hasselt
johns hopkins bloomberg school of public health;johns hopkins bloomberg school of public health
max planck institute for molecular plant physiology;max planck institute for molecular plant physiology
university of minnesota medical school;university of minnesota medical school
max planck institute for biophysical chemistry;max planck institute for biophysical chemistry
university of amsterdam;university of amsterdam
tokyo denki university;tokyo denki university
ecole polytechnique;ecole polytechnique
scripps research institute;scripps research institute
faculty of law university of colombo;faculty of law university of colombo
