Id;Label
comenius university in bratislava;comenius university in bratislava
dresden university of technology;dresden university of technology
indiana university purdue university indianapolis;indiana university purdue university indianapolis
polytechnic university of catalonia;polytechnic university of catalonia
national institute of informatics;national institute of informatics
university of west bohemia;university of west bohemia
university of dayton;university of dayton
national taiwan ocean university;national taiwan ocean university
adobe systems;adobe systems
intergraph;intergraph
university of iowa;university of iowa
singapore mit alliance;singapore mit alliance
technicolor;technicolor
de montfort university;de montfort university
university of south carolina;university of south carolina
cvc capital partners;cvc capital partners
toba national college of maritime technology;toba national college of maritime technology
macdonald dettwiler and associates;macdonald dettwiler and associates
national chung cheng university;national chung cheng university
university of wuppertal;university of wuppertal
university of nevada las vegas;university of nevada las vegas
assiut university;assiut university
southern illinois university carbondale;southern illinois university carbondale
forschungszentrum julich;forschungszentrum julich
southwestern university of finance and economics;southwestern university of finance and economics
imperial college london;imperial college london
walmart labs;walmart labs
university of colorado boulder;university of colorado boulder
technical university of madrid;technical university of madrid
university of malaya;university of malaya
bureau of meteorology;bureau of meteorology
charles university in prague;charles university in prague
statoil;statoil
university at buffalo;university at buffalo
king saud university;king saud university
dongguk university;dongguk university
hebei university of technology;hebei university of technology
massachusetts general hospital;massachusetts general hospital
eastern nazarene college;eastern nazarene college
department of computer science university of illinois at urbana champaign;department of computer science university of illinois at urbana champaign
missouri university of science and technology;missouri university of science and technology
ningbo university;ningbo university
university of south florida;university of south florida
mathematical institute university of oxford;mathematical institute university of oxford
university of tromso;university of tromso
mcknight brain institute;mcknight brain institute
university of jordan;university of jordan
university of westminster;university of westminster
duke university hospital;duke university hospital
institut gaspard monge;institut gaspard monge
tokyo denki university;tokyo denki university
college de france;college de france
ca foscari university of venice;ca foscari university of venice
oracle corporation;oracle corporation
institut eurecom;institut eurecom
inesc id;inesc id
ursinus college;ursinus college
smith kettlewell institute;smith kettlewell institute
university of new south wales;university of new south wales
ludwig maximilian university of munich;ludwig maximilian university of munich
mit sloan school of management;mit sloan school of management
radboud university nijmegen;radboud university nijmegen
university of north texas;university of north texas
cergy pontoise university;cergy pontoise university
center for excellence in education;center for excellence in education
shiraz university;shiraz university
telecom italia mobile;telecom italia mobile
university of mannheim;university of mannheim
united states naval academy;united states naval academy
williams college;williams college
kingston university;kingston university
hokkaido university;hokkaido university
pittsburgh supercomputing center;pittsburgh supercomputing center
mitsubishi electric research laboratories;mitsubishi electric research laboratories
robert gordon university;robert gordon university
ebay;ebay
institute for advanced study;institute for advanced study
visual sciences;visual sciences
universite catholique de louvain;universite catholique de louvain
colorado state university;colorado state university
peking university;peking university
bournemouth university;bournemouth university
university of tokushima;university of tokushima
university of modena and reggio emilia;university of modena and reggio emilia
worcester polytechnic institute;worcester polytechnic institute
queen mary university of london;queen mary university of london
monterey bay aquarium research institute;monterey bay aquarium research institute
university of boras;university of boras
schweitzer engineering laboratories;schweitzer engineering laboratories
university of aberdeen;university of aberdeen
hiroshima university;hiroshima university
kt corporation;kt corporation
language computer corporation;language computer corporation
tata institute of fundamental research;tata institute of fundamental research
disney research;disney research
university of mississippi;university of mississippi
allen institute for brain science;allen institute for brain science
university of porto;university of porto
sabanci university;sabanci university
community emergency response team;community emergency response team
institute of medical science;institute of medical science
xi an jiaotong university;xi an jiaotong university
cls group;cls group
