Id;Label
fruit of islam;fruit of islam
university of virginia;university of virginia
feinberg school of medicine;feinberg school of medicine
humboldt university of berlin;humboldt university of berlin
cleveland clinic;cleveland clinic
spanish national research council;spanish national research council
austrian research institute for artificial intelligence;austrian research institute for artificial intelligence
umea university;umea university
research institute for advanced computer science;research institute for advanced computer science
institute of company secretaries of india;institute of company secretaries of india
university of science and technology sana a;university of science and technology sana a
iese business school;iese business school
university of fribourg;university of fribourg
michigan state university;michigan state university
mississippi state university;mississippi state university
cardiff university;cardiff university
university of hong kong;university of hong kong
bbn technologies;bbn technologies
curtin university;curtin university
helsinki institute for information technology;helsinki institute for information technology
university of kiel;university of kiel
toros university;toros university
mcgovern institute for brain research;mcgovern institute for brain research
university of california berkeley;university of california berkeley
vienna university of economics and business;vienna university of economics and business
free university of berlin;free university of berlin
oregon research institute;oregon research institute
university of ljubljana;university of ljubljana
twitter;twitter
sri international;sri international
georgia tech research institute;georgia tech research institute
dana farber cancer institute;dana farber cancer institute
university of manitoba;university of manitoba
university of victoria;university of victoria
wellcome trust;wellcome trust
paris descartes university;paris descartes university
university of rochester;university of rochester
hp labs;hp labs
york university;york university
kyoto university;kyoto university
university of pittsburgh school of medicine;university of pittsburgh school of medicine
centre national de la recherche scientifique;centre national de la recherche scientifique
uppsala university;uppsala university
seoul national university;seoul national university
university of bern;university of bern
judge rotenberg educational center;judge rotenberg educational center
ensae paristech;ensae paristech
university of strathclyde;university of strathclyde
sarnoff corporation;sarnoff corporation
martin luther university of halle wittenberg;martin luther university of halle wittenberg
leipzig university;leipzig university
vision sciences inc;vision sciences inc
university of twente;university of twente
lancaster university;lancaster university
vrije universiteit brussel;vrije universiteit brussel
ames research center;ames research center
university of minnesota;university of minnesota
european bioinformatics institute;european bioinformatics institute
loyola marymount university;loyola marymount university
department of engineering science university of oxford;department of engineering science university of oxford
eunice kennedy shriver national institute of child health and human development;eunice kennedy shriver national institute of child health and human development
indian department of telecommunications;indian department of telecommunications
max planck society;max planck society
google;google
institute for theoretical computer science;institute for theoretical computer science
stanford university school of medicine;stanford university school of medicine
universite libre de bruxelles;universite libre de bruxelles
ca foscari university of venice;ca foscari university of venice
university of chicago;university of chicago
bogazici university;bogazici university
sant anna school of advanced studies;sant anna school of advanced studies
technische universitat darmstadt;technische universitat darmstadt
georgetown university;georgetown university
national institute of advanced industrial science and technology;national institute of advanced industrial science and technology
apple inc;apple inc
pompeu fabra university;pompeu fabra university
pohang university of science and technology;pohang university of science and technology
university of alberta;university of alberta
university of maryland college park;university of maryland college park
vcu medical center;vcu medical center
university of ottawa;university of ottawa
european food safety authority;european food safety authority
university of the district of columbia;university of the district of columbia
duke university hospital;duke university hospital
massachusetts institute of technology;massachusetts institute of technology
university of waterloo;university of waterloo
