Id;Label
university of virginia;university of virginia
hong kong polytechnic university;hong kong polytechnic university
humboldt university of berlin;humboldt university of berlin
spanish national research council;spanish national research council
carroll university;carroll university
walter reed army institute of research;walter reed army institute of research
wolfson college oxford;wolfson college oxford
ilog;ilog
worcester polytechnic institute;worcester polytechnic institute
ithaca college;ithaca college
synopsys;synopsys
umea university;umea university
open university;open university
tulane university;tulane university
instituto tecnologico de buenos aires;instituto tecnologico de buenos aires
california state university chico;california state university chico
university of texas medical branch;university of texas medical branch
association for computing machinery;association for computing machinery
the graduate center cuny;the graduate center cuny
university of cincinnati;university of cincinnati
research institute for advanced computer science;research institute for advanced computer science
university of marburg;university of marburg
l abri;l abri
singapore management university;singapore management university
hrl laboratories;hrl laboratories
sun microsystems;sun microsystems
deutsche telekom;deutsche telekom
braunschweig university of technology;braunschweig university of technology
cooperative research centre;cooperative research centre
michigan state university;michigan state university
mississippi state university;mississippi state university
southern illinois university edwardsville;southern illinois university edwardsville
university of washington bothell;university of washington bothell
federation university australia;federation university australia
atlantic general hospital;atlantic general hospital
university of hong kong;university of hong kong
cardiff university;cardiff university
guru gobind singh indraprastha university;guru gobind singh indraprastha university
technical university of lisbon;technical university of lisbon
bbn technologies;bbn technologies
bridgewater state university;bridgewater state university
atlas group;atlas group
curtin university;curtin university
university of kiel;university of kiel
federal university of pernambuco;federal university of pernambuco
david r cheriton school of computer science;david r cheriton school of computer science
university of california berkeley;university of california berkeley
fernuniversitat hagen;fernuniversitat hagen
university of calgary;university of calgary
st francis xavier university;st francis xavier university
virginia state university;virginia state university
free university of berlin;free university of berlin
autodesk;autodesk
elsevier;elsevier
universidade federal de santa catarina;universidade federal de santa catarina
california state polytechnic university pomona;california state polytechnic university pomona
university of ljubljana;university of ljubljana
urban design group;urban design group
johannes kepler university of linz;johannes kepler university of linz
sri international;sri international
universiti putra malaysia;universiti putra malaysia
radford university;radford university
lawrence technological university;lawrence technological university
georgia tech research institute;georgia tech research institute
urbana university;urbana university
university of manitoba;university of manitoba
nicholls state university;nicholls state university
university of victoria;university of victoria
d e shaw co;d e shaw co
faculdade de ciencias e tecnologia da universidade nova de lisboa;faculdade de ciencias e tecnologia da universidade nova de lisboa
university of rochester;university of rochester
hp labs;hp labs
vtt technical research centre of finland;vtt technical research centre of finland
york university;york university
kyoto university;kyoto university
university of northern iowa;university of northern iowa
centre national de la recherche scientifique;centre national de la recherche scientifique
bren school of environmental science management;bren school of environmental science management
loyola university chicago;loyola university chicago
uppsala university;uppsala university
seoul national university;seoul national university
university of bern;university of bern
university of toulouse;university of toulouse
randolph macon college;randolph macon college
university of jyvaskyla;university of jyvaskyla
zuse institute berlin;zuse institute berlin
wayne state university;wayne state university
aea technology;aea technology
university of strathclyde;university of strathclyde
leipzig university;leipzig university
university of twente;university of twente
lancaster university;lancaster university
vrije universiteit brussel;vrije universiteit brussel
harvard pilgrim health care;harvard pilgrim health care
ames research center;ames research center
university of new brunswick;university of new brunswick
university of minnesota;university of minnesota
federal university of alagoas;federal university of alagoas
broadcom;broadcom
national scientific and technical research council;national scientific and technical research council
loyola marymount university;loyola marymount university
tektronix;tektronix
nato;nato
university of belgrade;university of belgrade
indian department of telecommunications;indian department of telecommunications
banco do nordeste;banco do nordeste
bell canada;bell canada
national health service;national health service
university of san francisco;university of san francisco
spoon river college;spoon river college
max planck society;max planck society
google;google
kent state university;kent state university
altair engineering;altair engineering
decode genetics;decode genetics
universite libre de bruxelles;universite libre de bruxelles
ca foscari university of venice;ca foscari university of venice
rockhurst university;rockhurst university
micro electronics inc;micro electronics inc
university of chicago;university of chicago
technological university kalay;technological university kalay
national university of ireland galway;national university of ireland galway
itt technical institute;itt technical institute
technische universitat darmstadt;technische universitat darmstadt
aarhus university;aarhus university
national cheng kung university;national cheng kung university
booz allen hamilton;booz allen hamilton
georgetown university;georgetown university
sant anna school of advanced studies;sant anna school of advanced studies
national institute of advanced industrial science and technology;national institute of advanced industrial science and technology
the catholic university of america;the catholic university of america
apple inc;apple inc
pompeu fabra university;pompeu fabra university
pohang university of science and technology;pohang university of science and technology
university of alberta;university of alberta
university of maryland college park;university of maryland college park
accenture;accenture
federal university of bahia;federal university of bahia
princeton university department of psychology;princeton university department of psychology
vu university amsterdam;vu university amsterdam
university of ottawa;university of ottawa
albion college;albion college
towson university;towson university
indian institute of technology madras;indian institute of technology madras
st anne s college oxford;st anne s college oxford
institute for computational engineering and sciences;institute for computational engineering and sciences
iri;iri
university of lisbon;university of lisbon
muhlenberg college;muhlenberg college
massachusetts institute of technology;massachusetts institute of technology
university of waterloo;university of waterloo
university of tokyo;university of tokyo
rmit university;rmit university
university of california los angeles;university of california los angeles
indian institute of technology delhi;indian institute of technology delhi
north carolina state university;north carolina state university
faculdade de engenharia da universidade do porto;faculdade de engenharia da universidade do porto
fuji xerox;fuji xerox
darling downs institute of advanced education;darling downs institute of advanced education
pennsylvania state university;pennsylvania state university
adobe systems;adobe systems
brigham young university;brigham young university
colgate university;colgate university
temple university;temple university
university of waikato;university of waikato
pontificia universidade catolica do rio grande do sul;pontificia universidade catolica do rio grande do sul
university of sydney;university of sydney
city university london;city university london
waseda university;waseda university
dartmouth college;dartmouth college
colby college;colby college
washington university school of medicine;washington university school of medicine
university of salzburg;university of salzburg
toyota technological institute;toyota technological institute
emory university;emory university
university of rome tor vergata;university of rome tor vergata
utah valley university;utah valley university
university of california davis;university of california davis
indiana university southeast;indiana university southeast
utrecht university;utrecht university
tallinn university of technology;tallinn university of technology
indiana university bloomington;indiana university bloomington
university of bergen;university of bergen
mozilla corporation;mozilla corporation
