Id;Label
university of virginia;university of virginia
wolfson college oxford;wolfson college oxford
ilog;ilog
worcester polytechnic institute;worcester polytechnic institute
computer resources international;computer resources international
synopsys;synopsys
open university;open university
tulane university;tulane university
rsa;rsa
the graduate center cuny;the graduate center cuny
university of cincinnati;university of cincinnati
research institute for advanced computer science;research institute for advanced computer science
university of marburg;university of marburg
institute of company secretaries of india;institute of company secretaries of india
l abri;l abri
singapore management university;singapore management university
hrl laboratories;hrl laboratories
sun microsystems;sun microsystems
braunschweig university of technology;braunschweig university of technology
michigan state university;michigan state university
university of hong kong;university of hong kong
technical university of lisbon;technical university of lisbon
bbn technologies;bbn technologies
curtin university;curtin university
university of kiel;university of kiel
federal university of pernambuco;federal university of pernambuco
david r cheriton school of computer science;david r cheriton school of computer science
international institute of minnesota;international institute of minnesota
university of california berkeley;university of california berkeley
fernuniversitat hagen;fernuniversitat hagen
university of calgary;university of calgary
free university of berlin;free university of berlin
university of ljubljana;university of ljubljana
kyushu institute of technology;kyushu institute of technology
sri international;sri international
johannes kepler university of linz;johannes kepler university of linz
university of victoria;university of victoria
d e shaw co;d e shaw co
faculdade de ciencias e tecnologia da universidade nova de lisboa;faculdade de ciencias e tecnologia da universidade nova de lisboa
university of rochester;university of rochester
hp labs;hp labs
york university;york university
kyoto university;kyoto university
centre national de la recherche scientifique;centre national de la recherche scientifique
bren school of environmental science management;bren school of environmental science management
loyola university chicago;loyola university chicago
uppsala university;uppsala university
seoul national university;seoul national university
southern utah university;southern utah university
teesside university;teesside university
wayne state university;wayne state university
university of strathclyde;university of strathclyde
martin luther university of halle wittenberg;martin luther university of halle wittenberg
mathematical institute university of oxford;mathematical institute university of oxford
university of twente;university of twente
lancaster university;lancaster university
vrije universiteit brussel;vrije universiteit brussel
institute of zoology;institute of zoology
ames research center;ames research center
university of minnesota;university of minnesota
broadcom;broadcom
loyola marymount university;loyola marymount university
national scientific and technical research council;national scientific and technical research council
tektronix;tektronix
wesleyan university;wesleyan university
azul systems;azul systems
spoon river college;spoon river college
electronic frontier foundation;electronic frontier foundation
max planck society;max planck society
google;google
institute for theoretical computer science;institute for theoretical computer science
decode genetics;decode genetics
universite libre de bruxelles;universite libre de bruxelles
ca foscari university of venice;ca foscari university of venice
university of chicago;university of chicago
technological university kalay;technological university kalay
itt technical institute;itt technical institute
technische universitat darmstadt;technische universitat darmstadt
aarhus university;aarhus university
georgetown university;georgetown university
national institute of advanced industrial science and technology;national institute of advanced industrial science and technology
apple inc;apple inc
pohang university of science and technology;pohang university of science and technology
university of alberta;university of alberta
university of maryland college park;university of maryland college park
vu university amsterdam;vu university amsterdam
university of ottawa;university of ottawa
sorbonne;sorbonne
university of lisbon;university of lisbon
charles river laboratories;charles river laboratories
massachusetts institute of technology;massachusetts institute of technology
university of waterloo;university of waterloo
university of tokyo;university of tokyo
rmit university;rmit university
university of california los angeles;university of california los angeles
indian institute of technology delhi;indian institute of technology delhi
north carolina state university;north carolina state university
fuji xerox;fuji xerox
pennsylvania state university;pennsylvania state university
adobe systems;adobe systems
brigham young university;brigham young university
advanced technology center;advanced technology center
colgate university;colgate university
national taiwan university of science and technology;national taiwan university of science and technology
university of waikato;university of waikato
university of sydney;university of sydney
city university london;city university london
waseda university;waseda university
dartmouth college;dartmouth college
university of lorraine;university of lorraine
university of urbino;university of urbino
city university of seattle;city university of seattle
toyota technological institute;toyota technological institute
university of salzburg;university of salzburg
university of rome tor vergata;university of rome tor vergata
emory university;emory university
university of california davis;university of california davis
utrecht university;utrecht university
tallinn university of technology;tallinn university of technology
indiana university bloomington;indiana university bloomington
university of bergen;university of bergen
mozilla corporation;mozilla corporation
cadence design systems;cadence design systems
university of idaho;university of idaho
university of british columbia;university of british columbia
keio university;keio university
university of tennessee;university of tennessee
memorial university of newfoundland;memorial university of newfoundland
washington university in st louis;washington university in st louis
hamilton institute;hamilton institute
polytechnic institute of new york university;polytechnic institute of new york university
bar ilan university;bar ilan university
alpha natural resources;alpha natural resources
microsoft;microsoft
software engineering institute;software engineering institute
bell labs;bell labs
university of hertfordshire;university of hertfordshire
university of arizona;university of arizona
philips;philips
singapore mit alliance;singapore mit alliance
nvidia;nvidia
robotics institute;robotics institute
american petroleum institute;american petroleum institute
university of rhode island;university of rhode island
university of georgia;university of georgia
trinity college;trinity college
arizona state university;arizona state university
iowa state university;iowa state university
general motors;general motors
university of florida;university of florida
university of haifa;university of haifa
university of adelaide;university of adelaide
wellesley college;wellesley college
facebook;facebook
merton college oxford;merton college oxford
karlsruhe institute of technology;karlsruhe institute of technology
university of augsburg;university of augsburg
northwestern university;northwestern university
intel;intel
university of leicester;university of leicester
stevens institute of technology;stevens institute of technology
university of padua;university of padua
technische universitat munchen;technische universitat munchen
university of new england;university of new england
jet propulsion laboratory;jet propulsion laboratory
sofia university;sofia university
international monetary fund;international monetary fund
ibm;ibm
hong kong university of science and technology;hong kong university of science and technology
university of new mexico;university of new mexico
ntt docomo;ntt docomo
institute of mathematical sciences chennai;institute of mathematical sciences chennai
university of texas at austin;university of texas at austin
university of erlangen nuremberg;university of erlangen nuremberg
royal institute of technology;royal institute of technology
university of bologna;university of bologna
howard hughes medical institute;howard hughes medical institute
airbus;airbus
concordia university wisconsin;concordia university wisconsin
university of novi sad;university of novi sad
polytechnic university of turin;polytechnic university of turin
queens college;queens college
lawrence berkeley national laboratory;lawrence berkeley national laboratory
australian national university;australian national university
drexel university;drexel university
united states naval research laboratory;united states naval research laboratory
university of miami;university of miami
hitachi;hitachi
university of cantabria;university of cantabria
naval postgraduate school;naval postgraduate school
at t;at t
college of western idaho;college of western idaho
university of warwick;university of warwick
brics;brics
university of munster;university of munster
delft university of technology;delft university of technology
northeastern university;northeastern university
yale university;yale university
university of pennsylvania;university of pennsylvania
iminds;iminds
orange s a;orange s a
national tsing hua university;national tsing hua university
university of luxembourg;university of luxembourg
dublin city university;dublin city university
new york university;new york university
texas tech university;texas tech university
