Id;Label
university of virginia;university of virginia
humboldt university of berlin;humboldt university of berlin
wolfson college oxford;wolfson college oxford
ilog;ilog
worcester polytechnic institute;worcester polytechnic institute
ithaca college;ithaca college
computer resources international;computer resources international
synopsys;synopsys
bmw;bmw
university of osnabruck;university of osnabruck
open university;open university
tulane university;tulane university
rsa;rsa
the graduate center cuny;the graduate center cuny
national security agency;national security agency
university of cincinnati;university of cincinnati
research institute for advanced computer science;research institute for advanced computer science
university of marburg;university of marburg
institute of company secretaries of india;institute of company secretaries of india
xi an shiyou university;xi an shiyou university
l abri;l abri
singapore management university;singapore management university
hrl laboratories;hrl laboratories
nancy universite;nancy universite
sun microsystems;sun microsystems
braunschweig university of technology;braunschweig university of technology
cooperative research centre;cooperative research centre
michigan state university;michigan state university
electronic arts;electronic arts
mississippi state university;mississippi state university
graduate school usa;graduate school usa
polaroid corporation;polaroid corporation
university of hong kong;university of hong kong
technical university of lisbon;technical university of lisbon
bbn technologies;bbn technologies
curtin university;curtin university
university of kiel;university of kiel
federal university of pernambuco;federal university of pernambuco
david r cheriton school of computer science;david r cheriton school of computer science
international institute of minnesota;international institute of minnesota
university of california berkeley;university of california berkeley
fernuniversitat hagen;fernuniversitat hagen
university of calgary;university of calgary
free university of berlin;free university of berlin
autodesk;autodesk
indian institute of information technology and management kerala;indian institute of information technology and management kerala
university of ljubljana;university of ljubljana
kyushu institute of technology;kyushu institute of technology
sri international;sri international
johannes kepler university of linz;johannes kepler university of linz
twitter;twitter
jinan university;jinan university
university of victoria;university of victoria
d e shaw co;d e shaw co
faculdade de ciencias e tecnologia da universidade nova de lisboa;faculdade de ciencias e tecnologia da universidade nova de lisboa
university of rochester;university of rochester
hp labs;hp labs
york university;york university
kyoto university;kyoto university
centre national de la recherche scientifique;centre national de la recherche scientifique
bren school of environmental science management;bren school of environmental science management
loyola university chicago;loyola university chicago
uppsala university;uppsala university
seoul national university;seoul national university
southern utah university;southern utah university
university of bern;university of bern
infineon technologies;infineon technologies
teesside university;teesside university
wayne state university;wayne state university
university of strathclyde;university of strathclyde
martin luther university of halle wittenberg;martin luther university of halle wittenberg
mathematical institute university of oxford;mathematical institute university of oxford
institute of technology carlow;institute of technology carlow
leipzig university;leipzig university
