Id;Label
university of florida;university of florida
university of saskatchewan;university of saskatchewan
american president lines;american president lines
ecole des mines de nantes;ecole des mines de nantes
pacific northwest national laboratory;pacific northwest national laboratory
department of trade and industry;department of trade and industry
kookmin university;kookmin university
university of massachusetts amherst;university of massachusetts amherst
technical university of denmark;technical university of denmark
spoon river college;spoon river college
concordia university wisconsin;concordia university wisconsin
colgate university;colgate university
ericsson;ericsson
york college of pennsylvania;york college of pennsylvania
strategy;strategy
scripps institution of oceanography;scripps institution of oceanography
portland state university;portland state university
royal institute of technology;royal institute of technology
air force institute of technology;air force institute of technology
umm al qura university;umm al qura university
university of california santa barbara;university of california santa barbara
university of siegen;university of siegen
citigroup;citigroup
nato;nato
mines paristech;mines paristech
micro electronics inc;micro electronics inc
pontificia universidade catolica do rio grande do sul;pontificia universidade catolica do rio grande do sul
azul systems;azul systems
mitre corporation;mitre corporation
pompeu fabra university;pompeu fabra university
university of valladolid;university of valladolid
rochester institute of technology;rochester institute of technology
university of caen lower normandy;university of caen lower normandy
johns hopkins university;johns hopkins university
carnegie institute of technology;carnegie institute of technology
infosys;infosys
national university of science and technology;national university of science and technology
centrum wiskunde informatica;centrum wiskunde informatica
arizona state university;arizona state university
cma cgm;cma cgm
university of california berkeley;university of california berkeley
university of pisa;university of pisa
university of houston;university of houston
xidian university;xidian university
yarmouk university;yarmouk university
institute of mathematical sciences chennai;institute of mathematical sciences chennai
urban design group;urban design group
agilent technologies;agilent technologies
birla institute of technology and science;birla institute of technology and science
zhejiang university;zhejiang university
la trobe university;la trobe university
munster university of applied sciences;munster university of applied sciences
university of miyazaki;university of miyazaki
dundalk institute of technology;dundalk institute of technology
vu university amsterdam;vu university amsterdam
steel authority of india;steel authority of india
harbin institute of technology;harbin institute of technology
the college of new jersey;the college of new jersey
georgia southwestern state university;georgia southwestern state university
open university of catalonia;open university of catalonia
defence science and technology organisation;defence science and technology organisation
missouri university of science and technology;missouri university of science and technology
university of paderborn;university of paderborn
university of stuttgart;university of stuttgart
university of electro communications;university of electro communications
leipzig university;leipzig university
northwestern university;northwestern university
universidad autonoma de san luis potosi;universidad autonoma de san luis potosi
university of rennes;university of rennes
durham university;durham university
ecole normale superieure;ecole normale superieure
chennai mathematical institute;chennai mathematical institute
bournemouth university;bournemouth university
university of arizona;university of arizona
nicta;nicta
institute for advanced study;institute for advanced study
shanghai jiao tong university;shanghai jiao tong university
university of exeter;university of exeter
polish academy of sciences;polish academy of sciences
federation university australia;federation university australia
university of macedonia;university of macedonia
eiffel software;eiffel software
universite de technologie de belfort montbeliard;universite de technologie de belfort montbeliard
indiana university;indiana university
university of franche comte;university of franche comte
university of tokyo;university of tokyo
