03DB03A9	hercules dalianis
277BF564	patrick y k chau
69DB0061	marc m budge
76301960	j walter larson
79D0FAB0	michael breakspear
7C16FABC	trystan upstill
7CC23C54	tobias hollerer
7D4B6AE3	tom rowlands
7D99F435	michael a martin
7DABE554	zhiyun lin
7DBC6345	shiyao jin
7DF61BCF	scott sanner
7E1F846D	nianjun liu
7E7A5E3F	nathan robinson
7E960DDF	quang anh nguyen
7EA701B6	cheng wang
7F0FE80F	p m thomas
7F1CCBF3	a pedro aguiar
800F2B79	hongyi lu
8031E110	susan r wilson
80339F3A	ke zhang
803DE979	mei kuan lim
80EB6092	xu zang
815ED893	wen zhang
8163415A	nigel tao
8174C2F6	angela carbone
819855E4	wanqing li
81BCB347	jiantong cheng
83814645	qing wang
83E24B72	jon baxter
8472E6FF	sejuti rahman
847654DC	y v v satyanarayana
84C1E65F	foroohar foroozan
84FE477D	florian poppa
86300BE0	a c doherty
0EBFC443	pattaraporn khuwuthyakorn
0EF3BFDA	andrey a bliznyuk
71551895	miriam van heist
7691D8BA	bernhard nebel
77644F82	a p willmore
77C6776A	nick craswell
7BF9CF2D	paul brebner
7C375240	samuel z guyer
7C446BD1	t nguyen
7C60BACB	darko stefanovic
7CB29E9A	andrew i comport
7D25C816	david grove
7D3FFEA9	matthew kuipers
7D63C011	majdah alshehri
7DB3B56E	chinho lin
7DBEABA8	jess s jin
7DE43CF0	sondoss el sawah
7DEAD78D	jason ozolins
7EB9A932	ida bagus kerthyayana manuaba
7ED4D9EF	anish varghese
7F617CF7	shi wang
7F9C6569	yanzhe wang
7FC4AABD	yong kim
7FE44B6D	minhduc hua
7FE541DC	florian widmann
7FF900D4	j t y ho
8018C117	j g walker
8062A8AA	w p malcolm
80B42E30	tristan reeves
80B88671	j j antony
80EC66A2	russell s crosbie
80FA8946	khoinguyen tran
82BBBAE4	simon g thompson
8373511F	richard hartley
848EE712	alexander zelinsky
84D801C2	jennifer b sartor
84E963B4	s maruthu permal
8525CF17	denny denny
852BF8E6	lei wang
853807CF	huan zhang
85D8C038	joseph noel
8632D548	james r larus
094C4B0D	tim hendtlass
14B23BBD	frederik schaffalitzky
2A849F9E	jeanpierre guedon
4EF43BE9	laurent dousset
69C5DF34	zarko b krusevac
722209B3	fabrizio perin
76AFB3FA	peter sunehag
76ED9426	daniel clewley
77405067	mostafa darabi
77AC4274	francois morain
77E95603	kenichi maruno
7A6D58DB	j vedi
7A88EB33	prasanga samarasinghe
7AFFED4E	shing mou
7D21920E	judy sheard
7D2EE7FD	pengdong xiao
7D48D719	xiangke wang
7D5947EA	jinbo huang
7D879376	marcel lippmann
7D8C4012	giuseppe liotta
7D9AD717	i s barnes
7E334749	walid saad
7E868370	hailun tan
7EA6FD49	xinhua zhang
7EECE471	stephen robertson
7F6F7E73	andrew c doherty
7FB4DE81	wim heirman
7FF2AF05	stephen m blackburn
8031356D	dinggang shen
803C6280	ben swift
8041EFB0	alfredo petrosino
81B46A25	matthias fuchs
821752CD	miguel o bernabeu
823967F7	roy featherstone
825CC348	lei wang
84D5B07E	robert shorten
02A6572C	sylvie thiebaux
083EE865	wolfgang sturzl
0D02A53E	hajar sadeghi sokeh
13186B74	maria skeppstedt
17C65658	william t e pitkeathly
4B8EBEDC	vladimir v nikulin
6716813B	laurent kneip
68FB4CEC	e v krishnamurthy
76E35ADE	zhihong guan
76FD5D5B	alain pajor
7918E1A1	olivier buffet
7A449ACF	filip pizlo
7CF5EDC9	jieyi liao
7D4BC413	xiaohua jia
7D640282	michael norrish
7D88D0B8	lachlan paget
7DD9CC8B	s a durrani
7E2186C1	shama n islam
7E69C837	f de bruyne
7F4D9664	charith perera
7F8A294E	md mohsin ali
800E2315	a kannan
810992F6	norazwin buang
820EA4CC	nianjun liu
8222EC75	peng sun
8299CC7A	jian a zhang
83816871	florian kahl
84A66271	steven m blackburn
85020324	abhas chandra
85166EF4	wei shi
8569C494	satyam bhuyan
85FC20B6	ronald ortner
8622F6BE	t j l jones
86284408	nan ding
8628B503	nick barnes
00F7530F	chanop silpaanan
0E3E8B74	oystein nytro
11BA75DA	bernhard scholkopf
13A8D06A	david baelde
3392F794	peter e caines
4D6D6829	masoumeh nasirikenari
716F877D	yogesan kanagasingam
730D7323	glenn vinnicombe
76798229	lex weaver
768EFE1A	michele zito
780D05E3	chris kelman
7BC35B21	ziyad alshaikh
7CDEC537	muhammad atif
7E829257	luping zhou
7E8AA476	rodrigo f s c oliveira
7E90EF39	kap luk chan
7EF903C6	g g borg
7F7F2CC8	shankar krishnan
7F85C6C5	chunhua shen
7FBD7F00	matthew robards
7FEF35EF	ahmed awad
7FF067A1	svetha venkatesh
7FFC5414	tomasz kowalski
804F2DF9	shuo chen
80F430B6	martin hassel
81148B08	jun sun
8135D6CA	shuangshuang fu
82461A62	romeo ortega
82AA0246	stevenson
82AA35C9	lei wang
83DFA23C	hanna suominen
84973688	xun ll
863C7A2E	lars petersson
07E957C7	jaison paul mulerikkal
09E662FE	roman vershynin
0D4B76BC	nicolas cherbuin
2043BAC6	yvonne pittelkow
2F1ACF9F	daniil ryabko
6E6FC28B	joe pittfrancis
76A4C70C	brendan van rooyen
7A3AF967	maria jump
7A671A54	ehsan abbasnejad
7ACA11A6	m a belabbas
7BFABAEF	p w c kung
7C521A52	roland goecke
7D23F3D6	ming zhao
7D2F3ACE	paul j kennedy
7D68825C	siti z z abidin
7D6F7F7B	christian stricker
7DC2A96D	hanna suominen
7DCDBB5E	lei wang
7E6C1B57	a ghosh
7EF1E0A2	j j cole
7F277EF2	kohsin cindy wang
7F46E0E3	xiangyun zhou
7F669BA3	timothy de vries
7F9BC730	uwe helmke
7FAC5EDB	morteza azad
80493CE3	anton van den hengel
806A07CE	michael j brooks
80BE41FD	rasika r perera
80C44285	salim el rouayheb
80E8BB0A	xiaojing he
8177934E	o v ramana murthy
8398E4F4	kassel hingee
83D8CADA	david grove
841E9181	rohan williams
84DB8BF0	xuezhi zeng
84E10D8F	paul thomas
850C6985	ken taylor
850F23C8	qiufen xia
060F4776	robert shorten
0CB20E80	wray buntine
0ED42FAE	antony
10C7CFCB	ahmed salahledin
119A94B2	laurent orseau
6A258237	sandra hirche
6E867F3D	wayne weibel
76217F8F	shahar mendelson
77156838	cees g m snoek
7818A02B	james macnicol
78D26A3C	ralf koetter
78EC5E97	rajehndra nagappan
79E642EC	nathan brewer
7AD9D847	a lecchini
7B943145	brendan d mckay
7C11939C	c r n athaudage
7CECF962	n nugroho
7CF59678	daihee kim
7CF986D3	brian d hart
7D59DB6E	samunda perera
7D672C43	biao he
7DBB8489	jun zhao
7DDE8928	shirley gregor
7E16F5BF	jyunhao huang
7E1789F4	c r mark
7E4B590E	leliane nunes de barros
7E5066CC	c r sanderson
7EA3035F	jianjia zhang
7EB04793	xuemin lin
7EF5035E	xiangjun wang
7FE875F0	xiaojiang ren
801EA601	sukanya manna
804B2F0A	mengqiu zhang
80571275	edward harrington
8071395B	lan du
813C7504	lijun chang
81D13336	murtaza ali
820A6CFE	hemant bhatta
822FD012	m franz
848FAF9C	buyu liu
850FAD2D	john langford
85399DB5	angiras r varma
853F1B86	jae hee lee
85824D91	james sheridan
07D97ED4	jan juerjens
0C784B82	sadeep jayasumana
4D25EB8A	ralf herbrich
559B2CF0	w m lioen
65ED198E	daniel von dincklage
72E45D5E	matej kristan
73C09196	stewart burn
76210EEE	sithamparanathan kandeepan
76CAE3D2	duan lifeng
78338905	j e bradby
78A036F6	peter christen
7935459E	tor lattimore
7A9A5727	jarek nieplocha
7B52B022	sajjad siddiqi
7B8ECA7E	chandra r n athaudage
7BFD22C9	agnes boskovitz
7CF607D4	mingyi he
7D9D2469	liu tao
7D9DA15B	a dehghani
7DA3833A	l van gool
7DD592DE	jie li
7DEA8F38	m s rahman
7E7F80BA	klausdieter schewe
7EBDF165	p y lee
7EDA967B	jie liang
7F017BF7	julien hendrickx
7F37859E	zheng zhao
7F3873D7	kyoungup park
80CF6980	qian zheng
80D42601	h l trentelman
81261E0F	lu xia
81340BE4	d b grove
82619871	jason wood
82ADF378	mohammad yamin
84C8C6BD	gordon parkerx
851EC5E4	alwen tiu
120B1A43	peter corke
54FAD9E3	eileen luders
6E3F11B9	peter l bartlett
75102902	karen aardal
75333944	caitilin de berigny wall
75EA0D80	cristiano bertolini
76B9B236	mehrtash t harandi
76E9BD1D	robert amor
77C4E9CD	wissam dib
78C8915F	jon smillie
79A878D7	mohammed s tarawneh
7AEA9661	dirk p kroese
7B19AC88	sarah taghavi namin
7B5412CB	stjepan picek
7C3741A6	jochen renz
7D130B7F	joshua c c chan
7DCDE652	david b smith
7DF69D3C	minkyoung kim
7E2FFE2C	weidong huang
7E5BA1A2	jyoti joshi
7EBAC7F3	banda ramadan
7EC3B2C5	behrouz maham
7EC5D7CA	huidong jin
7ECA3CAF	shiqiang yang
7F1C4226	ben searle
7FB2816E	jun luo
8005112E	yusuke suzuki
8015BFBC	munish kumar
80ABCB22	erhard rahm
81B3FB52	thanh tang
81CFCE29	ann cowling
82195A07	he wang
829DDD51	tan vo
82CB85B1	saeed jamali
830254D9	wayes tushar
83370638	sanjay chawla
83584D71	hadi esmaeilzadeh
84B0AA7C	daniel marshall
84E72044	toma vojir
049A4D27	vassilios s verykios
10BAC473	agus pudjijono
1124B055	david e orin
1614EBE8	s m akramus salehin
4B3AA83F	douglas aberdeen
58064184	jorge l penaarancibia
5BBD989C	hugh dennett
629FA59E	s alireza motevallian
754855E0	john armston
76B50302	philip kilby
79192BC2	rogerio s feris
79E84232	pedro gonnet
79F70EC8	b sumudu u mendis
7B32CAD4	osmat azzam jefferson
7B565A42	m euston
7B69ED8C	john hosking
7B7FC44C	a zelinsky
7BBE3A8E	peter gammie
7CFA4E05	bo wang
7CFA63D1	adam gatt
7D0B6515	matt ruan
7DBEC0AC	christopher n johnson
7DCC649D	kaiqi huang
7E3F187C	chris a johnson
7EEED1E0	jianfei cai
80B3F048	feng liang
813882F4	song guo
816A90F8	alexander n korotkov
845D6108	b sumudu mendis
848EE672	fatima silva leite
849086EC	dana pordel
84C9A9F8	joerg hoffmann
84F01D6E	soura dasgupta
84F25C6C	bochao wang
85090602	mark c reed
857ECA73	tan vo
861D2BE3	david j hill
86246973	paul thomas
86351BFB	kostia robert
02D626C5	ahmad khajenezhad
0852D3D5	janos botzheim
0D0BAC08	suvash sedhain
1264EDD9	himal a suraweera
14B5E658	jonathan h manton
2D88B10D	marek solony
6CB97386	paulette lieby
71C4E47C	benoit recur
760F4416	alessandro astolfi
76F972FB	stephen chen
78A9DAB1	prem prakash jayaraman
7A68CF14	ian wood
7A9DBD08	tim brereton
7C124546	andrew stranieri
7CEA6D96	david l porter
7CEF2139	jinhong yuan
7CFACA5F	liam osullivan
7E127301	alessandro saccon
7EAE6CA8	ammar alazab
7EDFC053	lei qiu
7F13994C	deke guo
7F1E706F	f de grandi
7F5E6F12	mohammad zamani
7FE9827E	lawrence murray
801A3A8A	rodney a kennedy
80233091	michael r osborne
80569CA4	qifeng yu
805CBFFC	michael eichler
80CCEA07	kerry trentelman
80E3863E	j p homer
8129A96B	m m rahman
81BE8CFE	qinghe wu
829A2942	tamas gedeon
82FCFD06	gordon parker
83ECD49C	peng wang
83F04DE3	zahra zamani
84A8D3B5	conrad sanderson
84B42CD0	nariman habili
850DA27C	pengfei li
8512D0EC	jessica tsimeris
8586D7FA	bernhard thalheim
8624A5DF	graham williams
863332F5	daniel frampton
8636A343	nicolas normand
080DBCE5	lodewijk bonebakker
1090C79F	yang yuansheng
2A62191D	john h maindonald
71453199	william m mceneaney
75A4662C	lin luo
7613AAD8	alain bensoussan
76959918	raffaella carloni
76DA3F2F	eric j stotzer
76FC861C	timothy senden
78E31A14	kim blackmore
797346D6	francois bousquet
7A3DD81C	shane latham
7B10C7AB	seyed hamid rezatofighi
7C090896	eckehard steinbach
7CFEF80F	khurrum aftab
7D40293A	junzhou luo
7D8FF0B1	falko schmid
7DAE408A	tao wang
7DF2040A	myeong hun jeong
7E353E69	quang nguyen
7ED117DA	lars petersson
7EDF19D0	nianjun liu
7EE29A6D	yongtian wang
7F06114C	karan sikka
7F243308	yunlian sun
7F2B4F5C	tom bruce
7F30FEF0	weitian chen
7F64B5F9	karina valdivia delgado
7F662B2E	jie wang
7F8AD219	zhuoyuan tu
7FAF699B	rajiv ranjan
80140B23	elmar mair
801FA135	anthony g cohn
805110E1	a santhanam
8088FA42	changyou chen
80948662	martin muller
80F006D7	liam o brien
80F8D387	g guillerm
8174AE2D	stephen taylor
81A8E40D	gerasimos potamianos
83E343EA	tom gedeon
83EBD24A	ting cao
845212E5	rui yang
84D0B578	xin li
85444D04	xuming he
8606C0ED	qiao zhang
0568EA2C	peter strazdins
0C64DAF7	teddy mantoro
255BB9F6	john mashford
5D72BFDD	frederik deroo
69D96365	adrian ankiewicz
757CB96D	sumudu mendis
75E28FCD	gaston h gonnet
78E31565	baris fidan
7958FE59	loig jezequel
79AED940	nicol n schraudolph
7BD4254B	andrew over
7C5165A8	dean soccol
7D11E9CD	e h huntington
7D2E6C17	nick barnes
7D3E9347	sebastian brand
7D63CCA2	jingbo wu
7D6FBE49	kelvin cheng
7DB2517A	hongcheu liu
7DEE111B	junge zhang
7E88719B	weidong gu
7EB20173	a s morse
8021E960	nasiroh omar
80CB5FB0	ross gayler
80D0982F	ting cao
80D1DDEE	wenguan wang
80D570B8	tao li
811B4C0A	christine m okeefe
811C8FA7	kashif gohar
8123A953	d c price
81A22C9E	nathan robertson
8233F624	jonathan baxter
82A572B3	c yu
82A96BED	peter sunehag
83C40384	william duckworth
83FA0C77	simon guenter
84DCB094	mengbin ye
85004BFC	florian luna
85025FAF	wei zhuo
85D8CBD3	joseph antony
863C8ECF	dimitrios georgakopoulos
004B1D7A	omar hashmi
0AF1EDEA	alan f smeaton
0E395AAC	riitta danielssonojala
2D5106F8	peter radoll
455374F9	michael curtotti
72C6C86A	salah alhyari
7624D72E	sharath pankanti
77BD7B57	francis crimmins
7818C38D	matthias hauswirth
7890EC54	j m davoren
792A8B07	tim churches
7AE1F985	xiomara marquez
7D642D9E	lachlan l h andrew
7E29C09F	h david
7E353365	weipeng xu
7E8810B5	s k garg
7F0C2FC8	f silva leite
7F1A2603	a i j m van dijk
7F85DC74	roland gocke
7FDF002A	john lim
8027CF78	shahab kalantar
803AF79A	zhiguo shi
803ECA78	hanxi li
805D1276	d a ward
809E5C52	xiaola lin
83418667	chao wang
84737A17	bathiya senanayake
84964D36	gary overett
8549A610	christopher beer
863D0B97	timothy hancock
039F9B63	chris gaskett
4A640D74	pavel smrz
5F2A9C4F	paul pounds
701C8D8E	simon lucey
73A53329	tarek hamel
7620B5F1	b s u mendis
78CBD004	l t chadderton
7B720BC4	simon lynen
7D0A87CF	r g lamont
7D39ECF5	david james austin
7DA2F284	thomas huber
7DE10260	nigel martin
7E26944B	gordon parker
7E99E06C	luke fletcher
