Country,Continent
Andorra,EU
United Arab Emirates,AS
Afghanistan,AS
Antigua and Barbuda,NA
Anguilla,NA
Albania,EU
Armenia,AS
Netherlands Antilles,NA
Angola,AF
Antarctica,AN
Argentina,SA
American Samoa,OC
Austria,EU
Australia,OC
Aruba,NA
Åland,EU
Azerbaijan,AS
Bosnia and Herzegovina,EU
Barbados,NA
Bangladesh,AS
Belgium,EU
Burkina Faso,AF
Bulgaria,EU
Bahrain,AS
Burundi,AF
Benin,AF
Saint Barthélemy,NA
Bermuda,NA
Brunei,AS
Bolivia,SA
Bonaire,NA
Brazil,SA
Bahamas,NA
Bhutan,AS
Bouvet Island,AN
Botswana,AF
Belarus,EU
Belize,NA
Canada,NA
Cocos [Keeling] Islands,AS
Democratic Republic of the Congo,AF
Central African Republic,AF
Republic of the Congo,AF
Switzerland,EU
Ivory Coast,AF
Cook Islands,OC
Chile,SA
Cameroon,AF
China,AS
Colombia,SA
Costa Rica,NA
Serbia and Montenegro,EU
Cuba,NA
Cape Verde,AF
Curacao,NA
Christmas Island,OC
Cyprus,EU
Czechia,EU
Germany,EU
Djibouti,AF
Denmark,EU
Dominica,NA
Dominican Republic,NA
Algeria,AF
Ecuador,SA
Estonia,EU
Egypt,AF
Western Sahara,AF
Eritrea,AF
Spain,EU
Ethiopia,AF
Finland,EU
Fiji,OC
Falkland Islands,SA
Micronesia,OC
Faroe Islands,EU
France,EU
Gabon,AF
United Kingdom,EU
Grenada,NA
Georgia,AS
French Guiana,SA
Guernsey,EU
Ghana,AF
Gibraltar,EU
Greenland,NA
Gambia,AF
Guinea,AF
Guadeloupe,NA
Equatorial Guinea,AF
Greece,EU
South Georgia and the South Sandwich Islands,AN
Guatemala,NA
Guam,OC
Guinea-Bissau,AF
Guyana,SA
Hong Kong,AS
Heard Island and McDonald Islands,AN
Honduras,NA
Croatia,EU
Haiti,NA
Hungary,EU
Indonesia,AS
Ireland,EU
Israel,AS
Isle of Man,EU
India,AS
British Indian Ocean Territory,AS
Iraq,AS
Iran,AS
Iceland,EU
Italy,EU
Jersey,EU
Jamaica,NA
Jordan,AS
Japan,AS
Kenya,AF
Kyrgyzstan,AS
Cambodia,AS
Kiribati,OC
Comoros,AF
Saint Kitts and Nevis,NA
North Korea,AS
South Korea,AS
Kuwait,AS
Cayman Islands,NA
Kazakhstan,AS
Laos,AS
Lebanon,AS
Saint Lucia,NA
Liechtenstein,EU
Sri Lanka,AS
Liberia,AF
Lesotho,AF
Lithuania,EU
Luxembourg,EU
Latvia,EU
Libya,AF
Morocco,AF
Monaco,EU
Moldova,EU
Montenegro,EU
Saint Martin,NA
Madagascar,AF
Marshall Islands,OC
Macedonia,EU
Mali,AF
Myanmar,AS
Mongolia,AS
Macao,AS
Northern Mariana Islands,OC
Martinique,NA
Mauritania,AF
Montserrat,NA
Malta,EU
Mauritius,AF
Maldives,AS
Malawi,AF
Mexico,NA
Malaysia,AS
Mozambique,AF
Namibia,AF
New Caledonia,OC
Niger,AF
Norfolk Island,OC
Nigeria,AF
Nicaragua,NA
Netherlands,EU
Norway,EU
Nepal,AS
Nauru,OC
Niue,OC
New Zealand,OC
Oman,AS
Panama,NA
Peru,SA
French Polynesia,OC
Papua New Guinea,OC
Philippines,AS
Pakistan,AS
Poland,EU
Saint Pierre and Miquelon,NA
Pitcairn Islands,OC
Puerto Rico,NA
State of Palestine,AS
Portugal,EU
Palau,OC
Paraguay,SA
Qatar,AS
Reunion,AF
Romania,EU
Serbia,EU
Russia,EU
Rwanda,AF
Saudi Arabia,AS
Solomon Islands,OC
Seychelles,AF
Sudan,AF
Sweden,EU
Singapore,AS
Saint Helena,AF
Slovenia,EU
Svalbard and Jan Mayen,EU
Slovakia,EU
Sierra Leone,AF
San Marino,EU
Senegal,AF
Somalia,AF
Suriname,SA
South Sudan,AF
Sao Tome and Principe,AF
El Salvador,NA
Sint Maarten,NA
Syria,AS
Swaziland,AF
Turks and Caicos Islands,NA
Chad,AF
French Southern Territories,AN
Togo,AF
Thailand,AS
Tajikistan,AS
Tokelau,OC
East Timor,OC
Turkmenistan,AS
Tunisia,AF
Tonga,OC
Turkey,AS
Trinidad and Tobago,NA
Tuvalu,OC
Taiwan,AS
Tanzania,AF
Ukraine,EU
Uganda,AF
U.S. Minor Outlying Islands,OC
United States,NA
Uruguay,SA
Uzbekistan,AS
Vatican,EU
Saint Vincent and the Grenadines,NA
Venezuela,SA
British Virgin Islands,NA
U.S. Virgin Islands,NA
Vietnam,AS
Vanuatu,OC
Wallis and Futuna,OC
Samoa,OC
Kosovo,EU
Yemen,AS
Mayotte,AF
South Africa,AF
Zambia,AF
Zimbabwe,AF
