Key,Fullname,Grid,URL,WikipediaURL
air liquide,Air Liquide,grid.476009.c,https://web.archive.org/web/20100205175402/http://airliquide.com/en/home.html,http://en.wikipedia.org/wiki/Air_Liquide
hellenic national meteorological service,Hellenic National Meteorological Service,,http://www.hnms.gr/hnms/english/index_html,http://en.wikipedia.org/wiki/Hellenic_National_Meteorological_Service
catholic university of the west,Catholic University of the West,grid.448708.7,http://www.uco.fr/,http://en.wikipedia.org/wiki/Catholic_University_of_the_West
mackay medical college,Mackay Medical College,grid.452449.a,http://www.mmc.edu.tw/,http://en.wikipedia.org/wiki/Mackay_Medical_College
chinese people s public security university,Chinese People's Public Security University,,http://www.ppsuc.edu.cn/,http://en.wikipedia.org/wiki/People's_Public_Security_University_of_China
madeira interactive technologies institute,Madeira Interactive Technologies Institute,,http://www.m-iti.org/,http://en.wikipedia.org/wiki/Madeira_Interactive_Technologies_Institute
queen s college london,"Queen's College, London",,http://www.qcl.org.uk/,"http://en.wikipedia.org/wiki/Queen's_College,_London"
amec foster wheeler,Amec Foster Wheeler,grid.480159.1,http://www.amecfw.com/,http://en.wikipedia.org/wiki/Amec_Foster_Wheeler
ukrainian state university of finance and international trade,Ukrainian State University of Finance and International Trade,grid.445773.6,http://usufit.edu.ua/,http://en.wikipedia.org/wiki/Ukrainian_State_University_of_Finance_and_International_Trade
ural state mining university,Ural State Mining University,grid.446243.3,http://www.ursmu.ru/,http://en.wikipedia.org/wiki/Ural_State_Mining_University
selex sistemi integrati,SELEX Sistemi Integrati,grid.9371.c,http://www.leonardocompany.com//,http://en.wikipedia.org/wiki/SELEX_Sistemi_Integrati
university of newcastle,University of Newcastle,grid.266842.c,http://www.newcastle.edu.au/,http://en.wikipedia.org/wiki/University_of_Newcastle_(Australia)
walden university,Walden University,grid.412868.1,http://www.waldenu.edu/,http://en.wikipedia.org/wiki/Walden_University
great lakes institute of management,Great Lakes Institute of Management,grid.464927.a,,
shandong institute of business and technology,Shandong Institute of Business and Technology,grid.443652.2,http://www.sdibt.edu.cn/,http://en.wikipedia.org/wiki/Shandong_Institute_of_Business_and_Technology
college boreal,Collège Boréal,grid.421295.9,http://www.collegeboreal.ca/,http://en.wikipedia.org/wiki/Collège_Boréal
scientific council for government policy,Scientific Council for Government Policy,grid.465268.b,http://www.wrr.nl/,http://en.wikipedia.org/wiki/Scientific_Council_for_Government_Policy
des moines university,Des Moines University,grid.255049.f,http://www.dmu.edu/,http://en.wikipedia.org/wiki/Des_Moines_University
helpage international,HelpAge International,,http://www.helpage.org/,http://en.wikipedia.org/wiki/HelpAge_International
american school of classical studies at athens,American School of Classical Studies at Athens,grid.461976.b,http://www.ascsa.edu.gr/,http://en.wikipedia.org/wiki/American_School_of_Classical_Studies_at_Athens
national bank of belgium,National Bank of Belgium,grid.484482.6,http://www.nbb.be/,http://en.wikipedia.org/wiki/National_Bank_of_Belgium
christ s hospital,Christ's Hospital,,http://www.christs-hospital.org.uk/,http://en.wikipedia.org/wiki/Christ's_Hospital
thanthai periyar government institute of technology,Thanthai Periyar Government Institute of Technology,,http://www.tpgit.edu.in/,http://en.wikipedia.org/wiki/Thanthai_Periyar_Government_Institute_of_Technology
penang medical college,Penang Medical College,grid.417196.c,http://www.pmc.edu.my/,http://en.wikipedia.org/wiki/Penang_Medical_College
kansai medical university,Kansai Medical University,grid.410783.9,http://www.kmu.ac.jp/,http://en.wikipedia.org/wiki/Kansai_Medical_University
idexx laboratories,Idexx Laboratories,grid.493313.f,http://www.idexx.com/,http://en.wikipedia.org/wiki/Idexx_Laboratories
korean register of shipping,Korean Register of Shipping,,http://www.krs.co.kr/,http://en.wikipedia.org/wiki/Korean_Register_of_Shipping
faculdade de medicina de marilia,Faculdade de Medicina de Marília,grid.419028.6,http://www.famema.br/,http://en.wikipedia.org/wiki/Faculdade_de_Medicina_de_Marília
