Type,Full name,Member key,Aliases,,,
academic,Amherst College,amherst college,,,,
academic,Arizona State University ,arizona state university,,,,
academic,Auburn University,auburn university,,,,
academic,"Binghamton University, SUNY",binghamton university,,,,
academic,Boston College,boston college,,,,
academic,Boston University ,boston university,boston university school of public health,boston university school of medicine,boston university school of management,boston university school of law
academic,Bowling Green State University,bowling green state university,,,,
academic,Bradley University,bradley university,,,,
academic,Brandeis University,brandeis university,,,,
academic,Brown University,brown university,,,,
academic,Bryn Mawr College,bryn mawr college,,,,
academic,Bucknell University,bucknell university,,,,
academic,Carnegie Mellon University,carnegie mellon university,,,,
academic,Case Western Reserve University,case western reserve university,case western reserve university school of medicine,,,
academic,Clemson University,clemson university,,,,
academic,Colgate University,colgate university,,,,
academic,College of Charleston,college of charleston,,,,
academic,College of William & Mary,college of william mary,,,,
academic,Colorado School of Mines,colorado school of mines,,,,
academic,Colorado State University,colorado state university,,,,
academic,Columbia University,columbia university,,,,
academic,Cornell University,cornell university,,,,
academic,Dartmouth College,dartmouth college,,,,
academic,DePaul University,depaul university,,,,
academic,Drexel University,drexel university,drexel university college of medicine,,,
academic,Duke University,duke university,,,,
academic,Emory University,emory university,emory university school of medicine,,,
academic,Florida International University,florida international university,,,,
academic,Florida State University,florida state university,florida state university college of medicine,,,
academic,George Mason University,george mason university,,,,
academic,George Washington University,george washington university,george washington university medical school,,,
academic,Georgetown University,georgetown university,georgetown university school of medicine,georgetown university law center,,
academic,Georgia Institute of Technology,georgia institute of technology,georgia institute of technology school of computer science,georgia institute of technology college of computing,,
academic,Georgia Southern University,georgia southern university,,,,
academic,Georgia State University,georgia state university,,,,
academic,Grinnell College,grinnell college,,,,
academic,Harvard University,harvard university,,,,
academic,Harvey Mudd College,harvey mudd college,,,,
academic,Hofstra University,hofstra university,,,,
academic,Illinois Institute of Technology,illinois institute of technology,,,,
academic,Indiana University,indiana university bloomington,indiana university school of informatics,indiana university school of medicine,indiana university,
academic,Iowa State University,iowa state university,,,,
academic,Johns Hopkins University,johns hopkins university,,,,
academic,Kansas State University,kansas state university,,,,
academic,Kean University,kean university,,,,
academic,Kent State University,kent state university,,,,
academic,Lafayette College,lafayette college,,,,
academic,Lehigh University,lehigh university,,,,
academic,Louisiana Tech University,louisiana tech university,,,,
academic,"Loyola University, Chicago",loyola university chicago,,,,
academic,Marquette University,marquette university,,,,
academic,Massachusetts Institute of Technology,massachusetts institute of technology,,,,
academic,Miami University,miami university,,,,
academic,Michigan State University,michigan state university,,,,
academic,Michigan Technological University,michigan technological university,,,,
academic,Midwestern State University,midwestern state university,,,,
academic,Mississippi State University,mississippi state university,,,,
academic,Montana State University,montana state university,,,,
academic,Montclair State University,montclair state university,,,,
academic,Mount Holyoke College,mount holyoke college,,,,
academic,Naval Postgraduate School,naval postgraduate school,,,,
academic,New Jersey Institute of Technology,new jersey institute of technology,,,,
academic,New Mexico State University,new mexico state university,,,,
academic,New York University,new york university,polytechnic institute of new york university,new york university school of medicine,,
academic,North Carolina State University,north carolina state university,,,,
academic,North Dakota State University,north dakota state university,,,,
academic,Northeastern University,northeastern university,northeastern university college of computer and information science,,,
academic,Northwestern University,northwestern university,,,,
academic,Oakland University,oakland university,,,,
academic,Ohio State University,ohio state university,,,,
academic,Ohio University,ohio university,,,,
academic,Old Dominion University,old dominion university,,,,
academic,Oregon State University,oregon state university,,,,
academic,Pace University,pace university,,,,
academic,Pennsylvania State University,pennsylvania state university,,,,
academic,Pomona College,pomona college,,,,
academic,Portland State University,portland state university,,,,
academic,Princeton University,princeton university,,,,
academic,Purdue University,purdue university college of engineering,purdue university school of electrical and computer engineering,purdue university,,
academic,Rensselaer Polytechnic Institute,rensselaer polytechnic institute,,,,
academic,Rice University,rice university,,,,
academic,Rochester Institute of Technology,rochester institute of technology,,,,
academic,"Rutgers, The State University of New Jersey",rutgers university,,,,
academic,Saint Louis University,saint louis university,saint louis university school of medicine,,,
academic,Santa Clara University,santa clara university,,,,
academic,Simon Fraser University,simon fraser university,,,,
academic,Stanford University,stanford university,,,,
academic,Stevens Institute of Technology,stevens institute of technology,,,,
academic,"Stony Brook University, SUNY",stony brook university,,,,
academic,Swarthmore College,swarthmore college,,,,
academic,Syracuse University,syracuse university,,,,
academic,Texas A&M University,texas a m university,,,,
academic,"Texas A&M University, Corpus Christi",texas a m university corpus christi,,,,
academic,Texas State University,texas state university,,,,
academic,Texas Tech University,texas tech university,texas tech university health sciences center school of medicine,,,
academic,Toyota Technological Institute at Chicago,toyota technological institute at chicago,,,,
academic,Tufts University,tufts university,tufts medical center,tufts university school of medicine,tufts center for the study of drug development,
academic,Union College,union college,,,,
academic,"University at Buffalo, SUNY",university at buffalo,university at buffalo school of medicine and biomedical sciences,,,
academic,"University of Alabama, Birmingham",university of alabama at birmingham,,,,
academic,"University of Alabama, Tuscaloosa",university of alabama,,,,
academic,University of Alberta,university of alberta,,,,
