ID,Country,Contiment
grid.1001.0,Australia,OC
grid.1002.3,Australia,OC
grid.1003.2,Australia,OC
grid.1004.5,Australia,OC
grid.1005.4,Australia,OC
grid.1006.7,United Kingdom,EU
grid.1007.6,Australia,OC
grid.1008.9,Australia,OC
grid.1009.8,Australia,OC
grid.1010.0,Australia,OC
grid.1011.1,Australia,OC
grid.1012.2,Australia,OC
grid.1013.3,Australia,OC
grid.1014.4,Australia,OC
grid.1016.6,Australia,OC
grid.1017.7,Australia,OC
grid.1018.8,Australia,OC
grid.1019.9,Australia,OC
grid.1020.3,Australia,OC
grid.1021.2,Australia,OC
grid.1022.1,Australia,OC
grid.1023.0,Australia,OC
grid.1024.7,Australia,OC
grid.1025.6,Australia,OC
grid.1026.5,Australia,OC
grid.1027.4,Australia,OC
grid.1029.a,Australia,OC
grid.1031.3,Australia,OC
grid.1032.0,Australia,OC
grid.1033.1,Australia,OC
grid.1034.6,Australia,OC
grid.1035.7,Poland,EU
grid.1037.5,Australia,OC
grid.1038.a,Australia,OC
grid.1039.b,Australia,OC
grid.1040.5,Australia,OC
grid.1042.7,Australia,OC
grid.1043.6,Australia,OC
grid.1046.3,Australia,OC
grid.1047.2,Australia,OC
grid.1048.d,Australia,OC
grid.1049.c,Australia,OC
grid.1051.5,Australia,OC
grid.1052.6,United States,NA
grid.1055.1,Australia,OC
grid.1056.2,Australia,OC
grid.1057.3,Australia,OC
grid.1058.c,Australia,OC
grid.1064.3,Australia,OC
grid.1073.5,Australia,OC
grid.1076.0,Australia,OC
grid.1088.1,Greece,EU
grid.1089.0,Australia,OC
grid.1108.8,United States,NA
grid.1121.3,United Kingdom,EU
grid.1135.6,Australia,OC
grid.1214.6,United States,NA
grid.1236.6,United Kingdom,EU
grid.1281.a,United Kingdom,EU
grid.1310.3,Australia,OC
grid.1343.5,United Kingdom,EU
grid.1374.1,Finland,EU
grid.1403.6,United States,NA
grid.1441.0,France,EU
grid.1453.3,United Kingdom,EU
grid.1463.0,Canada,NA
grid.1489.4,Australia,OC
grid.1491.d,Australia,OC
grid.1504.0,United Kingdom,EU
grid.1527.1,Australia,OC
grid.1543.3,Canada,NA
grid.1623.6,Australia,OC
grid.1649.a,Sweden,EU
grid.1658.a,United States,NA
grid.1680.f,Australia,OC
grid.1694.a,Australia,OC
grid.1743.1,United Kingdom,EU
grid.1957.a,Germany,EU
grid.2134.4,Canada,NA
grid.2294.d,United States,NA
grid.2483.d,United Kingdom,EU
grid.2515.3,United States,NA
grid.2678.b,United Kingdom,EU
grid.2824.c,Australia,OC
grid.2865.9,United States,NA
grid.2875.8,Canada,NA
grid.3006.5,Australia,OC
grid.3263.4,Australia,OC
grid.3319.8,Germany,EU
grid.3393.a,United States,NA
grid.3521.5,Australia,OC
grid.3532.7,United States,NA
grid.3575.4,Switzerland,EU
grid.3613.7,United States,NA
grid.3973.e,Australia,OC
grid.4241.3,Greece,EU
grid.4269.9,United Kingdom,EU
grid.4278.9,Czechia,EU
grid.4280.e,Singapore,AS
grid.4293.c,Italy,EU
grid.4299.6,Austria,EU
grid.4305.2,United Kingdom,EU
grid.4307.0,France,EU
grid.4319.f,Norway,EU
grid.4332.6,Austria,EU
grid.4336.2,Italy,EU
grid.4347.4,Italy,EU
grid.4365.4,France,EU
grid.4367.6,United States,NA
grid.4372.2,Germany,EU
grid.4391.f,United States,NA
grid.4399.7,France,EU
grid.4422.0,China,AS
grid.4425.7,United Kingdom,EU
grid.4437.4,United States,NA
grid.4444.0,France,EU
grid.4461.7,France,EU
grid.4462.4,Malta,EU
grid.4463.5,Greece,EU
grid.4464.2,United Kingdom,EU
grid.4466.0,Italy,EU
grid.4488.0,Germany,EU
grid.4489.1,Spain,EU
grid.4491.8,Czechia,EU
grid.4494.d,Netherlands,EU
grid.4495.c,Poland,EU
grid.4514.4,Sweden,EU
grid.4521.2,Spain,EU
grid.4527.4,Italy,EU
grid.4551.5,Romania,EU
grid.4556.2,Germany,EU
grid.4561.6,Germany,EU
grid.4562.5,Germany,EU
grid.4563.4,United Kingdom,EU
grid.4567.0,Germany,EU
grid.4578.e,Norway,EU
grid.4605.7,Russia,EU
grid.4612.1,Poland,EU
grid.4616.5,Poland,EU
grid.4643.5,Italy,EU
grid.4655.2,Denmark,EU
grid.4691.a,Italy,EU
grid.4694.f,Greece,EU
grid.4701.2,United Kingdom,EU
grid.4708.b,Italy,EU
grid.4709.a,Germany,EU
grid.4711.3,Spain,EU
grid.4714.6,Sweden,EU
grid.4748.f,France,EU
grid.4756.0,United Kingdom,EU
grid.4764.1,Germany,EU
grid.4777.3,United Kingdom,EU
grid.4793.9,Greece,EU
grid.4795.f,Spain,EU
grid.4800.c,Italy,EU
grid.4807.b,Spain,EU
grid.4808.4,Croatia,EU
grid.4817.a,France,EU
grid.4818.5,Netherlands,EU
grid.4819.4,Germany,EU
grid.4825.b,France,EU
grid.4827.9,United Kingdom,EU
grid.4830.f,Netherlands,EU
grid.4831.e,Germany,EU
grid.4834.b,Greece,EU
grid.4836.9,Hungary,EU
grid.4839.6,Brazil,SA
grid.4842.a,Czechia,EU
grid.4843.b,United Kingdom,EU
grid.4857.e,United Kingdom,EU
grid.4858.1,Netherlands,EU
grid.4861.b,Belgium,EU
grid.4862.8,United Kingdom,EU
grid.4868.2,United Kingdom,EU
grid.4886.2,Russia,EU
grid.4903.e,United Kingdom,EU
grid.4905.8,Croatia,EU
grid.4912.e,Ireland,EU
grid.4928.7,France,EU
grid.4929.6,France,EU
grid.4947.e,Italy,EU
grid.4970.a,United Kingdom,EU
grid.4973.9,Denmark,EU
grid.4987.2,Hungary,EU
grid.4989.c,Belgium,EU
grid.4991.5,United Kingdom,EU
grid.4994.0,Czechia,EU
grid.5012.6,Netherlands,EU
grid.5018.c,Hungary,EU
grid.5037.1,Sweden,EU
grid.5072.0,United Kingdom,EU
grid.5089.4,Spain,EU
grid.5090.c,France,EU
grid.5098.4,Bulgaria,EU
grid.5100.4,Romania,EU
grid.5110.5,Austria,EU
grid.5115.0,United Kingdom,EU
grid.5117.2,Denmark,EU
grid.5120.6,Romania,EU
grid.5132.5,Netherlands,EU
grid.5133.4,Italy,EU
grid.5146.6,Hungary,EU
grid.5155.4,Germany,EU
grid.5162.0,Netherlands,EU
grid.5164.6,Germany,EU
grid.5169.b,United Kingdom,EU
grid.5170.3,Denmark,EU
grid.5173.0,Austria,EU
grid.5196.b,Italy,EU
grid.5214.2,United Kingdom,EU
grid.5216.0,Greece,EU
grid.5239.d,Spain,EU
grid.5252.0,Germany,EU
grid.5253.1,Germany,EU
grid.5254.6,Denmark,EU
grid.5259.b,Lithuania,EU
grid.5268.9,Spain,EU
grid.5284.b,Belgium,EU
grid.5288.7,United States,NA
grid.5290.e,Japan,AS
grid.5292.c,Netherlands,EU
grid.5319.e,Spain,EU
grid.5326.2,Italy,EU
grid.5328.c,France,EU
grid.5329.d,Austria,EU
grid.5330.5,Germany,EU
grid.5333.6,Switzerland,EU
grid.5334.1,Turkey,AS
grid.5335.0,United Kingdom,EU
grid.5336.3,Germany,EU
grid.5337.2,United Kingdom,EU
grid.5338.d,Spain,EU
grid.5342.0,Belgium,EU
grid.5361.1,Austria,EU
grid.5371.0,Sweden,EU
grid.5373.2,Finland,EU
grid.5374.5,Poland,EU
grid.5379.8,United Kingdom,EU
grid.5380.e,Chile,SA
grid.5386.8,United States,NA
grid.5388.6,France,EU
grid.5390.f,Italy,EU
grid.5395.a,Italy,EU
grid.5398.7,France,EU
grid.5399.6,France,EU
grid.5403.2,Italy,EU
grid.5406.7,Germany,EU
grid.5433.1,Germany,EU
grid.5468.f,Greece,EU
grid.5474.2,Netherlands,EU
grid.5475.3,United Kingdom,EU
grid.5477.1,Netherlands,EU
grid.5491.9,United Kingdom,EU
grid.5507.7,Bulgaria,EU
grid.5509.9,Finland,EU
grid.5510.1,Norway,EU
grid.5515.4,Spain,EU
grid.5522.0,Poland,EU
grid.5560.6,Germany,EU
grid.5570.7,Germany,EU
grid.5571.6,France,EU
grid.5583.b,France,EU
grid.5586.e,Germany,EU
grid.5590.9,Netherlands,EU
grid.5591.8,Hungary,EU
grid.5595.c,Sweden,EU
grid.5596.f,Belgium,EU
grid.5600.3,United Kingdom,EU
grid.5601.2,Germany,EU
grid.5602.1,Italy,EU
grid.5603.0,Germany,EU
grid.5606.5,Italy,EU
grid.5607.4,France,EU
grid.5608.b,Italy,EU
grid.5611.3,Italy,EU
grid.5612.0,Spain,EU
grid.5613.1,France,EU
grid.5633.3,Poland,EU
grid.5637.7,Germany,EU
grid.5640.7,Sweden,EU
grid.5645.2,Netherlands,EU
grid.5650.6,Netherlands,EU
grid.5659.f,Germany,EU
