KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type
3dim,3DIM,artificial intelligence,vision,conference
aaai,AAAI,artificial intelligence,,conference
aamas,AAMAS,artificial intelligence,robotics,conference
acl,ACL,artificial intelligence,natural language processing,conference
acsac,ACSAC,systems,architecture,conference
aiccsa,AICCSA,systems,,conference
aina,AINA,systems,"networks,distributed systems",conference
ancs,ANCS,systems,networks,conference
annals,ANNALS,other,,journal
apscc,APSCC,other,,conference
arith,ARITH,theory,,conference
asap,ASAP,systems,,conference
ase,ASE,software engineering,,conference
asiacrypt,ASIACRYPT,theory,"cryptography,security",conference
asplos,ASPLOS,systems,"programming languages, operating systems, architecture",conference
ats,ATS,design automation,"circuits,verification",conference
avss,AVSS,artificial intelligence,vision,conference
bibe,BIBE,bioinformatics,,conference
bioinformatics,BIOINFORMATICS,bioinformatics,,journal
bpm,BPM,other,,conference
cacm,CACM,other,,journal
cal,CAL,architecture,systems,journal
cases,CASES,programming languages,"programming languages,architecture,embedded & real time",conference
cav,CAV,theory,verification,conference
cc,CC,programming languages,,conference
ccc,CCC,theory,algorithms,conference
cccg,CCCG,theory,,conference
ccgrid,CCGRID,systems,distributed systems,conference
ccs,CCS,systems,security,conference
cga,CGA,graphics,,journal
cgf,CGF,graphics,,journal
cgo,CGO,systems,programming languages,conference
chi,CHI,human computer interaction,,conference
cikm,CIKM,information retrieval,databases,conference
civr,CIVR,information retrieval,vision,conference
cluster,CLUSTER,systems,"high performance computing,distributed systems",conference
coling,COLING,natural language processing,,conference
colt,COLT,artificial intelligence,"theory,machine learning",conference
compgeom,SoCG,theory,,conference
compsac,COMPSAC,other,,conference
computer,COMPUTER,other,,journal
conext,CONEXT,systems,networks,conference
cp,CP,verification,,conference
crypto,CRYPTO,theory,cryptography,conference
cscw,CSCW,human computer interaction,,conference
cse,CSE,other,,journal
csur,CSUR,other,,journal
cvpr,CVPR,artificial intelligence,vision,conference
dac,DAC,other,,conference
datamine,DATAMINE,data mining,,journal
date,DATE,systems,"design automation,verification",conference
dcoss,DCOSS,systems,"distributed systems,embedded & real time",conference
ddecs,DDECS,circuits,design automation,conference
digitel,DIGITEL,other,,conference
disc,DISC,systems,distributed systems,conference
dt,DT,design automation,"circuits, systems",journal
ecai,ECAI,artificial intelligence,,conference
eccv,ECCV,artificial intelligence,vision,conference
ecoop,ECOOP,systems,programming languages,conference
edbt,EDBT,databases,,conference
edcc,EDCC,systems,,conference
emnlp,EMNLP,artificial intelligence,natural language processing,conference
emsoft,EMSOFT,systems,embedded & real time,conference
er,ER,databases,,conference
esa,ESA,theory,algorithms,conference
esop,ESOP,systems,programming languages,conference
esorics,ESORICS,security,,conference
eurocrypt,EUROCRYPT,theory,cryptography,conference
eurosys,Eurosys,systems,operating systems,conference
expert,EXPERT,artificial intelligence,,journal
fast,FAST,systems,operating systems,conference
fccm,FCCM,circuits,,conference
fmcad,FMCAD,design automation,verification,conference
focs,FOCS,theory,algorithms,conference
fse,IACR-FSE,security,,conference
gecco,GECCO,bioinformatics,,conference
grid,GRID,systems,"high performance computing,distributed systems",conference
hipc,HiPC,systems,high performance computing,conference
hipeac,HiPEAC,systems,"architecture, programming languages,embedded & real time",conference
hoti,HOTI,systems,networks,conference
hotos,HotOS,systems,operating systems,conference
hpca,HPCA,systems,"high performance computing, architecture",conference
hpcc,HPCC,systems,high performance computing,conference
hpdc,HPDC,systems,"high performance computing,distributed systems",conference
ht,Hypertext,,web technologies,conference
iaai,IAAI,artificial intelligence,,conference
icac,ICAC,artificial intelligence,systems,conference
icalp,ICALP,theory,programming languages,conference
icaps,ICAPS,artificial intelligence,,conference
icassp,ICASSP,other,,conference
icc,ICC,systems,networks,conference
iccad,ICCAD,systems,design automation,conference
icccn,ICCCN,systems,networks,conference
iccv,ICCV,artificial intelligence,vision,conference
icdcs,ICDCS,systems,distributed systems,conference
icde,ICDE,databases,,conference
icdm,ICDM,databases,data mining,conference
icdt,ICDT,databases,,conference
