KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type,Title,dblp URL,Added
3dim,3DIM,artificial intelligence,vision,conference,3D Vision / 3-D Imaging and Modeling,https://dblp.uni-trier.de/db/conf/3dim/,2019
aaai,AAAI,artificial intelligence,,conference,AAAI Conference on Artificial Intelligence,https://dblp.uni-trier.de/db/conf/aaai/,2019
aamas,AAMAS,artificial intelligence,robotics,conference,International Joint Conference on Autonomous Agents and Multiagent Systems,https://dblp.org/db/conf/atal/,2019
acl,ACL,artificial intelligence,natural language processing,conference,Association for Computational Linguistics,https://dblp.uni-trier.de/db/conf/acl/,2019
aPcsac,ACSAC,systems,architecture,conference,Asia-Pacific Computer Systems Architecture Conference,https://dblp.uni-trier.de/db/conf/aPcsac/index.html,2019
ai,AI,artificial intelligence,,journal,Artificial Intelligence,https://dblp.uni-trier.de/db/journals/ai/,2019
aiccsa,AICCSA,systems,,conference,ACS/IEEE International Conference on Computer Systems and Applications,https://dblp.uni-trier.de/db/conf/aiccsa/,2019
aim,AIM,artificial intelligence,,journal,AI Magazine,https://dblp.uni-trier.de/db/journals/aim/,2019
aina,AINA,systems,"networks,distributed systems",conference,International Conference on Advanced Information Networking and Applications,https://dblp.uni-trier.de/db/conf/aina/,2019
amai,AMAI,artificial intelligence,,journal,Annals of Mathematics and Artificial Intelligence,https://dblp.uni-trier.de/db/journals/amai/,2019
ancs,ANCS,systems,networks,conference,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,https://dblp.uni-trier.de/db/conf/ancs/,2019
annals,ANNALS,other,,journal,IEEE Annals of the History of Computing,https://dblp.uni-trier.de/db/journals/annals/,2019
apscc,APSCC,other,,conference,Asia-Pacific Services Computing Conference,https://dblp.uni-trier.de/db/conf/apscc/,2019
arith,ARITH,theory,,conference,IEEE Symposium on Computer Arithmetic,https://dblp.uni-trier.de/db/conf/arith/,2019
asap,ASAP,systems,,conference,International Conference on Apps for Specific Array Processors,https://dblp.uni-trier.de/db/conf/asap/,2019
ase,ASE,software engineering,,conference,Automated Software Engineering Conference,https://dblp.uni-trier.de/db/conf/kbse/,2019
asiacrypt,ASIACRYPT,theory,cryptography,conference,International Conference on the Theory and Application of Cryptology and Information Security,https://dblp.uni-trier.de/db/conf/asiacrypt/,2019
asplos,ASPLOS,systems,"programming languages, operating systems, architecture",conference,Architectural Support for Programming Languages and Operating Systems,https://dblp.uni-trier.de/db/conf/asplos/,2019
ats,ATS,design automation,"circuits,verification",conference,Asian Test Symposium,https://dblp.uni-trier.de/db/conf/ats/,2019
avss,AVSS,artificial intelligence,vision,conference,Advanced Video and Signal Based Surveillance,https://dblp.uni-trier.de/db/conf/avss/,2019
bibe,BIBE,bioinformatics,,conference,IEEE Bioinformatics and Bioengineering,https://dblp.uni-trier.de/db/conf/bibe/,2019
bioinformatics,BIOINFORMATICS,bioinformatics,,journal,Bioinformatics,https://dblp.uni-trier.de/db/journals/bioinformatics/,2019
bpm,BPM,other,,conference,International Conference in Business Process Management,https://dblp.uni-trier.de/db/conf/bpm/,2019
cacm,CACM,other,,journal,Communications of the ACM,https://dblp.uni-trier.de/db/journals/cacm/,2019
cal,CAL,architecture,systems,journal,IEEE Computer Architecture Letters,https://dblp.uni-trier.de/db/journals/cal/,2019
cases,CASES,programming languages,"programming languages,architecture,embedded & real time",conference,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems ",https://dblp.uni-trier.de/db/conf/cases/,2019
cav,CAV,theory,verification,conference,Computer Aided Verification,https://dblp.uni-trier.de/db/conf/cav/,2019
cc,CC,programming languages,,conference,International Conference on Compiler Construction,https://dblp.uni-trier.de/db/conf/cc/,2019
ccc,CCC,theory,algorithms,conference,IEEE Symposium on Computational Complexity,https://dblp.uni-trier.de/db/conf/coco/,2019
cccg,CCCG,theory,,conference,Canadian Conference on Computational Geometry,https://dblp.uni-trier.de/db/conf/cccg/,2019
ccgrid,CCGRID,systems,distributed systems,conference,"IEEE International Symposium on Cluster, Cloud, and Grid Computing",https://dblp.uni-trier.de/db/conf/ccgrid/,2019
ccs,CCS,systems,security,conference,ACM Conference on Computer and Communications Security,https://dblp.uni-trier.de/db/conf/ccs/,2019
cga,CGA,graphics,,journal,IEEE Computer Graphics and Applications,https://dblp.uni-trier.de/db/journals/cga/,2019
cgf,CGF,graphics,,journal,Computer Graphics Forum,https://dblp.uni-trier.de/db/journals/cgf/,2019
cgo,CGO,systems,programming languages,conference,International Symposium on Code Generation and Optimization,https://dblp.uni-trier.de/db/conf/cgo/,2019
chi,CHI,human computer interaction,,conference,International Conference on Human Factors in Computing Systems,https://dblp.uni-trier.de/db/conf/chi/,2019
cikm,CIKM,information retrieval,databases,conference,ACM International Conference on Information and Knowledge Management,https://dblp.uni-trier.de/db/conf/cikm/,2019
civr,CIVR,information retrieval,"vision,multimedia",conference,International Conference on Image and Video Retrieval,https://dblp.uni-trier.de/db/conf/civr/,2019
cluster,CLUSTER,systems,"high performance computing,distributed systems",conference,IEEE International Conference on Cluster Computing,https://dblp.uni-trier.de/db/conf/cluster/,2019
coling,COLING,natural language processing,,conference,International Conference on Computational Linguistics,https://dblp.uni-trier.de/db/conf/coling/,2019
colt,COLT,artificial intelligence,"theory,machine learning",conference,Annual Conference on Computational Learning Theory,https://dblp.uni-trier.de/db/conf/colt/,2019
compgeom,SoCG,theory,,conference,Symposium on Computational Geometry,https://dblp.uni-trier.de/db/conf/compgeom/,2019
compsac,COMPSAC,other,,conference,International Computer Software and Applications Conference,https://dblp.uni-trier.de/db/conf/compsac/,2019
computer,COMPUTER,other,,journal,Computer,https://dblp.uni-trier.de/db/journals/computer/,2019
conext,CONEXT,systems,networks,conference,ACM International Conference on Emerging Networking Experiments and Technologies,https://dblp.uni-trier.de/db/conf/conext/,2019
cp,CP,verification,,conference,International Conference on Principles and Practice of Constraint Programming,https://dblp.uni-trier.de/db/conf/cp/,2019
crypto,CRYPTO,theory,cryptography,conference,Advances in Cryptology,https://dblp.uni-trier.de/db/conf/crypto/,2019
cscw,CSCW,human computer interaction,,conference,Conference on Computer Supported Cooperative Work,https://dblp.uni-trier.de/db/conf/cscw/,2019
