,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Note
3dim,49,0,0,0,54,75,56,87,74,75,73,81,0,624,DBLP has No info in 2008-2010
aaai,290,277,0,270,260,311,210,422,557,572,667,985,0,4821,DBLP has No info in 2009
aamas,263,113,51,168,125,136,135,163,166,135,155,193,193,1996,
acl,131,119,121,160,164,187,327,286,318,328,302,430,0,2873,
acsac,43,44,46,41,41,45,35,47,47,48,48,60,0,545,
ai,61,73,63,67,87,46,71,62,67,82,92,57,41,869,
aiccsa,140,159,151,110,42,0,87,113,168,212,197,107,0,1486,No conference in 2012
aim,33,36,36,30,35,42,39,37,41,46,36,19,0,430,
aina,134,146,129,171,105,126,153,154,128,163,157,153,112,1831,
amai,39,37,42,39,46,34,34,37,46,43,48,35,11,491,
ancs,20,17,16,37,20,19,18,19,15,12,17,13,0,223,
annals,34,29,34,30,28,26,27,30,33,28,22,32,10,363,
apscc,74,182,71,64,67,59,0,30,23,38,0,0,0,608,"No conference in 2013,2017~"
arith,28,0,24,27,0,0,24,0,22,23,22,21,0,191,"this is biennial conference before 2015, DBLP has 2011 papers under 2010 url...."
asap,65,52,37,50,37,28,60,32,33,32,29,41,0,496,
ase,75,72,70,60,87,45,73,82,76,91,106,88,0,925,
asiacrypt,33,33,41,35,40,43,54,55,64,67,66,65,0,596,
asplos,0,31,29,32,32,37,44,49,48,54,56,56,74,542,No conference in 2007
ats,0,57,68,74,86,58,49,57,36,52,44,36,0,617,DBLP has No info in 2007
avss,90,38,96,83,65,83,67,59,88,49,104,96,0,918,
bibe,201,194,64,45,58,131,176,55,110,52,97,68,0,1251,
bioinformatics,407,326,434,427,423,436,371,446,448,457,439,542,200,5356,
bpm,30,29,20,21,27,24,25,31,30,22,19,29,0,307,
cacm,158,146,192,170,141,114,107,115,111,124,110,125,52,1665,
cal,14,17,15,13,13,15,15,28,39,33,41,58,14,315,
cases,33,27,30,25,22,18,25,24,18,19,2,1,0,244,
cav,47,47,52,51,59,38,69,57,69,58,57,65,0,669,
cc,15,18,18,16,15,13,13,14,11,24,13,18,17,205,
ccc,30,32,37,28,30,34,29,31,30,34,33,28,0,376,
cccg,65,52,41,66,83,49,53,66,46,46,40,46,0,653,
ccgrid,72,110,57,65,55,119,87,63,147,86,88,62,0,1011,
ccs,55,51,58,54,60,81,135,114,128,137,151,134,0,1158,
cga,62,56,58,52,53,60,56,56,62,57,64,66,27,729,
cgf,75,226,228,242,226,235,239,236,239,238,247,253,42,2726,
cgo,27,21,26,29,28,26,33,29,24,25,26,30,21,345,
chi,181,217,274,302,404,369,392,461,484,545,587,665,702,5583,
cikm,132,132,305,290,378,406,333,234,232,295,313,275,0,3325,
civr,87,58,53,61,0,0,0,0,0,0,0,0,0,259,No conference after 2010
cluster,67,61,84,33,61,76,74,29,105,51,65,48,0,754,
coling,0,145,0,155,0,194,0,217,0,337,0,330,0,1378,biennial conference
colt,41,44,44,41,0,0,49,57,70,67,72,90,0,575,"colt2011 = jmir19, colt2012=jmir23. Left as is because they are included in jmir in our data already."
compgeom,45,42,45,47,55,44,48,70,60,68,65,77,63,729,
compsac,85,214,178,61,87,76,88,71,117,99,121,250,0,1447,
computer,95,102,123,120,99,110,132,128,124,144,140,126,53,1496,
conext,28,77,29,28,30,31,44,37,41,35,40,32,0,452,
cp,65,56,61,47,58,68,58,65,49,54,45,47,0,673,
crypto,33,32,38,39,42,48,62,60,74,70,72,79,0,649,
cscw,0,86,0,58,103,55,135,134,158,142,179,0,0,1050,biennial conference before 2010
cse,72,66,62,62,65,62,55,54,53,58,52,59,28,748,
csfw,26,21,22,23,21,25,19,29,35,31,32,27,0,311,
csur,12,19,19,15,31,38,72,62,65,92,92,108,43,668,
cvpr,369,506,382,460,438,466,471,540,602,643,782,979,0,6638,
dac,176,162,158,162,175,170,168,209,200,173,175,179,220,2327,
datamine,29,31,32,34,31,44,36,48,58,48,59,57,36,543,
date,270,274,302,319,276,282,328,348,307,299,329,303,324,3961,
dcoss,27,41,26,28,69,34,56,39,20,28,24,19,0,411,
ddecs,76,64,51,70,75,68,57,61,51,44,36,27,34,714,
digitel,23,25,0,29,0,35,0,0,0,0,0,0,0,112,No conference in those years
disc,32,33,33,30,28,27,38,36,42,32,44,41,0,416,
dt,46,48,52,35,48,44,48,39,40,57,57,52,22,588,
ecai,0,136,0,147,0,154,0,168,0,185,0,0,0,790,"biennial, merged into IJCAI in 2018"
eccv,0,243,0,325,0,408,0,362,0,415,0,776,0,2529,biennial
ecoop,25,27,26,25,26,30,29,27,31,26,27,26,0,325,
edbt,0,59,94,62,46,67,62,61,69,52,68,68,72,780,no conference in 2007
edcc,0,17,0,25,0,24,0,28,24,27,22,21,0,188,biennial before 2014
emnlp,131,114,163,125,149,139,205,224,312,264,322,549,0,2697,
emsoft,29,28,33,30,37,23,28,29,26,26,0,15,0,304,"emsoft2017=tecs16, WRONG page numbering in 2018. 2018 fixed through filtering, 2017 kept as is because tecs included in data already"
er,37,33,33,39,39,46,40,38,45,41,39,43,0,473,
