Year/Conf,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3dim,51,No Info,No Info,No Info,54,75,56,87,74,75
aaai,296,267,No Info,271,260,311,210,423,560,574
aamas,136,141,135,173,125,136,140,168,166,146
acl,132,119,121,160,164,111,174,147,174,231
acsac,34,52,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
aiccsa,141,178,118,119,40,No Info,99,113,178,217
aina,134,147,129,171,105,126,153,154,129,163
apscc,74,100,71,64,68,61,No Info,30,17,38
arith,28,No Info,25,30,No Info,No Info,27,No Info,22,23
asap,65,52,25,32,23,18,33,32,43,44
ase,37,35,38,35,37,21,51,82,76,91
asiacrypt,33,33,41,35,40,43,54,55,64,67
asplos,No Info,32,29,33,32,37,44,50,48,55
ats,No Info,78,74,74,92,73,54,57,36,54
avss,100,70,104,85,65,83,67,62,88,49
bibe,202,196,35,45,59,133,182,55,116,53
bpm,30,29,20,21,27,24,25,21,30,22
cases,25,29,31,28,24,24,26,24,25,21
cav,47,47,52,51,60,38,69,57,69,58
cc,15,18,19,16,15,13,13,14,11,24
ccc,30,32,37,27,30,36,29,31,30,35
cccg,68,52,45,70,83,52,53,66,46,46
ccgrid,72,115,57,65,55,137,105,66,87,84
ccs,56,51,58,54,60,81,105,114,128,137
cgo,27,21,26,31,28,26,33,29,24,25
chi,182,217,277,302,405,369,392,461,484,541
cikm,86,134,148,135,225,145,261,175,165,186
civr,74,69,53,61,No Info,No Info,No Info,No Info,No Info,No Info
cluster,53,42,85,33,39,58,92,29,106,51
coling,No Info,145,No Info,155,No Info,194,No Info,221,No Info,337
colt,46,47,44,48,No Info,No Info,51,61,77,70
compsac,98,272,190,69,97,90,111,80,136,99
conext,28,77,29,28,30,31,44,37,41,35
cp,51,33,61,47,58,68,58,65,49,54
crypto,33,32,38,39,43,50,62,60,74,48
cscw,No Info,86,No Info,58,67,164,139,134,161,142
cvpr,369,505,382,461,439,466,471,540,602,643
date,288,287,317,334,293,298,353,372,320,307
dcoss,27,29,26,28,68,34,56,40,23,40
ddecs,40,39,27,39,55,40,66,66,24,44
digitel,11,12,No Info,12,No Info,7,No Info,No Info,No Info,No Info
sigecom,42,38,40,45,49,73,72,80,72,82
disc,33,33,33,29,28,27,37,35,42,32
ecai,No Info,136,No Info,147,No Info,158,No Info,168,No Info,184
ecai,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
ecoop,25,27,27,25,26,30,29,27,34,26
edbt,No Info,59,94,62,46,71,62,63,70,52
edcc,No Info,17,No Info,25,No Info,24,No Info,28,24,23
emnlp,131,114,163,125,149,139,143,165,188,181
emsoft,30,28,33,30,37,27,27,29,27,26
er,37,33,33,30,39,40,40,38,45,41
esa,63,67,66,66,67,71,69,69,86,77
esop,34,27,26,32,25,29,31,27,33,30
esorics,39,37,42,42,36,50,43,58,59,60
eurocrypt,33,31,33,34,31,41,42,38,57,62
eurosys,29,24,25,27,24,27,28,27,32,38
fast,19,21,23,21,20,26,24,24,28,27
fccm,25,24,25,23,42,38,37,36,37,31
fmcad,31,29,30,39,34,25,29,28,29,34
focs,63,79,73,82,85,80,79,68,86,86
sigsoft-fse,50,32,37,33,34,46,51,66,74,74
fse,28,30,23,19,22,24,29,31,28,29
gecco,266,203,217,173,261,170,204,180,182,144
grid,37,35,20,29,26,24,No Info,No Info,No Info,No Info
hipc,53,46,49,40,40,55,49,49,48,40
hipeac,19,25,27,24,20,No Info,No Info,No Info,No Info,No Info
hoti,16,23,19,13,11,9,9,11,8,12
hotos,21,No Info,22,No Info,33,No Info,27,No Info,29,No Info
hpca,32,34,35,36,42,39,55,58,55,57
hpcc,69,104,84,100,85,214,335,130,253,209
hpdc,20,23,21,84,22,23,20,21,30,28
ht,25,28,37,32,35,30,16,19,30,16
si3d,25,24,28,23,24,25,20,19,15,20
iaai,No Info,No Info,31,23,19,23,21,21,No Info,No Info
icac,15,18,15,23,20,15,35,29,36,24
icalp,76,126,107,106,111,123,125,136,143,146
icaps,45,51,41,27,38,37,31,39,33,41
icassp,1316,1325,1188,1369,1440,1308,1781,1653,1159,1293
icc,854,1101,930,992,1069,1340,941,985,1277,955
iccad,142,129,119,133,126,120,120,115,131,133
icccn,157,158,108,83,237,140,110,147,108,111
iccv,337,No Info,308,No Info,339,No Info,454,No Info,526,No Info
icdcs,70,102,74,84,87,70,61,66,70,68
icde,122,132,108,119,107,109,103,98,121,112
icdm,40,70,70,72,101,81,94,71,68,77
icdt,25,No Info,25,20,22,22,24,23,23,24
icebe,43,46,59,54,60,57,80,56,63,50
icfp,33,39,35,33,38,32,40,28,35,37
icgse,41,33,40,40,26,34,27,21,18,25
icis,158,216,205,268,294,300,327,315,339,368
iclp,22,38,29,39,32,45,No Info,No Info,No Info,24
icml,150,157,179,159,152,243,283,310,270,322
icnp,32,33,36,33,56,53,66,67,44,85
